UserKNNCB
|iter    54/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.5000|MAP: 0.0556|
|iter    55/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.5500|MAP: 0.0555|
|iter    56/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.6000|MAP: 0.0549|
|iter    57/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.6500|MAP: 0.0546|
|iter    58/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.7000|MAP: 0.0538|
|iter    59/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.7500|MAP: 0.0529|
|iter    60/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.8000|MAP: 0.0520|
|iter    61/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.8500|MAP: 0.0514|
|iter    62/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.9000|MAP: 0.0509|
|iter    66/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.0000|MAP: 0.0522|
|iter    67/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.0500|MAP: 0.0529|
|iter    68/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.1000|MAP: 0.0535|
|iter    69/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.1500|MAP: 0.0548|
|iter    70/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.2000|MAP: 0.0553|
|iter    71/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.2500|MAP: 0.0551|
|iter    72/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.3000|MAP: 0.0554|
|iter    73/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.3500|MAP: 0.0558|
|iter    74/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.4000|MAP: 0.0564|
|iter    75/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.4500|MAP: 0.0564|
|iter    76/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.5000|MAP: 0.0564|
|iter    77/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.5500|MAP: 0.0558|
|iter    78/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.6000|MAP: 0.0558|
|iter    79/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.6500|MAP: 0.0552|
|iter    80/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.7000|MAP: 0.0545|
|iter    81/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.7500|MAP: 0.0529|
|iter    82/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.8000|MAP: 0.0524|
|iter    83/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1500|e: 0.8500|MAP: 0.0519|
|iter    88/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.0000|MAP: 0.0535|
|iter    89/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.0500|MAP: 0.0543|
|iter    90/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.1000|MAP: 0.0550|
|iter    91/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.1500|MAP: 0.0557|
|iter    92/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.2000|MAP: 0.0556|
|iter    93/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.2500|MAP: 0.0555|
|iter    94/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.3000|MAP: 0.0562|
|iter    95/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.3500|MAP: 0.0565|
|iter    96/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.4000|MAP: 0.0565|
|iter    97/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.4500|MAP: 0.0570|
|iter    98/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.5000|MAP: 0.0572|
|iter    99/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.5500|MAP: 0.0564|
|iter   100/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.6000|MAP: 0.0557|
|iter   101/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.6500|MAP: 0.0552|
|iter   102/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.7000|MAP: 0.0543|
|iter   103/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.7500|MAP: 0.0531|
|iter   104/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.8000|MAP: 0.0526|
|iter   110/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.0000|MAP: 0.0545|
|iter   111/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.0500|MAP: 0.0550|
|iter   112/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.1000|MAP: 0.0556|
|iter   113/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.1500|MAP: 0.0558|
|iter   114/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.2000|MAP: 0.0560|
|iter   115/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.2500|MAP: 0.0563|
|iter   116/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.3000|MAP: 0.0567|
|iter   117/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.3500|MAP: 0.0571|
|iter   118/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2500|e: 0.4000|MAP: 0.0570|
