|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7000|e: 0.3000|MAP: 0.0559|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.8000|e: 0.0000|MAP: 0.0553|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.8000|e: 0.1000|MAP: 0.0557|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.8000|e: 0.2000|MAP: 0.0546|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.9000|e: 0.0000|MAP: 0.0539|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.9000|e: 0.1000|MAP: 0.0538|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 1.0000|e: 0.0000|MAP: 0.0522|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.0000|e: 0.0000|MAP: 0.0512|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.0000|e: 0.1000|MAP: 0.0526|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.0000|e: 0.2000|MAP: 0.0536|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.0000|e: 0.3000|MAP: 0.0541|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.0000|e: 0.4000|MAP: 0.0541|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.0000|e: 0.5000|MAP: 0.0546|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.0000|e: 0.6000|MAP: 0.0544|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.0000|e: 0.7000|MAP: 0.0525|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.0000|e: 0.8000|MAP: 0.0513|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.0000|e: 0.9000|MAP: 0.0500|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.0000|MAP: 0.0538|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.1000|MAP: 0.0552|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.2000|MAP: 0.0560|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.3000|MAP: 0.0564|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.4000|MAP: 0.0572|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.5000|MAP: 0.0572|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.6000|MAP: 0.0560|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.7000|MAP: 0.0541|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.1000|e: 0.8000|MAP: 0.0527|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.0000|MAP: 0.0564|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.1000|MAP: 0.0572|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.2000|MAP: 0.0571|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.3000|MAP: 0.0584|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.4000|MAP: 0.0586|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.5000|MAP: 0.0580|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.6000|MAP: 0.0565|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.2000|e: 0.7000|MAP: 0.0547|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.3000|e: 0.0000|MAP: 0.0570|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.3000|e: 0.1000|MAP: 0.0582|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.3000|e: 0.2000|MAP: 0.0590|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.3000|e: 0.3000|MAP: 0.0592|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.3000|e: 0.4000|MAP: 0.0590|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.3000|e: 0.5000|MAP: 0.0580|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.3000|e: 0.6000|MAP: 0.0561|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.4000|e: 0.0000|MAP: 0.0579|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.4000|e: 0.1000|MAP: 0.0590|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.4000|e: 0.2000|MAP: 0.0599|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.4000|e: 0.3000|MAP: 0.0596|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.4000|e: 0.4000|MAP: 0.0585|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.4000|e: 0.5000|MAP: 0.0565|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.5000|e: 0.0000|MAP: 0.0576|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.5000|e: 0.1000|MAP: 0.0587|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.5000|e: 0.2000|MAP: 0.0595|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.5000|e: 0.3000|MAP: 0.0590|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.5000|e: 0.4000|MAP: 0.0573|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.6000|e: 0.0000|MAP: 0.0572|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.6000|e: 0.1000|MAP: 0.0577|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.6000|e: 0.2000|MAP: 0.0585|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.6000|e: 0.3000|MAP: 0.0572|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.7000|e: 0.0000|MAP: 0.0567|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.7000|e: 0.1000|MAP: 0.0569|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.7000|e: 0.2000|MAP: 0.0562|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.8000|e: 0.0000|MAP: 0.0558|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.8000|e: 0.1000|MAP: 0.0553|
|a: 0.0000 |b: 0.0000 |c: 0.1000|d: 0.9000|e: 0.0000|MAP: 0.0541|
|a: 0.0000 |b: 0.0000 |c: 0.2000|d: 0.0000|e: 0.0000|MAP: 0.0524|
|a: 0.0000 |b: 0.0000 |c: 0.2000|d: 0.0000|e: 0.1000|MAP: 0.0541|
