(25975, 19908)
|RP3beta| iter:    56/160 | topk: 370 | alpha: 0.300 | beta: 0.020 | avgMAP: 0.0701 |
|RP3beta| iter:    57/160 | topk: 370 | alpha: 0.350 | beta: 0.020 | avgMAP: 0.0703 |
|RP3beta| iter:    58/160 | topk: 370 | alpha: 0.400 | beta: 0.020 | avgMAP: 0.0701 |
|RP3beta| iter:    59/160 | topk: 370 | alpha: 0.450 | beta: 0.020 | avgMAP: 0.0693 |
|RP3beta| iter:    60/160 | topk: 390 | alpha: 0.300 | beta: 0.020 | avgMAP: 0.0701 |
|RP3beta| iter:    61/160 | topk: 390 | alpha: 0.350 | beta: 0.020 | avgMAP: 0.0704 |
|RP3beta| iter:    62/160 | topk: 390 | alpha: 0.400 | beta: 0.020 | avgMAP: 0.0701 |
|RP3beta| iter:    63/160 | topk: 390 | alpha: 0.450 | beta: 0.020 | avgMAP: 0.0693 |
|RP3beta| iter:    64/160 | topk: 250 | alpha: 0.300 | beta: 0.040 | avgMAP: 0.0706 |
|RP3beta| iter:    65/160 | topk: 250 | alpha: 0.350 | beta: 0.040 | avgMAP: 0.0707 |
|RP3beta| iter:    66/160 | topk: 250 | alpha: 0.400 | beta: 0.040 | avgMAP: 0.0703 |
|RP3beta| iter:    67/160 | topk: 250 | alpha: 0.450 | beta: 0.040 | avgMAP: 0.0695 |
|RP3beta| iter:    68/160 | topk: 270 | alpha: 0.300 | beta: 0.040 | avgMAP: 0.0706 |
|RP3beta| iter:    69/160 | topk: 270 | alpha: 0.350 | beta: 0.040 | avgMAP: 0.0707 |
|RP3beta| iter:    70/160 | topk: 270 | alpha: 0.400 | beta: 0.040 | avgMAP: 0.0703 |
|RP3beta| iter:    71/160 | topk: 270 | alpha: 0.450 | beta: 0.040 | avgMAP: 0.0694 |
|RP3beta| iter:    72/160 | topk: 290 | alpha: 0.300 | beta: 0.040 | avgMAP: 0.0706 |
|RP3beta| iter:    73/160 | topk: 290 | alpha: 0.350 | beta: 0.040 | avgMAP: 0.0707 |
