|UserKNNCF| iter:    58/234 | topk: 230 | shrink: 300 | sim type: cosine | avgMAP: 0.0568 |
|UserKNNCF| iter:    59/234 | topk: 230 | shrink: 350 | sim type: cosine | avgMAP: 0.0568 |
|UserKNNCF| iter:    60/234 | topk: 250 | shrink: 100 | sim type: cosine | avgMAP: 0.0565 |
|UserKNNCF| iter:    61/234 | topk: 250 | shrink: 150 | sim type: cosine | avgMAP: 0.0566 |
|UserKNNCF| iter:    62/234 | topk: 250 | shrink: 200 | sim type: cosine | avgMAP: 0.0566 |
|UserKNNCF| iter:    63/234 | topk: 250 | shrink: 250 | sim type: cosine | avgMAP: 0.0566 |
|UserKNNCF| iter:    64/234 | topk: 250 | shrink: 300 | sim type: cosine | avgMAP: 0.0566 |
|UserKNNCF| iter:    65/234 | topk: 250 | shrink: 350 | sim type: cosine | avgMAP: 0.0566 |
|UserKNNCF| iter:    66/234 | topk: 270 | shrink: 100 | sim type: cosine | avgMAP: 0.0565 |
|UserKNNCF| iter:    67/234 | topk: 270 | shrink: 150 | sim type: cosine | avgMAP: 0.0565 |
|UserKNNCF| iter:    68/234 | topk: 270 | shrink: 200 | sim type: cosine | avgMAP: 0.0566 |
|UserKNNCF| iter:    69/234 | topk: 270 | shrink: 250 | sim type: cosine | avgMAP: 0.0566 |
|UserKNNCF| iter:    70/234 | topk: 270 | shrink: 300 | sim type: cosine | avgMAP: 0.0565 |
|UserKNNCF| iter:    71/234 | topk: 270 | shrink: 350 | sim type: cosine | avgMAP: 0.0566 |
|UserKNNCF| iter:    72/234 | topk: 290 | shrink: 100 | sim type: cosine | avgMAP: 0.0564 |
|UserKNNCF| iter:    73/234 | topk: 290 | shrink: 150 | sim type: cosine | avgMAP: 0.0565 |
|UserKNNCF| iter:    74/234 | topk: 290 | shrink: 200 | sim type: cosine | avgMAP: 0.0565 |
|UserKNNCF| iter:    75/234 | topk: 290 | shrink: 250 | sim type: cosine | avgMAP: 0.0565 |
|UserKNNCF| iter:    76/234 | topk: 290 | shrink: 300 | sim type: cosine | avgMAP: 0.0564 |
|UserKNNCF| iter:    77/234 | topk: 290 | shrink: 350 | sim type: cosine | avgMAP: 0.0565 |
|UserKNNCF| iter:    78/234 | topk:  50 | shrink: 100 | sim type: splus | avgMAP: 0.0550 |
|UserKNNCF| iter:    79/234 | topk:  50 | shrink: 150 | sim type: splus | avgMAP: 0.0551 |
|UserKNNCF| iter:    80/234 | topk:  50 | shrink: 200 | sim type: splus | avgMAP: 0.0551 |
|UserKNNCF| iter:    81/234 | topk:  50 | shrink: 250 | sim type: splus | avgMAP: 0.0552 |
|UserKNNCF| iter:    82/234 | topk:  50 | shrink: 300 | sim type: splus | avgMAP: 0.0552 |
|UserKNNCF| iter:    83/234 | topk:  50 | shrink: 350 | sim type: splus | avgMAP: 0.0553 |
|UserKNNCF| iter:    84/234 | topk:  70 | shrink: 100 | sim type: splus | avgMAP: 0.0560 |
|UserKNNCF| iter:    85/234 | topk:  70 | shrink: 150 | sim type: splus | avgMAP: 0.0562 |
|UserKNNCF| iter:    86/234 | topk:  70 | shrink: 200 | sim type: splus | avgMAP: 0.0561 |
|UserKNNCF| iter:    87/234 | topk:  70 | shrink: 250 | sim type: splus | avgMAP: 0.0562 |
|UserKNNCF| iter:    88/234 | topk:  70 | shrink: 300 | sim type: splus | avgMAP: 0.0563 |
|UserKNNCF| iter:    89/234 | topk:  70 | shrink: 350 | sim type: splus | avgMAP: 0.0563 |
|UserKNNCF| iter:    90/234 | topk:  90 | shrink: 100 | sim type: splus | avgMAP: 0.0564 |
|UserKNNCF| iter:    91/234 | topk:  90 | shrink: 150 | sim type: splus | avgMAP: 0.0565 |
|UserKNNCF| iter:    92/234 | topk:  90 | shrink: 200 | sim type: splus | avgMAP: 0.0565 |
|UserKNNCF| iter:    93/234 | topk:  90 | shrink: 250 | sim type: splus | avgMAP: 0.0566 |
|UserKNNCF| iter:    94/234 | topk:  90 | shrink: 300 | sim type: splus | avgMAP: 0.0567 |
|UserKNNCF| iter:    95/234 | topk:  90 | shrink: 350 | sim type: splus | avgMAP: 0.0567 |
|UserKNNCF| iter:    96/234 | topk: 110 | shrink: 100 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:    97/234 | topk: 110 | shrink: 150 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:    98/234 | topk: 110 | shrink: 200 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:    99/234 | topk: 110 | shrink: 250 | sim type: splus | avgMAP: 0.0570 |
|UserKNNCF| iter:   100/234 | topk: 110 | shrink: 300 | sim type: splus | avgMAP: 0.0571 |
|UserKNNCF| iter:   101/234 | topk: 110 | shrink: 350 | sim type: splus | avgMAP: 0.0571 |
|UserKNNCF| iter:   102/234 | topk: 130 | shrink: 100 | sim type: splus | avgMAP: 0.0568 |
|UserKNNCF| iter:   103/234 | topk: 130 | shrink: 150 | sim type: splus | avgMAP: 0.0568 |
|UserKNNCF| iter:   104/234 | topk: 130 | shrink: 200 | sim type: splus | avgMAP: 0.0568 |
|UserKNNCF| iter:   105/234 | topk: 130 | shrink: 250 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   106/234 | topk: 130 | shrink: 300 | sim type: splus | avgMAP: 0.0570 |
|UserKNNCF| iter:   107/234 | topk: 130 | shrink: 350 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   108/234 | topk: 150 | shrink: 100 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   109/234 | topk: 150 | shrink: 150 | sim type: splus | avgMAP: 0.0568 |
|UserKNNCF| iter:   110/234 | topk: 150 | shrink: 200 | sim type: splus | avgMAP: 0.0568 |
|UserKNNCF| iter:   111/234 | topk: 150 | shrink: 250 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   112/234 | topk: 150 | shrink: 300 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   113/234 | topk: 150 | shrink: 350 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   114/234 | topk: 170 | shrink: 100 | sim type: splus | avgMAP: 0.0568 |
|UserKNNCF| iter:   115/234 | topk: 170 | shrink: 150 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   116/234 | topk: 170 | shrink: 200 | sim type: splus | avgMAP: 0.0568 |
|UserKNNCF| iter:   117/234 | topk: 170 | shrink: 250 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   118/234 | topk: 170 | shrink: 300 | sim type: splus | avgMAP: 0.0570 |
|UserKNNCF| iter:   119/234 | topk: 170 | shrink: 350 | sim type: splus | avgMAP: 0.0570 |
|UserKNNCF| iter:   120/234 | topk: 190 | shrink: 100 | sim type: splus | avgMAP: 0.0568 |
|UserKNNCF| iter:   121/234 | topk: 190 | shrink: 150 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   122/234 | topk: 190 | shrink: 200 | sim type: splus | avgMAP: 0.0568 |
|UserKNNCF| iter:   123/234 | topk: 190 | shrink: 250 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   124/234 | topk: 190 | shrink: 300 | sim type: splus | avgMAP: 0.0570 |
|UserKNNCF| iter:   125/234 | topk: 190 | shrink: 350 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   126/234 | topk: 210 | shrink: 100 | sim type: splus | avgMAP: 0.0567 |
|UserKNNCF| iter:   127/234 | topk: 210 | shrink: 150 | sim type: splus | avgMAP: 0.0568 |
|UserKNNCF| iter:   128/234 | topk: 210 | shrink: 200 | sim type: splus | avgMAP: 0.0568 |
|UserKNNCF| iter:   129/234 | topk: 210 | shrink: 250 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   130/234 | topk: 210 | shrink: 300 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   131/234 | topk: 210 | shrink: 350 | sim type: splus | avgMAP: 0.0569 |
|UserKNNCF| iter:   132/234 | topk: 230 | shrink: 100 | sim type: splus | avgMAP: 0.0566 |
|UserKNNCF| iter:   133/234 | topk: 230 | shrink: 150 | sim type: splus | avgMAP: 0.0567 |
|UserKNNCF| iter:   134/234 | topk: 230 | shrink: 200 | sim type: splus | avgMAP: 0.0566 |
|UserKNNCF| iter:   135/234 | topk: 230 | shrink: 250 | sim type: splus | avgMAP: 0.0567 |
|UserKNNCF| iter:   136/234 | topk: 230 | shrink: 300 | sim type: splus | avgMAP: 0.0568 |
|UserKNNCF| iter:   137/234 | topk: 230 | shrink: 350 | sim type: splus | avgMAP: 0.0567 |
|UserKNNCF| iter:   138/234 | topk: 250 | shrink: 100 | sim type: splus | avgMAP: 0.0564 |
|UserKNNCF| iter:   139/234 | topk: 250 | shrink: 150 | sim type: splus | avgMAP: 0.0565 |
|UserKNNCF| iter:   140/234 | topk: 250 | shrink: 200 | sim type: splus | avgMAP: 0.0565 |
|UserKNNCF| iter:   141/234 | topk: 250 | shrink: 250 | sim type: splus | avgMAP: 0.0565 |
|UserKNNCF| iter:   142/234 | topk: 250 | shrink: 300 | sim type: splus | avgMAP: 0.0566 |
|UserKNNCF| iter:   143/234 | topk: 250 | shrink: 350 | sim type: splus | avgMAP: 0.0566 |
|UserKNNCF| iter:   144/234 | topk: 270 | shrink: 100 | sim type: splus | avgMAP: 0.0563 |
|UserKNNCF| iter:   145/234 | topk: 270 | shrink: 150 | sim type: splus | avgMAP: 0.0564 |
|UserKNNCF| iter:   146/234 | topk: 270 | shrink: 200 | sim type: splus | avgMAP: 0.0564 |
|UserKNNCF| iter:   147/234 | topk: 270 | shrink: 250 | sim type: splus | avgMAP: 0.0565 |
|UserKNNCF| iter:   148/234 | topk: 270 | shrink: 300 | sim type: splus | avgMAP: 0.0565 |
|UserKNNCF| iter:   149/234 | topk: 270 | shrink: 350 | sim type: splus | avgMAP: 0.0565 |
|UserKNNCF| iter:   150/234 | topk: 290 | shrink: 100 | sim type: splus | avgMAP: 0.0563 |
|UserKNNCF| iter:   151/234 | topk: 290 | shrink: 150 | sim type: splus | avgMAP: 0.0564 |
|UserKNNCF| iter:   152/234 | topk: 290 | shrink: 200 | sim type: splus | avgMAP: 0.0563 |
|UserKNNCF| iter:   153/234 | topk: 290 | shrink: 250 | sim type: splus | avgMAP: 0.0564 |
|UserKNNCF| iter:   154/234 | topk: 290 | shrink: 300 | sim type: splus | avgMAP: 0.0565 |
|UserKNNCF| iter:   155/234 | topk: 290 | shrink: 350 | sim type: splus | avgMAP: 0.0565 |
|UserKNNCF| iter:   156/234 | topk:  50 | shrink: 100 | sim type: jaccard | avgMAP: 0.0546 |
|UserKNNCF| iter:   157/234 | topk:  50 | shrink: 150 | sim type: jaccard | avgMAP: 0.0548 |
|UserKNNCF| iter:   158/234 | topk:  50 | shrink: 200 | sim type: jaccard | avgMAP: 0.0550 |
|UserKNNCF| iter:   159/234 | topk:  50 | shrink: 250 | sim type: jaccard | avgMAP: 0.0550 |
|UserKNNCF| iter:   160/234 | topk:  50 | shrink: 300 | sim type: jaccard | avgMAP: 0.0551 |
|UserKNNCF| iter:   161/234 | topk:  50 | shrink: 350 | sim type: jaccard | avgMAP: 0.0551 |
|UserKNNCF| iter:   162/234 | topk:  70 | shrink: 100 | sim type: jaccard | avgMAP: 0.0557 |
|UserKNNCF| iter:   163/234 | topk:  70 | shrink: 150 | sim type: jaccard | avgMAP: 0.0559 |
|UserKNNCF| iter:   164/234 | topk:  70 | shrink: 200 | sim type: jaccard | avgMAP: 0.0560 |
|UserKNNCF| iter:   165/234 | topk:  70 | shrink: 250 | sim type: jaccard | avgMAP: 0.0561 |
|UserKNNCF| iter:   166/234 | topk:  70 | shrink: 300 | sim type: jaccard | avgMAP: 0.0562 |
|UserKNNCF| iter:   167/234 | topk:  70 | shrink: 350 | sim type: jaccard | avgMAP: 0.0561 |
|UserKNNCF| iter:   168/234 | topk:  90 | shrink: 100 | sim type: jaccard | avgMAP: 0.0562 |
|UserKNNCF| iter:   169/234 | topk:  90 | shrink: 150 | sim type: jaccard | avgMAP: 0.0563 |
|UserKNNCF| iter:   170/234 | topk:  90 | shrink: 200 | sim type: jaccard | avgMAP: 0.0564 |
|UserKNNCF| iter:   171/234 | topk:  90 | shrink: 250 | sim type: jaccard | avgMAP: 0.0565 |
|UserKNNCF| iter:   172/234 | topk:  90 | shrink: 300 | sim type: jaccard | avgMAP: 0.0565 |
|UserKNNCF| iter:   173/234 | topk:  90 | shrink: 350 | sim type: jaccard | avgMAP: 0.0565 |
|UserKNNCF| iter:   174/234 | topk: 110 | shrink: 100 | sim type: jaccard | avgMAP: 0.0567 |
|UserKNNCF| iter:   175/234 | topk: 110 | shrink: 150 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   176/234 | topk: 110 | shrink: 200 | sim type: jaccard | avgMAP: 0.0569 |
|UserKNNCF| iter:   177/234 | topk: 110 | shrink: 250 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   178/234 | topk: 110 | shrink: 300 | sim type: jaccard | avgMAP: 0.0569 |
|UserKNNCF| iter:   179/234 | topk: 110 | shrink: 350 | sim type: jaccard | avgMAP: 0.0569 |
