| iter:     0/324 | topk:  20 | alpha: 0.200 | beta: 0.000 | MAP: 0.0467 |
| iter:     1/324 | topk:  20 | alpha: 0.200 | beta: 0.050 | MAP: 0.0469 |
| iter:     2/324 | topk:  20 | alpha: 0.200 | beta: 0.100 | MAP: 0.0471 |
| iter:     3/324 | topk:  20 | alpha: 0.200 | beta: 0.150 | MAP: 0.0471 |
| iter:     4/324 | topk:  20 | alpha: 0.200 | beta: 0.200 | MAP: 0.0466 |
| iter:     5/324 | topk:  20 | alpha: 0.200 | beta: 0.250 | MAP: 0.0461 |
| iter:     6/324 | topk:  20 | alpha: 0.250 | beta: 0.000 | MAP: 0.0471 |
| iter:     7/324 | topk:  20 | alpha: 0.250 | beta: 0.050 | MAP: 0.0476 |
| iter:     8/324 | topk:  20 | alpha: 0.250 | beta: 0.100 | MAP: 0.0475 |
| iter:     9/324 | topk:  20 | alpha: 0.250 | beta: 0.150 | MAP: 0.0470 |
| iter:    10/324 | topk:  20 | alpha: 0.250 | beta: 0.200 | MAP: 0.0464 |
| iter:    11/324 | topk:  20 | alpha: 0.250 | beta: 0.250 | MAP: 0.0461 |
| iter:    12/324 | topk:  20 | alpha: 0.300 | beta: 0.000 | MAP: 0.0474 |
| iter:    13/324 | topk:  20 | alpha: 0.300 | beta: 0.050 | MAP: 0.0477 |
| iter:    14/324 | topk:  20 | alpha: 0.300 | beta: 0.100 | MAP: 0.0467 |
| iter:    15/324 | topk:  20 | alpha: 0.300 | beta: 0.150 | MAP: 0.0470 |
| iter:    16/324 | topk:  20 | alpha: 0.300 | beta: 0.200 | MAP: 0.0460 |
| iter:    17/324 | topk:  20 | alpha: 0.300 | beta: 0.250 | MAP: 0.0454 |
| iter:    18/324 | topk:  20 | alpha: 0.350 | beta: 0.000 | MAP: 0.0476 |
| iter:    19/324 | topk:  20 | alpha: 0.350 | beta: 0.050 | MAP: 0.0476 |
| iter:    20/324 | topk:  20 | alpha: 0.350 | beta: 0.100 | MAP: 0.0464 |
| iter:    21/324 | topk:  20 | alpha: 0.350 | beta: 0.150 | MAP: 0.0463 |
| iter:    22/324 | topk:  20 | alpha: 0.350 | beta: 0.200 | MAP: 0.0451 |
| iter:    23/324 | topk:  20 | alpha: 0.350 | beta: 0.250 | MAP: 0.0451 |
| iter:    24/324 | topk:  20 | alpha: 0.400 | beta: 0.000 | MAP: 0.0473 |
| iter:    25/324 | topk:  20 | alpha: 0.400 | beta: 0.050 | MAP: 0.0473 |
| iter:    26/324 | topk:  20 | alpha: 0.400 | beta: 0.100 | MAP: 0.0459 |
| iter:    27/324 | topk:  20 | alpha: 0.400 | beta: 0.150 | MAP: 0.0456 |
| iter:    28/324 | topk:  20 | alpha: 0.400 | beta: 0.200 | MAP: 0.0448 |
| iter:    29/324 | topk:  20 | alpha: 0.400 | beta: 0.250 | MAP: 0.0432 |
| iter:    30/324 | topk:  20 | alpha: 0.450 | beta: 0.000 | MAP: 0.0466 |
| iter:    31/324 | topk:  20 | alpha: 0.450 | beta: 0.050 | MAP: 0.0463 |
| iter:    32/324 | topk:  20 | alpha: 0.450 | beta: 0.100 | MAP: 0.0453 |
| iter:    33/324 | topk:  20 | alpha: 0.450 | beta: 0.150 | MAP: 0.0446 |
| iter:    34/324 | topk:  20 | alpha: 0.450 | beta: 0.200 | MAP: 0.0438 |
| iter:    35/324 | topk:  20 | alpha: 0.450 | beta: 0.250 | MAP: 0.0418 |
| iter:    36/324 | topk:  40 | alpha: 0.200 | beta: 0.000 | MAP: 0.0508 |
| iter:    37/324 | topk:  40 | alpha: 0.200 | beta: 0.050 | MAP: 0.0508 |
| iter:    38/324 | topk:  40 | alpha: 0.200 | beta: 0.100 | MAP: 0.0512 |
| iter:    39/324 | topk:  40 | alpha: 0.200 | beta: 0.150 | MAP: 0.0503 |
| iter:    40/324 | topk:  40 | alpha: 0.200 | beta: 0.200 | MAP: 0.0496 |
| iter:    41/324 | topk:  40 | alpha: 0.200 | beta: 0.250 | MAP: 0.0480 |
| iter:    42/324 | topk:  40 | alpha: 0.250 | beta: 0.000 | MAP: 0.0511 |
| iter:    43/324 | topk:  40 | alpha: 0.250 | beta: 0.050 | MAP: 0.0515 |
| iter:    44/324 | topk:  40 | alpha: 0.250 | beta: 0.100 | MAP: 0.0512 |
| iter:    45/324 | topk:  40 | alpha: 0.250 | beta: 0.150 | MAP: 0.0504 |
| iter:    46/324 | topk:  40 | alpha: 0.250 | beta: 0.200 | MAP: 0.0492 |
| iter:    47/324 | topk:  40 | alpha: 0.250 | beta: 0.250 | MAP: 0.0479 |
| iter:    48/324 | topk:  40 | alpha: 0.300 | beta: 0.000 | MAP: 0.0513 |
| iter:    49/324 | topk:  40 | alpha: 0.300 | beta: 0.050 | MAP: 0.0514 |
| iter:    50/324 | topk:  40 | alpha: 0.300 | beta: 0.100 | MAP: 0.0515 |
| iter:    51/324 | topk:  40 | alpha: 0.300 | beta: 0.150 | MAP: 0.0505 |
| iter:    52/324 | topk:  40 | alpha: 0.300 | beta: 0.200 | MAP: 0.0494 |
