| iter:   221/960 | topk: 250 | alpha: 0.560 | norm: max | MAP: 0.0492 |
| iter:   222/960 | topk: 250 | alpha: 0.580 | norm: l2 | MAP: 0.0600 |
| iter:   223/960 | topk: 250 | alpha: 0.580 | norm: l1 | MAP: 0.0614 |
| iter:   224/960 | topk: 250 | alpha: 0.580 | norm: max | MAP: 0.0492 |
| iter:   225/960 | topk: 250 | alpha: 0.600 | norm: l2 | MAP: 0.0605 |
| iter:   226/960 | topk: 250 | alpha: 0.600 | norm: l1 | MAP: 0.0613 |
| iter:   227/960 | topk: 250 | alpha: 0.600 | norm: max | MAP: 0.0492 |
| iter:   228/960 | topk: 250 | alpha: 0.620 | norm: l2 | MAP: 0.0603 |
| iter:   229/960 | topk: 250 | alpha: 0.620 | norm: l1 | MAP: 0.0608 |
| iter:   230/960 | topk: 250 | alpha: 0.620 | norm: max | MAP: 0.0493 |
| iter:   231/960 | topk: 250 | alpha: 0.640 | norm: l2 | MAP: 0.0599 |
| iter:   232/960 | topk: 250 | alpha: 0.640 | norm: l1 | MAP: 0.0605 |
| iter:   233/960 | topk: 250 | alpha: 0.640 | norm: max | MAP: 0.0494 |
| iter:   234/960 | topk: 250 | alpha: 0.660 | norm: l2 | MAP: 0.0593 |
| iter:   235/960 | topk: 250 | alpha: 0.660 | norm: l1 | MAP: 0.0605 |
| iter:   236/960 | topk: 250 | alpha: 0.660 | norm: max | MAP: 0.0491 |
| iter:   237/960 | topk: 250 | alpha: 0.680 | norm: l2 | MAP: 0.0590 |
| iter:   238/960 | topk: 250 | alpha: 0.680 | norm: l1 | MAP: 0.0599 |
| iter:   239/960 | topk: 250 | alpha: 0.680 | norm: max | MAP: 0.0494 |
| iter:   240/960 | topk: 260 | alpha: 0.500 | norm: l2 | MAP: 0.0584 |
| iter:   241/960 | topk: 260 | alpha: 0.500 | norm: l1 | MAP: 0.0603 |
| iter:   242/960 | topk: 260 | alpha: 0.500 | norm: max | MAP: 0.0475 |
| iter:   243/960 | topk: 260 | alpha: 0.520 | norm: l2 | MAP: 0.0590 |
| iter:   244/960 | topk: 260 | alpha: 0.520 | norm: l1 | MAP: 0.0613 |
| iter:   245/960 | topk: 260 | alpha: 0.520 | norm: max | MAP: 0.0483 |
| iter:   246/960 | topk: 260 | alpha: 0.540 | norm: l2 | MAP: 0.0597 |
| iter:   247/960 | topk: 260 | alpha: 0.540 | norm: l1 | MAP: 0.0616 |
| iter:   248/960 | topk: 260 | alpha: 0.540 | norm: max | MAP: 0.0489 |
| iter:   249/960 | topk: 260 | alpha: 0.560 | norm: l2 | MAP: 0.0600 |
| iter:   250/960 | topk: 260 | alpha: 0.560 | norm: l1 | MAP: 0.0613 |
| iter:   251/960 | topk: 260 | alpha: 0.560 | norm: max | MAP: 0.0491 |
| iter:   252/960 | topk: 260 | alpha: 0.580 | norm: l2 | MAP: 0.0602 |
| iter:   253/960 | topk: 260 | alpha: 0.580 | norm: l1 | MAP: 0.0612 |
| iter:   254/960 | topk: 260 | alpha: 0.580 | norm: max | MAP: 0.0491 |
| iter:   255/960 | topk: 260 | alpha: 0.600 | norm: l2 | MAP: 0.0603 |
| iter:   256/960 | topk: 260 | alpha: 0.600 | norm: l1 | MAP: 0.0611 |
| iter:   257/960 | topk: 260 | alpha: 0.600 | norm: max | MAP: 0.0491 |
| iter:   258/960 | topk: 260 | alpha: 0.620 | norm: l2 | MAP: 0.0602 |
| iter:   259/960 | topk: 260 | alpha: 0.620 | norm: l1 | MAP: 0.0607 |
| iter:   260/960 | topk: 260 | alpha: 0.620 | norm: max | MAP: 0.0496 |
| iter:   261/960 | topk: 260 | alpha: 0.640 | norm: l2 | MAP: 0.0600 |
| iter:   262/960 | topk: 260 | alpha: 0.640 | norm: l1 | MAP: 0.0604 |
| iter:   263/960 | topk: 260 | alpha: 0.640 | norm: max | MAP: 0.0496 |
| iter:   264/960 | topk: 260 | alpha: 0.660 | norm: l2 | MAP: 0.0594 |
| iter:   265/960 | topk: 260 | alpha: 0.660 | norm: l1 | MAP: 0.0603 |
| iter:   266/960 | topk: 260 | alpha: 0.660 | norm: max | MAP: 0.0496 |
| iter:   267/960 | topk: 260 | alpha: 0.680 | norm: l2 | MAP: 0.0592 |
| iter:   268/960 | topk: 260 | alpha: 0.680 | norm: l1 | MAP: 0.0598 |
| iter:   269/960 | topk: 260 | alpha: 0.680 | norm: max | MAP: 0.0497 |
| iter:   270/960 | topk: 270 | alpha: 0.500 | norm: l2 | MAP: 0.0584 |
| iter:   271/960 | topk: 270 | alpha: 0.500 | norm: l1 | MAP: 0.0602 |
| iter:   272/960 | topk: 270 | alpha: 0.500 | norm: max | MAP: 0.0477 |
| iter:   273/960 | topk: 270 | alpha: 0.520 | norm: l2 | MAP: 0.0592 |
| iter:   274/960 | topk: 270 | alpha: 0.520 | norm: l1 | MAP: 0.0613 |
| iter:   275/960 | topk: 270 | alpha: 0.520 | norm: max | MAP: 0.0485 |
| iter:   276/960 | topk: 270 | alpha: 0.540 | norm: l2 | MAP: 0.0601 |
| iter:   277/960 | topk: 270 | alpha: 0.540 | norm: l1 | MAP: 0.0617 |
| iter:   278/960 | topk: 270 | alpha: 0.540 | norm: max | MAP: 0.0493 |
| iter:   279/960 | topk: 270 | alpha: 0.560 | norm: l2 | MAP: 0.0602 |
| iter:   280/960 | topk: 270 | alpha: 0.560 | norm: l1 | MAP: 0.0615 |
| iter:   281/960 | topk: 270 | alpha: 0.560 | norm: max | MAP: 0.0496 |
| iter:   282/960 | topk: 270 | alpha: 0.580 | norm: l2 | MAP: 0.0602 |
| iter:   283/960 | topk: 270 | alpha: 0.580 | norm: l1 | MAP: 0.0613 |
| iter:   284/960 | topk: 270 | alpha: 0.580 | norm: max | MAP: 0.0493 |
| iter:   285/960 | topk: 270 | alpha: 0.600 | norm: l2 | MAP: 0.0604 |
| iter:   286/960 | topk: 270 | alpha: 0.600 | norm: l1 | MAP: 0.0611 |
| iter:   287/960 | topk: 270 | alpha: 0.600 | norm: max | MAP: 0.0494 |
| iter:   288/960 | topk: 270 | alpha: 0.620 | norm: l2 | MAP: 0.0603 |
| iter:   289/960 | topk: 270 | alpha: 0.620 | norm: l1 | MAP: 0.0607 |
| iter:   290/960 | topk: 270 | alpha: 0.620 | norm: max | MAP: 0.0497 |
| iter:   291/960 | topk: 270 | alpha: 0.640 | norm: l2 | MAP: 0.0600 |
| iter:   292/960 | topk: 270 | alpha: 0.640 | norm: l1 | MAP: 0.0604 |
| iter:   293/960 | topk: 270 | alpha: 0.640 | norm: max | MAP: 0.0497 |
| iter:   294/960 | topk: 270 | alpha: 0.660 | norm: l2 | MAP: 0.0593 |
| iter:   295/960 | topk: 270 | alpha: 0.660 | norm: l1 | MAP: 0.0603 |
| iter:   296/960 | topk: 270 | alpha: 0.660 | norm: max | MAP: 0.0493 |
| iter:   297/960 | topk: 270 | alpha: 0.680 | norm: l2 | MAP: 0.0590 |
| iter:   298/960 | topk: 270 | alpha: 0.680 | norm: l1 | MAP: 0.0599 |
| iter:   299/960 | topk: 270 | alpha: 0.680 | norm: max | MAP: 0.0497 |
| iter:   300/960 | topk: 280 | alpha: 0.500 | norm: l2 | MAP: 0.0588 |
| iter:   301/960 | topk: 280 | alpha: 0.500 | norm: l1 | MAP: 0.0604 |
| iter:   302/960 | topk: 280 | alpha: 0.500 | norm: max | MAP: 0.0479 |
| iter:   303/960 | topk: 280 | alpha: 0.520 | norm: l2 | MAP: 0.0596 |
| iter:   304/960 | topk: 280 | alpha: 0.520 | norm: l1 | MAP: 0.0612 |
| iter:   305/960 | topk: 280 | alpha: 0.520 | norm: max | MAP: 0.0486 |
| iter:   306/960 | topk: 280 | alpha: 0.540 | norm: l2 | MAP: 0.0602 |
| iter:   307/960 | topk: 280 | alpha: 0.540 | norm: l1 | MAP: 0.0616 |
