| iter:    70/960 | topk: 200 | alpha: 0.560 | norm: l1 | MAP: 0.0585 |
| iter:    71/960 | topk: 200 | alpha: 0.560 | norm: max | MAP: 0.0593 |
| iter:    72/960 | topk: 200 | alpha: 0.580 | norm: l2 | MAP: 0.0603 |
| iter:    73/960 | topk: 200 | alpha: 0.580 | norm: l1 | MAP: 0.0585 |
| iter:    74/960 | topk: 200 | alpha: 0.580 | norm: max | MAP: 0.0593 |
| iter:    75/960 | topk: 200 | alpha: 0.600 | norm: l2 | MAP: 0.0602 |
| iter:    76/960 | topk: 200 | alpha: 0.600 | norm: l1 | MAP: 0.0588 |
| iter:    77/960 | topk: 200 | alpha: 0.600 | norm: max | MAP: 0.0596 |
| iter:    78/960 | topk: 200 | alpha: 0.620 | norm: l2 | MAP: 0.0602 |
| iter:    79/960 | topk: 200 | alpha: 0.620 | norm: l1 | MAP: 0.0591 |
| iter:    80/960 | topk: 200 | alpha: 0.620 | norm: max | MAP: 0.0601 |
| iter:    81/960 | topk: 200 | alpha: 0.640 | norm: l2 | MAP: 0.0602 |
| iter:    82/960 | topk: 200 | alpha: 0.640 | norm: l1 | MAP: 0.0590 |
| iter:    83/960 | topk: 200 | alpha: 0.640 | norm: max | MAP: 0.0600 |
| iter:    84/960 | topk: 200 | alpha: 0.660 | norm: l2 | MAP: 0.0599 |
| iter:    85/960 | topk: 200 | alpha: 0.660 | norm: l1 | MAP: 0.0592 |
| iter:    86/960 | topk: 200 | alpha: 0.660 | norm: max | MAP: 0.0597 |
| iter:    87/960 | topk: 200 | alpha: 0.680 | norm: l2 | MAP: 0.0602 |
| iter:    88/960 | topk: 200 | alpha: 0.680 | norm: l1 | MAP: 0.0590 |
| iter:    89/960 | topk: 200 | alpha: 0.680 | norm: max | MAP: 0.0595 |
| iter:    90/960 | topk: 210 | alpha: 0.500 | norm: l2 | MAP: 0.0589 |
| iter:    91/960 | topk: 210 | alpha: 0.500 | norm: l1 | MAP: 0.0582 |
| iter:    92/960 | topk: 210 | alpha: 0.500 | norm: max | MAP: 0.0589 |
