| iter:    82/190 | topk: 180 | alpha: 0.200 | MAP: 0.0536 |
| iter:    83/190 | topk: 180 | alpha: 0.300 | MAP: 0.0569 |
| iter:    84/190 | topk: 180 | alpha: 0.400 | MAP: 0.0582 |
| iter:    85/190 | topk: 180 | alpha: 0.500 | MAP: 0.0581 |
| iter:    86/190 | topk: 180 | alpha: 0.600 | MAP: 0.0576 |
| iter:    87/190 | topk: 180 | alpha: 0.700 | MAP: 0.0546 |
| iter:    88/190 | topk: 180 | alpha: 0.800 | MAP: 0.0504 |
| iter:    89/190 | topk: 180 | alpha: 0.900 | MAP: 0.0450 |
| iter:    90/190 | topk: 200 | alpha: 0.000 | MAP: 0.0458 |
| iter:    91/190 | topk: 200 | alpha: 0.100 | MAP: 0.0506 |
| iter:    92/190 | topk: 200 | alpha: 0.200 | MAP: 0.0532 |
| iter:    93/190 | topk: 200 | alpha: 0.300 | MAP: 0.0565 |
| iter:    94/190 | topk: 200 | alpha: 0.400 | MAP: 0.0581 |
| iter:    95/190 | topk: 200 | alpha: 0.500 | MAP: 0.0582 |
| iter:    96/190 | topk: 200 | alpha: 0.600 | MAP: 0.0577 |
| iter:    97/190 | topk: 200 | alpha: 0.700 | MAP: 0.0554 |
| iter:    98/190 | topk: 200 | alpha: 0.800 | MAP: 0.0511 |
| iter:    99/190 | topk: 200 | alpha: 0.900 | MAP: 0.0457 |
| iter:   100/190 | topk: 220 | alpha: 0.000 | MAP: 0.0450 |
| iter:   101/190 | topk: 220 | alpha: 0.100 | MAP: 0.0502 |
| iter:   102/190 | topk: 220 | alpha: 0.200 | MAP: 0.0529 |
| iter:   103/190 | topk: 220 | alpha: 0.300 | MAP: 0.0561 |
| iter:   104/190 | topk: 220 | alpha: 0.400 | MAP: 0.0580 |
| iter:   105/190 | topk: 220 | alpha: 0.500 | MAP: 0.0585 |
| iter:   106/190 | topk: 220 | alpha: 0.600 | MAP: 0.0580 |
| iter:   107/190 | topk: 220 | alpha: 0.700 | MAP: 0.0552 |
| iter:   108/190 | topk: 220 | alpha: 0.800 | MAP: 0.0516 |
| iter:   109/190 | topk: 220 | alpha: 0.900 | MAP: 0.0460 |
| iter:   110/190 | topk: 240 | alpha: 0.000 | MAP: 0.0450 |
| iter:   111/190 | topk: 240 | alpha: 0.100 | MAP: 0.0505 |
| iter:   112/190 | topk: 240 | alpha: 0.200 | MAP: 0.0524 |
| iter:   113/190 | topk: 240 | alpha: 0.300 | MAP: 0.0557 |
| iter:   114/190 | topk: 240 | alpha: 0.400 | MAP: 0.0580 |
| iter:   115/190 | topk: 240 | alpha: 0.500 | MAP: 0.0585 |
| iter:   116/190 | topk: 240 | alpha: 0.600 | MAP: 0.0581 |
| iter:   117/190 | topk: 240 | alpha: 0.700 | MAP: 0.0559 |
| iter:   118/190 | topk: 240 | alpha: 0.800 | MAP: 0.0521 |
| iter:   119/190 | topk: 240 | alpha: 0.900 | MAP: 0.0464 |
| iter:   120/190 | topk: 260 | alpha: 0.000 | MAP: 0.0457 |
| iter:   121/190 | topk: 260 | alpha: 0.100 | MAP: 0.0505 |
| iter:   122/190 | topk: 260 | alpha: 0.200 | MAP: 0.0527 |
| iter:   123/190 | topk: 260 | alpha: 0.300 | MAP: 0.0561 |
| iter:   124/190 | topk: 260 | alpha: 0.400 | MAP: 0.0576 |
| iter:   125/190 | topk: 260 | alpha: 0.500 | MAP: 0.0585 |
| iter:   126/190 | topk: 260 | alpha: 0.600 | MAP: 0.0581 |
| iter:   127/190 | topk: 260 | alpha: 0.700 | MAP: 0.0558 |
| iter:   128/190 | topk: 260 | alpha: 0.800 | MAP: 0.0523 |
| iter:   129/190 | topk: 260 | alpha: 0.900 | MAP: 0.0473 |
| iter:   130/190 | topk: 280 | alpha: 0.000 | MAP: 0.0461 |
| iter:   131/190 | topk: 280 | alpha: 0.100 | MAP: 0.0506 |
| iter:   132/190 | topk: 280 | alpha: 0.200 | MAP: 0.0530 |
| iter:   133/190 | topk: 280 | alpha: 0.300 | MAP: 0.0556 |
| iter:   134/190 | topk: 280 | alpha: 0.400 | MAP: 0.0577 |
| iter:   135/190 | topk: 280 | alpha: 0.500 | MAP: 0.0584 |
| iter:   136/190 | topk: 280 | alpha: 0.600 | MAP: 0.0583 |
| iter:   137/190 | topk: 280 | alpha: 0.700 | MAP: 0.0562 |
| iter:   138/190 | topk: 280 | alpha: 0.800 | MAP: 0.0529 |
| iter:   139/190 | topk: 280 | alpha: 0.900 | MAP: 0.0483 |
| iter:   140/190 | topk: 300 | alpha: 0.000 | MAP: 0.0451 |
| iter:   141/190 | topk: 300 | alpha: 0.100 | MAP: 0.0506 |
| iter:   142/190 | topk: 300 | alpha: 0.200 | MAP: 0.0530 |
| iter:   143/190 | topk: 300 | alpha: 0.300 | MAP: 0.0557 |
| iter:   144/190 | topk: 300 | alpha: 0.400 | MAP: 0.0576 |
| iter:   145/190 | topk: 300 | alpha: 0.500 | MAP: 0.0584 |
| iter:   146/190 | topk: 300 | alpha: 0.600 | MAP: 0.0587 |
| iter:   147/190 | topk: 300 | alpha: 0.700 | MAP: 0.0561 |
| iter:   148/190 | topk: 300 | alpha: 0.800 | MAP: 0.0534 |
| iter:   149/190 | topk: 300 | alpha: 0.900 | MAP: 0.0488 |
| iter:   150/190 | topk: 320 | alpha: 0.000 | MAP: 0.0457 |
| iter:   151/190 | topk: 320 | alpha: 0.100 | MAP: 0.0506 |
| iter:   152/190 | topk: 320 | alpha: 0.200 | MAP: 0.0529 |
| iter:   153/190 | topk: 320 | alpha: 0.300 | MAP: 0.0555 |
| iter:   154/190 | topk: 320 | alpha: 0.400 | MAP: 0.0575 |
| iter:   155/190 | topk: 320 | alpha: 0.500 | MAP: 0.0584 |
| iter:   156/190 | topk: 320 | alpha: 0.600 | MAP: 0.0582 |
| iter:   157/190 | topk: 320 | alpha: 0.700 | MAP: 0.0563 |
| iter:   158/190 | topk: 320 | alpha: 0.800 | MAP: 0.0530 |
| iter:   159/190 | topk: 320 | alpha: 0.900 | MAP: 0.0485 |
| iter:   160/190 | topk: 340 | alpha: 0.000 | MAP: 0.0454 |
| iter:   161/190 | topk: 340 | alpha: 0.100 | MAP: 0.0501 |
| iter:   162/190 | topk: 340 | alpha: 0.200 | MAP: 0.0525 |
| iter:   163/190 | topk: 340 | alpha: 0.300 | MAP: 0.0557 |
| iter:   164/190 | topk: 340 | alpha: 0.400 | MAP: 0.0575 |
| iter:   165/190 | topk: 340 | alpha: 0.500 | MAP: 0.0582 |
| iter:   166/190 | topk: 340 | alpha: 0.600 | MAP: 0.0583 |
| iter:   167/190 | topk: 340 | alpha: 0.700 | MAP: 0.0562 |
| iter:   168/190 | topk: 340 | alpha: 0.800 | MAP: 0.0529 |
| iter:   169/190 | topk: 340 | alpha: 0.900 | MAP: 0.0490 |
| iter:   170/190 | topk: 360 | alpha: 0.000 | MAP: 0.0453 |
| iter:   171/190 | topk: 360 | alpha: 0.100 | MAP: 0.0501 |
| iter:   172/190 | topk: 360 | alpha: 0.200 | MAP: 0.0524 |
| iter:   173/190 | topk: 360 | alpha: 0.300 | MAP: 0.0553 |
| iter:   174/190 | topk: 360 | alpha: 0.400 | MAP: 0.0580 |
| iter:   175/190 | topk: 360 | alpha: 0.500 | MAP: 0.0583 |
| iter:   176/190 | topk: 360 | alpha: 0.600 | MAP: 0.0584 |
| iter:   177/190 | topk: 360 | alpha: 0.700 | MAP: 0.0568 |
| iter:   178/190 | topk: 360 | alpha: 0.800 | MAP: 0.0533 |
| iter:   179/190 | topk: 360 | alpha: 0.900 | MAP: 0.0489 |
| iter:   180/190 | topk: 380 | alpha: 0.000 | MAP: 0.0459 |
| iter:   181/190 | topk: 380 | alpha: 0.100 | MAP: 0.0501 |
| iter:   182/190 | topk: 380 | alpha: 0.200 | MAP: 0.0524 |
| iter:   183/190 | topk: 380 | alpha: 0.300 | MAP: 0.0558 |
| iter:   184/190 | topk: 380 | alpha: 0.400 | MAP: 0.0575 |
| iter:   185/190 | topk: 380 | alpha: 0.500 | MAP: 0.0587 |
| iter:   186/190 | topk: 380 | alpha: 0.600 | MAP: 0.0583 |
| iter:   187/190 | topk: 380 | alpha: 0.700 | MAP: 0.0570 |
| iter:   188/190 | topk: 380 | alpha: 0.800 | MAP: 0.0537 |
| iter:   189/190 | topk: 380 | alpha: 0.900 | MAP: 0.0494 |
| best results | topk: 300 | alpha: 0.600 | MAP: 0.0587 |
