|ItemKNNCF| iter:     0/570 | topk:  20 | shrink:   0 | sim type: 'splus' | MAP: 0.0199 |
|ItemKNNCF| iter:     1/570 | topk:  20 | shrink:  20 | sim type: 'splus' | MAP: 0.0448 |
|ItemKNNCF| iter:     2/570 | topk:  20 | shrink:  40 | sim type: 'splus' | MAP: 0.0461 |
|ItemKNNCF| iter:     3/570 | topk:  20 | shrink:  60 | sim type: 'splus' | MAP: 0.0456 |
|ItemKNNCF| iter:     4/570 | topk:  20 | shrink:  80 | sim type: 'splus' | MAP: 0.0454 |
|ItemKNNCF| iter:     5/570 | topk:  20 | shrink: 100 | sim type: 'splus' | MAP: 0.0451 |
|ItemKNNCF| iter:     6/570 | topk:  20 | shrink: 120 | sim type: 'splus' | MAP: 0.0447 |
|ItemKNNCF| iter:     7/570 | topk:  20 | shrink: 140 | sim type: 'splus' | MAP: 0.0447 |
|ItemKNNCF| iter:     8/570 | topk:  20 | shrink: 160 | sim type: 'splus' | MAP: 0.0445 |
|ItemKNNCF| iter:     9/570 | topk:  20 | shrink: 180 | sim type: 'splus' | MAP: 0.0444 |
|ItemKNNCF| iter:    10/570 | topk:  40 | shrink:   0 | sim type: 'splus' | MAP: 0.0210 |
|ItemKNNCF| iter:    11/570 | topk:  40 | shrink:  20 | sim type: 'splus' | MAP: 0.0466 |
|ItemKNNCF| iter:    12/570 | topk:  40 | shrink:  40 | sim type: 'splus' | MAP: 0.0470 |
|ItemKNNCF| iter:    13/570 | topk:  40 | shrink:  60 | sim type: 'splus' | MAP: 0.0465 |
|ItemKNNCF| iter:    14/570 | topk:  40 | shrink:  80 | sim type: 'splus' | MAP: 0.0462 |
|ItemKNNCF| iter:    15/570 | topk:  40 | shrink: 100 | sim type: 'splus' | MAP: 0.0464 |
|ItemKNNCF| iter:    16/570 | topk:  40 | shrink: 120 | sim type: 'splus' | MAP: 0.0459 |
|ItemKNNCF| iter:    17/570 | topk:  40 | shrink: 140 | sim type: 'splus' | MAP: 0.0457 |
|ItemKNNCF| iter:    18/570 | topk:  40 | shrink: 160 | sim type: 'splus' | MAP: 0.0455 |
|ItemKNNCF| iter:    19/570 | topk:  40 | shrink: 180 | sim type: 'splus' | MAP: 0.0452 |
|ItemKNNCF| iter:    20/570 | topk:  60 | shrink:   0 | sim type: 'splus' | MAP: 0.0218 |
|ItemKNNCF| iter:    21/570 | topk:  60 | shrink:  20 | sim type: 'splus' | MAP: 0.0470 |
|ItemKNNCF| iter:    22/570 | topk:  60 | shrink:  40 | sim type: 'splus' | MAP: 0.0475 |
|ItemKNNCF| iter:    23/570 | topk:  60 | shrink:  60 | sim type: 'splus' | MAP: 0.0472 |
|ItemKNNCF| iter:    24/570 | topk:  60 | shrink:  80 | sim type: 'splus' | MAP: 0.0470 |
|ItemKNNCF| iter:    25/570 | topk:  60 | shrink: 100 | sim type: 'splus' | MAP: 0.0468 |
|ItemKNNCF| iter:    26/570 | topk:  60 | shrink: 120 | sim type: 'splus' | MAP: 0.0465 |
|ItemKNNCF| iter:    27/570 | topk:  60 | shrink: 140 | sim type: 'splus' | MAP: 0.0462 |
|ItemKNNCF| iter:    28/570 | topk:  60 | shrink: 160 | sim type: 'splus' | MAP: 0.0460 |
|ItemKNNCF| iter:    29/570 | topk:  60 | shrink: 180 | sim type: 'splus' | MAP: 0.0457 |
|ItemKNNCF| iter:    30/570 | topk:  80 | shrink:   0 | sim type: 'splus' | MAP: 0.0228 |
|ItemKNNCF| iter:    31/570 | topk:  80 | shrink:  20 | sim type: 'splus' | MAP: 0.0472 |
|ItemKNNCF| iter:    32/570 | topk:  80 | shrink:  40 | sim type: 'splus' | MAP: 0.0477 |
|ItemKNNCF| iter:    33/570 | topk:  80 | shrink:  60 | sim type: 'splus' | MAP: 0.0469 |
|ItemKNNCF| iter:    34/570 | topk:  80 | shrink:  80 | sim type: 'splus' | MAP: 0.0469 |
|ItemKNNCF| iter:    35/570 | topk:  80 | shrink: 100 | sim type: 'splus' | MAP: 0.0468 |
|ItemKNNCF| iter:    36/570 | topk:  80 | shrink: 120 | sim type: 'splus' | MAP: 0.0464 |
|ItemKNNCF| iter:    37/570 | topk:  80 | shrink: 140 | sim type: 'splus' | MAP: 0.0463 |
|ItemKNNCF| iter:    38/570 | topk:  80 | shrink: 160 | sim type: 'splus' | MAP: 0.0462 |
|ItemKNNCF| iter:    39/570 | topk:  80 | shrink: 180 | sim type: 'splus' | MAP: 0.0458 |
|ItemKNNCF| iter:    40/570 | topk: 100 | shrink:   0 | sim type: 'splus' | MAP: 0.0226 |
|ItemKNNCF| iter:    41/570 | topk: 100 | shrink:  20 | sim type: 'splus' | MAP: 0.0476 |
|ItemKNNCF| iter:    42/570 | topk: 100 | shrink:  40 | sim type: 'splus' | MAP: 0.0476 |
|ItemKNNCF| iter:    43/570 | topk: 100 | shrink:  60 | sim type: 'splus' | MAP: 0.0472 |
|ItemKNNCF| iter:    44/570 | topk: 100 | shrink:  80 | sim type: 'splus' | MAP: 0.0470 |
|ItemKNNCF| iter:    45/570 | topk: 100 | shrink: 100 | sim type: 'splus' | MAP: 0.0469 |
|ItemKNNCF| iter:    46/570 | topk: 100 | shrink: 120 | sim type: 'splus' | MAP: 0.0466 |
|ItemKNNCF| iter:    47/570 | topk: 100 | shrink: 140 | sim type: 'splus' | MAP: 0.0464 |
|ItemKNNCF| iter:    48/570 | topk: 100 | shrink: 160 | sim type: 'splus' | MAP: 0.0462 |
|ItemKNNCF| iter:    49/570 | topk: 100 | shrink: 180 | sim type: 'splus' | MAP: 0.0460 |
