|UserKNNCB| iter:    58/270 | topk: 120 | shrink: 160 | sim type: 'splus' | MAP: 0.0292 |
|UserKNNCB| iter:    59/270 | topk: 120 | shrink: 180 | sim type: 'splus' | MAP: 0.0286 |
|UserKNNCB| iter:    60/270 | topk: 140 | shrink:   0 | sim type: 'splus' | MAP: 0.0451 |
|UserKNNCB| iter:    61/270 | topk: 140 | shrink:  20 | sim type: 'splus' | MAP: 0.0418 |
|UserKNNCB| iter:    62/270 | topk: 140 | shrink:  40 | sim type: 'splus' | MAP: 0.0383 |
|UserKNNCB| iter:    63/270 | topk: 140 | shrink:  60 | sim type: 'splus' | MAP: 0.0358 |
|UserKNNCB| iter:    64/270 | topk: 140 | shrink:  80 | sim type: 'splus' | MAP: 0.0338 |
|UserKNNCB| iter:    65/270 | topk: 140 | shrink: 100 | sim type: 'splus' | MAP: 0.0316 |
|UserKNNCB| iter:    66/270 | topk: 140 | shrink: 120 | sim type: 'splus' | MAP: 0.0306 |
|UserKNNCB| iter:    67/270 | topk: 140 | shrink: 140 | sim type: 'splus' | MAP: 0.0292 |
|UserKNNCB| iter:    68/270 | topk: 140 | shrink: 160 | sim type: 'splus' | MAP: 0.0280 |
|UserKNNCB| iter:    69/270 | topk: 140 | shrink: 180 | sim type: 'splus' | MAP: 0.0274 |
|UserKNNCB| iter:    70/270 | topk: 160 | shrink:   0 | sim type: 'splus' | MAP: 0.0441 |
|UserKNNCB| iter:    71/270 | topk: 160 | shrink:  20 | sim type: 'splus' | MAP: 0.0400 |
|UserKNNCB| iter:    72/270 | topk: 160 | shrink:  40 | sim type: 'splus' | MAP: 0.0370 |
|UserKNNCB| iter:    73/270 | topk: 160 | shrink:  60 | sim type: 'splus' | MAP: 0.0348 |
|UserKNNCB| iter:    74/270 | topk: 160 | shrink:  80 | sim type: 'splus' | MAP: 0.0326 |
|UserKNNCB| iter:    75/270 | topk: 160 | shrink: 100 | sim type: 'splus' | MAP: 0.0312 |
|UserKNNCB| iter:    76/270 | topk: 160 | shrink: 120 | sim type: 'splus' | MAP: 0.0299 |
|UserKNNCB| iter:    77/270 | topk: 160 | shrink: 140 | sim type: 'splus' | MAP: 0.0285 |
|UserKNNCB| iter:    78/270 | topk: 160 | shrink: 160 | sim type: 'splus' | MAP: 0.0279 |
|UserKNNCB| iter:    79/270 | topk: 160 | shrink: 180 | sim type: 'splus' | MAP: 0.0273 |
|UserKNNCB| iter:    80/270 | topk: 180 | shrink:   0 | sim type: 'splus' | MAP: 0.0431 |
|UserKNNCB| iter:    81/270 | topk: 180 | shrink:  20 | sim type: 'splus' | MAP: 0.0390 |
|UserKNNCB| iter:    82/270 | topk: 180 | shrink:  40 | sim type: 'splus' | MAP: 0.0362 |
|UserKNNCB| iter:    83/270 | topk: 180 | shrink:  60 | sim type: 'splus' | MAP: 0.0335 |
|UserKNNCB| iter:    84/270 | topk: 180 | shrink:  80 | sim type: 'splus' | MAP: 0.0321 |
|UserKNNCB| iter:    85/270 | topk: 180 | shrink: 100 | sim type: 'splus' | MAP: 0.0304 |
|UserKNNCB| iter:    86/270 | topk: 180 | shrink: 120 | sim type: 'splus' | MAP: 0.0284 |
|UserKNNCB| iter:    87/270 | topk: 180 | shrink: 140 | sim type: 'splus' | MAP: 0.0276 |
|UserKNNCB| iter:    88/270 | topk: 180 | shrink: 160 | sim type: 'splus' | MAP: 0.0271 |
|UserKNNCB| iter:    89/270 | topk: 180 | shrink: 180 | sim type: 'splus' | MAP: 0.0264 |
|UserKNNCB| iter:    90/270 | topk:  20 | shrink:   0 | sim type: 'cosine' | MAP: 0.0498 |
|UserKNNCB| iter:    91/270 | topk:  20 | shrink:  20 | sim type: 'cosine' | MAP: 0.0495 |
|UserKNNCB| iter:    92/270 | topk:  20 | shrink:  40 | sim type: 'cosine' | MAP: 0.0475 |
|UserKNNCB| iter:    93/270 | topk:  20 | shrink:  60 | sim type: 'cosine' | MAP: 0.0464 |
|UserKNNCB| iter:    94/270 | topk:  20 | shrink:  80 | sim type: 'cosine' | MAP: 0.0454 |
|UserKNNCB| iter:    95/270 | topk:  20 | shrink: 100 | sim type: 'cosine' | MAP: 0.0445 |
|UserKNNCB| iter:    96/270 | topk:  20 | shrink: 120 | sim type: 'cosine' | MAP: 0.0429 |
|UserKNNCB| iter:    97/270 | topk:  20 | shrink: 140 | sim type: 'cosine' | MAP: 0.0420 |
|UserKNNCB| iter:    98/270 | topk:  20 | shrink: 160 | sim type: 'cosine' | MAP: 0.0416 |
|UserKNNCB| iter:    99/270 | topk:  20 | shrink: 180 | sim type: 'cosine' | MAP: 0.0409 |
|UserKNNCB| iter:   100/270 | topk:  40 | shrink:   0 | sim type: 'cosine' | MAP: 0.0509 |
|UserKNNCB| iter:   101/270 | topk:  40 | shrink:  20 | sim type: 'cosine' | MAP: 0.0493 |
|UserKNNCB| iter:   102/270 | topk:  40 | shrink:  40 | sim type: 'cosine' | MAP: 0.0468 |
|UserKNNCB| iter:   103/270 | topk:  40 | shrink:  60 | sim type: 'cosine' | MAP: 0.0450 |
|UserKNNCB| iter:   104/270 | topk:  40 | shrink:  80 | sim type: 'cosine' | MAP: 0.0441 |
|UserKNNCB| iter:   105/270 | topk:  40 | shrink: 100 | sim type: 'cosine' | MAP: 0.0418 |
|UserKNNCB| iter:   106/270 | topk:  40 | shrink: 120 | sim type: 'cosine' | MAP: 0.0404 |
|UserKNNCB| iter:   107/270 | topk:  40 | shrink: 140 | sim type: 'cosine' | MAP: 0.0396 |
|UserKNNCB| iter:   108/270 | topk:  40 | shrink: 160 | sim type: 'cosine' | MAP: 0.0382 |
|UserKNNCB| iter:   109/270 | topk:  40 | shrink: 180 | sim type: 'cosine' | MAP: 0.0368 |
|UserKNNCB| iter:   110/270 | topk:  60 | shrink:   0 | sim type: 'cosine' | MAP: 0.0501 |
|UserKNNCB| iter:   111/270 | topk:  60 | shrink:  20 | sim type: 'cosine' | MAP: 0.0476 |
|UserKNNCB| iter:   112/270 | topk:  60 | shrink:  40 | sim type: 'cosine' | MAP: 0.0449 |
|UserKNNCB| iter:   113/270 | topk:  60 | shrink:  60 | sim type: 'cosine' | MAP: 0.0432 |
|UserKNNCB| iter:   114/270 | topk:  60 | shrink:  80 | sim type: 'cosine' | MAP: 0.0413 |
|UserKNNCB| iter:   115/270 | topk:  60 | shrink: 100 | sim type: 'cosine' | MAP: 0.0391 |
|UserKNNCB| iter:   116/270 | topk:  60 | shrink: 120 | sim type: 'cosine' | MAP: 0.0376 |
|UserKNNCB| iter:   117/270 | topk:  60 | shrink: 140 | sim type: 'cosine' | MAP: 0.0364 |
|UserKNNCB| iter:   118/270 | topk:  60 | shrink: 160 | sim type: 'cosine' | MAP: 0.0350 |
|UserKNNCB| iter:   119/270 | topk:  60 | shrink: 180 | sim type: 'cosine' | MAP: 0.0339 |
|UserKNNCB| iter:   120/270 | topk:  80 | shrink:   0 | sim type: 'cosine' | MAP: 0.0488 |
|UserKNNCB| iter:   121/270 | topk:  80 | shrink:  20 | sim type: 'cosine' | MAP: 0.0457 |
|UserKNNCB| iter:   122/270 | topk:  80 | shrink:  40 | sim type: 'cosine' | MAP: 0.0434 |
|UserKNNCB| iter:   123/270 | topk:  80 | shrink:  60 | sim type: 'cosine' | MAP: 0.0406 |
|UserKNNCB| iter:   124/270 | topk:  80 | shrink:  80 | sim type: 'cosine' | MAP: 0.0385 |
|UserKNNCB| iter:   125/270 | topk:  80 | shrink: 100 | sim type: 'cosine' | MAP: 0.0373 |
|UserKNNCB| iter:   126/270 | topk:  80 | shrink: 120 | sim type: 'cosine' | MAP: 0.0354 |
|UserKNNCB| iter:   127/270 | topk:  80 | shrink: 140 | sim type: 'cosine' | MAP: 0.0341 |
|UserKNNCB| iter:   128/270 | topk:  80 | shrink: 160 | sim type: 'cosine' | MAP: 0.0325 |
|UserKNNCB| iter:   129/270 | topk:  80 | shrink: 180 | sim type: 'cosine' | MAP: 0.0315 |
|UserKNNCB| iter:   130/270 | topk: 100 | shrink:   0 | sim type: 'cosine' | MAP: 0.0482 |
|UserKNNCB| iter:   131/270 | topk: 100 | shrink:  20 | sim type: 'cosine' | MAP: 0.0441 |
|UserKNNCB| iter:   132/270 | topk: 100 | shrink:  40 | sim type: 'cosine' | MAP: 0.0413 |
|UserKNNCB| iter:   133/270 | topk: 100 | shrink:  60 | sim type: 'cosine' | MAP: 0.0384 |
|UserKNNCB| iter:   134/270 | topk: 100 | shrink:  80 | sim type: 'cosine' | MAP: 0.0366 |
|UserKNNCB| iter:   135/270 | topk: 100 | shrink: 100 | sim type: 'cosine' | MAP: 0.0354 |
|UserKNNCB| iter:   136/270 | topk: 100 | shrink: 120 | sim type: 'cosine' | MAP: 0.0334 |
|UserKNNCB| iter:   137/270 | topk: 100 | shrink: 140 | sim type: 'cosine' | MAP: 0.0319 |
|UserKNNCB| iter:   138/270 | topk: 100 | shrink: 160 | sim type: 'cosine' | MAP: 0.0311 |
|UserKNNCB| iter:   139/270 | topk: 100 | shrink: 180 | sim type: 'cosine' | MAP: 0.0299 |
|UserKNNCB| iter:   140/270 | topk: 120 | shrink:   0 | sim type: 'cosine' | MAP: 0.0464 |
|UserKNNCB| iter:   141/270 | topk: 120 | shrink:  20 | sim type: 'cosine' | MAP: 0.0428 |
|UserKNNCB| iter:   142/270 | topk: 120 | shrink:  40 | sim type: 'cosine' | MAP: 0.0395 |
|UserKNNCB| iter:   143/270 | topk: 120 | shrink:  60 | sim type: 'cosine' | MAP: 0.0369 |
|UserKNNCB| iter:   144/270 | topk: 120 | shrink:  80 | sim type: 'cosine' | MAP: 0.0349 |
|UserKNNCB| iter:   145/270 | topk: 120 | shrink: 100 | sim type: 'cosine' | MAP: 0.0329 |
|UserKNNCB| iter:   146/270 | topk: 120 | shrink: 120 | sim type: 'cosine' | MAP: 0.0317 |
|UserKNNCB| iter:   147/270 | topk: 120 | shrink: 140 | sim type: 'cosine' | MAP: 0.0305 |
|UserKNNCB| iter:   148/270 | topk: 120 | shrink: 160 | sim type: 'cosine' | MAP: 0.0292 |
|UserKNNCB| iter:   149/270 | topk: 120 | shrink: 180 | sim type: 'cosine' | MAP: 0.0286 |
|UserKNNCB| iter:   150/270 | topk: 140 | shrink:   0 | sim type: 'cosine' | MAP: 0.0451 |
|UserKNNCB| iter:   151/270 | topk: 140 | shrink:  20 | sim type: 'cosine' | MAP: 0.0418 |
|UserKNNCB| iter:   152/270 | topk: 140 | shrink:  40 | sim type: 'cosine' | MAP: 0.0383 |
|UserKNNCB| iter:   153/270 | topk: 140 | shrink:  60 | sim type: 'cosine' | MAP: 0.0358 |
|UserKNNCB| iter:   154/270 | topk: 140 | shrink:  80 | sim type: 'cosine' | MAP: 0.0338 |
|UserKNNCB| iter:   155/270 | topk: 140 | shrink: 100 | sim type: 'cosine' | MAP: 0.0316 |
|UserKNNCB| iter:   156/270 | topk: 140 | shrink: 120 | sim type: 'cosine' | MAP: 0.0306 |
|UserKNNCB| iter:   157/270 | topk: 140 | shrink: 140 | sim type: 'cosine' | MAP: 0.0292 |
|UserKNNCB| iter:   158/270 | topk: 140 | shrink: 160 | sim type: 'cosine' | MAP: 0.0280 |
|UserKNNCB| iter:   159/270 | topk: 140 | shrink: 180 | sim type: 'cosine' | MAP: 0.0274 |
|UserKNNCB| iter:   160/270 | topk: 160 | shrink:   0 | sim type: 'cosine' | MAP: 0.0441 |
|UserKNNCB| iter:   161/270 | topk: 160 | shrink:  20 | sim type: 'cosine' | MAP: 0.0400 |
|UserKNNCB| iter:   162/270 | topk: 160 | shrink:  40 | sim type: 'cosine' | MAP: 0.0370 |
|UserKNNCB| iter:   163/270 | topk: 160 | shrink:  60 | sim type: 'cosine' | MAP: 0.0348 |
|UserKNNCB| iter:   164/270 | topk: 160 | shrink:  80 | sim type: 'cosine' | MAP: 0.0326 |
|UserKNNCB| iter:   165/270 | topk: 160 | shrink: 100 | sim type: 'cosine' | MAP: 0.0312 |
|UserKNNCB| iter:   166/270 | topk: 160 | shrink: 120 | sim type: 'cosine' | MAP: 0.0299 |
|UserKNNCB| iter:   167/270 | topk: 160 | shrink: 140 | sim type: 'cosine' | MAP: 0.0285 |
|UserKNNCB| iter:   168/270 | topk: 160 | shrink: 160 | sim type: 'cosine' | MAP: 0.0279 |
|UserKNNCB| iter:   169/270 | topk: 160 | shrink: 180 | sim type: 'cosine' | MAP: 0.0273 |
|UserKNNCB| iter:   170/270 | topk: 180 | shrink:   0 | sim type: 'cosine' | MAP: 0.0431 |
|UserKNNCB| iter:   171/270 | topk: 180 | shrink:  20 | sim type: 'cosine' | MAP: 0.0390 |
|UserKNNCB| iter:   172/270 | topk: 180 | shrink:  40 | sim type: 'cosine' | MAP: 0.0362 |
|UserKNNCB| iter:   173/270 | topk: 180 | shrink:  60 | sim type: 'cosine' | MAP: 0.0335 |
|UserKNNCB| iter:   174/270 | topk: 180 | shrink:  80 | sim type: 'cosine' | MAP: 0.0321 |
|UserKNNCB| iter:   175/270 | topk: 180 | shrink: 100 | sim type: 'cosine' | MAP: 0.0304 |
|UserKNNCB| iter:   176/270 | topk: 180 | shrink: 120 | sim type: 'cosine' | MAP: 0.0284 |
|UserKNNCB| iter:   177/270 | topk: 180 | shrink: 140 | sim type: 'cosine' | MAP: 0.0276 |
|UserKNNCB| iter:   178/270 | topk: 180 | shrink: 160 | sim type: 'cosine' | MAP: 0.0271 |
