|UserKNNCF| iter:    58/189 | topk: 180 | shrink:  40 | sim type: 'splus' | MAP: 0.0543 |
|UserKNNCF| iter:    59/189 | topk: 180 | shrink:  60 | sim type: 'splus' | MAP: 0.0538 |
|UserKNNCF| iter:    60/189 | topk: 180 | shrink:  80 | sim type: 'splus' | MAP: 0.0538 |
|UserKNNCF| iter:    61/189 | topk: 180 | shrink: 100 | sim type: 'splus' | MAP: 0.0538 |
|UserKNNCF| iter:    62/189 | topk: 180 | shrink: 120 | sim type: 'splus' | MAP: 0.0539 |
|UserKNNCF| iter:    63/189 | topk:  20 | shrink:   0 | sim type: 'cosine' | MAP: 0.0407 |
|UserKNNCF| iter:    64/189 | topk:  20 | shrink:  20 | sim type: 'cosine' | MAP: 0.0501 |
|UserKNNCF| iter:    65/189 | topk:  20 | shrink:  40 | sim type: 'cosine' | MAP: 0.0512 |
|UserKNNCF| iter:    66/189 | topk:  20 | shrink:  60 | sim type: 'cosine' | MAP: 0.0511 |
|UserKNNCF| iter:    67/189 | topk:  20 | shrink:  80 | sim type: 'cosine' | MAP: 0.0509 |
|UserKNNCF| iter:    68/189 | topk:  20 | shrink: 100 | sim type: 'cosine' | MAP: 0.0507 |
|UserKNNCF| iter:    69/189 | topk:  20 | shrink: 120 | sim type: 'cosine' | MAP: 0.0509 |
|UserKNNCF| iter:    70/189 | topk:  40 | shrink:   0 | sim type: 'cosine' | MAP: 0.0469 |
|UserKNNCF| iter:    71/189 | topk:  40 | shrink:  20 | sim type: 'cosine' | MAP: 0.0538 |
|UserKNNCF| iter:    72/189 | topk:  40 | shrink:  40 | sim type: 'cosine' | MAP: 0.0543 |
|UserKNNCF| iter:    73/189 | topk:  40 | shrink:  60 | sim type: 'cosine' | MAP: 0.0541 |
|UserKNNCF| iter:    74/189 | topk:  40 | shrink:  80 | sim type: 'cosine' | MAP: 0.0541 |
|UserKNNCF| iter:    75/189 | topk:  40 | shrink: 100 | sim type: 'cosine' | MAP: 0.0541 |
|UserKNNCF| iter:    76/189 | topk:  40 | shrink: 120 | sim type: 'cosine' | MAP: 0.0541 |
|UserKNNCF| iter:    77/189 | topk:  60 | shrink:   0 | sim type: 'cosine' | MAP: 0.0488 |
|UserKNNCF| iter:    78/189 | topk:  60 | shrink:  20 | sim type: 'cosine' | MAP: 0.0549 |
