['none', 'l2', 'l1', 'max']
|HRhat(ItemKNNCB, UserKNNCB)| iter:    52/18 | alpha: 0.700 | norm: none | MAP: 0.0398 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    53/18 | alpha: 0.700 | norm: l2 | MAP: 0.0495 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    54/18 | alpha: 0.700 | norm: l1 | MAP: 0.0590 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    55/18 | alpha: 0.700 | norm: max | MAP: 0.0398 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    56/18 | alpha: 0.750 | norm: none | MAP: 0.0390 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    57/18 | alpha: 0.750 | norm: l2 | MAP: 0.0459 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    58/18 | alpha: 0.750 | norm: l1 | MAP: 0.0575 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    59/18 | alpha: 0.750 | norm: max | MAP: 0.0390 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    60/18 | alpha: 0.800 | norm: none | MAP: 0.0377 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    61/18 | alpha: 0.800 | norm: l2 | MAP: 0.0429 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    62/18 | alpha: 0.800 | norm: l1 | MAP: 0.0546 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    63/18 | alpha: 0.800 | norm: max | MAP: 0.0377 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    64/18 | alpha: 0.850 | norm: none | MAP: 0.0367 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    65/18 | alpha: 0.850 | norm: l2 | MAP: 0.0400 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    66/18 | alpha: 0.850 | norm: l1 | MAP: 0.0506 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    67/18 | alpha: 0.850 | norm: max | MAP: 0.0367 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    68/18 | alpha: 0.900 | norm: none | MAP: 0.0358 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    69/18 | alpha: 0.900 | norm: l2 | MAP: 0.0380 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    70/18 | alpha: 0.900 | norm: l1 | MAP: 0.0446 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    71/18 | alpha: 0.900 | norm: max | MAP: 0.0358 |
|HRhat(ItemKNNCB, UserKNNCB)| best results | alpha: 0.550 | norm: l1 | MAP: 0.0602 |
