| iter:    70/190 | topk:  60 | alpha: 0.300 | norm: l1 | MAP: 0.0536 |
| iter:    71/190 | topk:  60 | alpha: 0.300 | norm: max | MAP: 0.0537 |
| iter:    72/190 | topk:  60 | alpha: 0.400 | norm: l2 | MAP: 0.0556 |
| iter:    73/190 | topk:  60 | alpha: 0.400 | norm: l1 | MAP: 0.0550 |
| iter:    74/190 | topk:  60 | alpha: 0.400 | norm: max | MAP: 0.0546 |
| iter:    75/190 | topk:  60 | alpha: 0.500 | norm: l2 | MAP: 0.0556 |
| iter:    76/190 | topk:  60 | alpha: 0.500 | norm: l1 | MAP: 0.0552 |
| iter:    77/190 | topk:  60 | alpha: 0.500 | norm: max | MAP: 0.0555 |
| iter:    78/190 | topk:  60 | alpha: 0.600 | norm: l2 | MAP: 0.0558 |
| iter:    79/190 | topk:  60 | alpha: 0.600 | norm: l1 | MAP: 0.0554 |
| iter:    80/190 | topk:  60 | alpha: 0.600 | norm: max | MAP: 0.0549 |
| iter:    81/190 | topk:  60 | alpha: 0.700 | norm: l2 | MAP: 0.0564 |
| iter:    82/190 | topk:  60 | alpha: 0.700 | norm: l1 | MAP: 0.0554 |
| iter:    83/190 | topk:  60 | alpha: 0.700 | norm: max | MAP: 0.0546 |
| iter:    84/190 | topk:  60 | alpha: 0.800 | norm: l2 | MAP: 0.0547 |
| iter:    85/190 | topk:  60 | alpha: 0.800 | norm: l1 | MAP: 0.0548 |
| iter:    86/190 | topk:  60 | alpha: 0.800 | norm: max | MAP: 0.0535 |
| iter:    87/190 | topk:  60 | alpha: 0.900 | norm: l2 | MAP: 0.0536 |
| iter:    88/190 | topk:  60 | alpha: 0.900 | norm: l1 | MAP: 0.0532 |
| iter:    89/190 | topk:  60 | alpha: 0.900 | norm: max | MAP: 0.0524 |
| iter:    90/190 | topk:  80 | alpha: 0.000 | norm: l2 | MAP: 0.0505 |
| iter:    91/190 | topk:  80 | alpha: 0.000 | norm: l1 | MAP: 0.0503 |
| iter:    92/190 | topk:  80 | alpha: 0.000 | norm: max | MAP: 0.0503 |
| iter:    93/190 | topk:  80 | alpha: 0.100 | norm: l2 | MAP: 0.0516 |
| iter:    94/190 | topk:  80 | alpha: 0.100 | norm: l1 | MAP: 0.0523 |
| iter:    95/190 | topk:  80 | alpha: 0.100 | norm: max | MAP: 0.0520 |
| iter:    96/190 | topk:  80 | alpha: 0.200 | norm: l2 | MAP: 0.0536 |
| iter:    97/190 | topk:  80 | alpha: 0.200 | norm: l1 | MAP: 0.0537 |
| iter:    98/190 | topk:  80 | alpha: 0.200 | norm: max | MAP: 0.0531 |
| iter:    99/190 | topk:  80 | alpha: 0.300 | norm: l2 | MAP: 0.0547 |
| iter:   100/190 | topk:  80 | alpha: 0.300 | norm: l1 | MAP: 0.0545 |
| iter:   101/190 | topk:  80 | alpha: 0.300 | norm: max | MAP: 0.0547 |
| iter:   102/190 | topk:  80 | alpha: 0.400 | norm: l2 | MAP: 0.0560 |
| iter:   103/190 | topk:  80 | alpha: 0.400 | norm: l1 | MAP: 0.0554 |
| iter:   104/190 | topk:  80 | alpha: 0.400 | norm: max | MAP: 0.0558 |
| iter:   105/190 | topk:  80 | alpha: 0.500 | norm: l2 | MAP: 0.0577 |
| iter:   106/190 | topk:  80 | alpha: 0.500 | norm: l1 | MAP: 0.0567 |
| iter:   107/190 | topk:  80 | alpha: 0.500 | norm: max | MAP: 0.0570 |
| iter:   108/190 | topk:  80 | alpha: 0.600 | norm: l2 | MAP: 0.0576 |
| iter:   109/190 | topk:  80 | alpha: 0.600 | norm: l1 | MAP: 0.0572 |
| iter:   110/190 | topk:  80 | alpha: 0.600 | norm: max | MAP: 0.0575 |
| iter:   111/190 | topk:  80 | alpha: 0.700 | norm: l2 | MAP: 0.0579 |
| iter:   112/190 | topk:  80 | alpha: 0.700 | norm: l1 | MAP: 0.0573 |
| iter:   113/190 | topk:  80 | alpha: 0.700 | norm: max | MAP: 0.0572 |
| iter:   114/190 | topk:  80 | alpha: 0.800 | norm: l2 | MAP: 0.0572 |
| iter:   115/190 | topk:  80 | alpha: 0.800 | norm: l1 | MAP: 0.0569 |
| iter:   116/190 | topk:  80 | alpha: 0.800 | norm: max | MAP: 0.0558 |
| iter:   117/190 | topk:  80 | alpha: 0.900 | norm: l2 | MAP: 0.0558 |
