| iter:    70/190 | topk:  60 | alpha: 0.300 | norm: l1 | MAP: 0.0473 |
| iter:    71/190 | topk:  60 | alpha: 0.300 | norm: max | MAP: 0.0393 |
| iter:    72/190 | topk:  60 | alpha: 0.400 | norm: l2 | MAP: 0.0501 |
| iter:    73/190 | topk:  60 | alpha: 0.400 | norm: l1 | MAP: 0.0523 |
| iter:    74/190 | topk:  60 | alpha: 0.400 | norm: max | MAP: 0.0414 |
| iter:    75/190 | topk:  60 | alpha: 0.500 | norm: l2 | MAP: 0.0553 |
| iter:    76/190 | topk:  60 | alpha: 0.500 | norm: l1 | MAP: 0.0556 |
| iter:    77/190 | topk:  60 | alpha: 0.500 | norm: max | MAP: 0.0424 |
| iter:    78/190 | topk:  60 | alpha: 0.600 | norm: l2 | MAP: 0.0570 |
| iter:    79/190 | topk:  60 | alpha: 0.600 | norm: l1 | MAP: 0.0566 |
| iter:    80/190 | topk:  60 | alpha: 0.600 | norm: max | MAP: 0.0415 |
| iter:    81/190 | topk:  60 | alpha: 0.700 | norm: l2 | MAP: 0.0537 |
| iter:    82/190 | topk:  60 | alpha: 0.700 | norm: l1 | MAP: 0.0545 |
| iter:    83/190 | topk:  60 | alpha: 0.700 | norm: max | MAP: 0.0395 |
| iter:    84/190 | topk:  60 | alpha: 0.800 | norm: l2 | MAP: 0.0489 |
| iter:    85/190 | topk:  60 | alpha: 0.800 | norm: l1 | MAP: 0.0510 |
| iter:    86/190 | topk:  60 | alpha: 0.800 | norm: max | MAP: 0.0361 |
| iter:    87/190 | topk:  60 | alpha: 0.900 | norm: l2 | MAP: 0.0463 |
| iter:    88/190 | topk:  60 | alpha: 0.900 | norm: l1 | MAP: 0.0486 |
| iter:    89/190 | topk:  60 | alpha: 0.900 | norm: max | MAP: 0.0346 |
| iter:    90/190 | topk:  80 | alpha: 0.000 | norm: l2 | MAP: 0.0314 |
| iter:    91/190 | topk:  80 | alpha: 0.000 | norm: l1 | MAP: 0.0322 |
| iter:    92/190 | topk:  80 | alpha: 0.000 | norm: max | MAP: 0.0297 |
| iter:    93/190 | topk:  80 | alpha: 0.100 | norm: l2 | MAP: 0.0348 |
| iter:    94/190 | topk:  80 | alpha: 0.100 | norm: l1 | MAP: 0.0364 |
| iter:    95/190 | topk:  80 | alpha: 0.100 | norm: max | MAP: 0.0323 |
| iter:    96/190 | topk:  80 | alpha: 0.200 | norm: l2 | MAP: 0.0383 |
| iter:    97/190 | topk:  80 | alpha: 0.200 | norm: l1 | MAP: 0.0408 |
| iter:    98/190 | topk:  80 | alpha: 0.200 | norm: max | MAP: 0.0360 |
