| iter:    71/2000 | topk: 110 | alpha: 0.420 | norm: non | MAP: 0.0482 |
| iter:    72/2000 | topk: 110 | alpha: 0.440 | norm: non | MAP: 0.0497 |
| iter:    73/2000 | topk: 110 | alpha: 0.460 | norm: non | MAP: 0.0511 |
| iter:    74/2000 | topk: 110 | alpha: 0.480 | norm: non | MAP: 0.0522 |
| iter:    75/2000 | topk: 110 | alpha: 0.500 | norm: non | MAP: 0.0537 |
| iter:    76/2000 | topk: 110 | alpha: 0.520 | norm: non | MAP: 0.0547 |
| iter:    77/2000 | topk: 110 | alpha: 0.540 | norm: non | MAP: 0.0558 |
| iter:    78/2000 | topk: 110 | alpha: 0.560 | norm: non | MAP: 0.0565 |
| iter:    79/2000 | topk: 110 | alpha: 0.580 | norm: non | MAP: 0.0576 |
| iter:    80/2000 | topk: 110 | alpha: 0.600 | norm: non | MAP: 0.0589 |
| iter:    81/2000 | topk: 110 | alpha: 0.620 | norm: non | MAP: 0.0593 |
| iter:    82/2000 | topk: 110 | alpha: 0.640 | norm: non | MAP: 0.0604 |
| iter:    83/2000 | topk: 110 | alpha: 0.660 | norm: non | MAP: 0.0611 |
| iter:    84/2000 | topk: 110 | alpha: 0.680 | norm: non | MAP: 0.0621 |
| iter:    85/2000 | topk: 110 | alpha: 0.700 | norm: non | MAP: 0.0624 |
| iter:    86/2000 | topk: 110 | alpha: 0.720 | norm: non | MAP: 0.0625 |
| iter:    87/2000 | topk: 110 | alpha: 0.740 | norm: non | MAP: 0.0627 |
| iter:    88/2000 | topk: 110 | alpha: 0.760 | norm: non | MAP: 0.0626 |
| iter:    89/2000 | topk: 110 | alpha: 0.780 | norm: non | MAP: 0.0625 |
| iter:    90/2000 | topk: 110 | alpha: 0.800 | norm: non | MAP: 0.0620 |
| iter:    91/2000 | topk: 110 | alpha: 0.820 | norm: non | MAP: 0.0608 |
| iter:    92/2000 | topk: 110 | alpha: 0.840 | norm: non | MAP: 0.0604 |
| iter:    93/2000 | topk: 110 | alpha: 0.860 | norm: non | MAP: 0.0594 |
| iter:    94/2000 | topk: 110 | alpha: 0.880 | norm: non | MAP: 0.0586 |
| iter:    95/2000 | topk: 110 | alpha: 0.900 | norm: non | MAP: 0.0574 |
| iter:    96/2000 | topk: 110 | alpha: 0.920 | norm: non | MAP: 0.0555 |
| iter:    97/2000 | topk: 110 | alpha: 0.940 | norm: non | MAP: 0.0541 |
| iter:    98/2000 | topk: 110 | alpha: 0.960 | norm: non | MAP: 0.0533 |
| iter:    99/2000 | topk: 110 | alpha: 0.980 | norm: non | MAP: 0.0525 |
| iter:   100/2000 | topk: 120 | alpha: 0.000 | norm: non | MAP: 0.0288 |
| iter:   101/2000 | topk: 120 | alpha: 0.020 | norm: non | MAP: 0.0292 |
| iter:   102/2000 | topk: 120 | alpha: 0.040 | norm: non | MAP: 0.0295 |
| iter:   103/2000 | topk: 120 | alpha: 0.060 | norm: non | MAP: 0.0300 |
| iter:   104/2000 | topk: 120 | alpha: 0.080 | norm: non | MAP: 0.0302 |
| iter:   105/2000 | topk: 120 | alpha: 0.100 | norm: non | MAP: 0.0306 |
| iter:   106/2000 | topk: 120 | alpha: 0.120 | norm: non | MAP: 0.0314 |
| iter:   107/2000 | topk: 120 | alpha: 0.140 | norm: non | MAP: 0.0321 |
| iter:   108/2000 | topk: 120 | alpha: 0.160 | norm: non | MAP: 0.0327 |
| iter:   109/2000 | topk: 120 | alpha: 0.180 | norm: non | MAP: 0.0334 |
| iter:   110/2000 | topk: 120 | alpha: 0.200 | norm: non | MAP: 0.0345 |
| iter:   111/2000 | topk: 120 | alpha: 0.220 | norm: non | MAP: 0.0355 |
| iter:   112/2000 | topk: 120 | alpha: 0.240 | norm: non | MAP: 0.0363 |
| iter:   113/2000 | topk: 120 | alpha: 0.260 | norm: non | MAP: 0.0378 |
| iter:   114/2000 | topk: 120 | alpha: 0.280 | norm: non | MAP: 0.0392 |
| iter:   115/2000 | topk: 120 | alpha: 0.300 | norm: non | MAP: 0.0405 |
| iter:   116/2000 | topk: 120 | alpha: 0.320 | norm: non | MAP: 0.0417 |
| iter:   117/2000 | topk: 120 | alpha: 0.340 | norm: non | MAP: 0.0431 |
| iter:   118/2000 | topk: 120 | alpha: 0.360 | norm: non | MAP: 0.0444 |
| iter:   119/2000 | topk: 120 | alpha: 0.380 | norm: non | MAP: 0.0456 |
| iter:   120/2000 | topk: 120 | alpha: 0.400 | norm: non | MAP: 0.0468 |
| iter:   121/2000 | topk: 120 | alpha: 0.420 | norm: non | MAP: 0.0482 |
| iter:   122/2000 | topk: 120 | alpha: 0.440 | norm: non | MAP: 0.0494 |
| iter:   123/2000 | topk: 120 | alpha: 0.460 | norm: non | MAP: 0.0505 |
| iter:   124/2000 | topk: 120 | alpha: 0.480 | norm: non | MAP: 0.0518 |
| iter:   125/2000 | topk: 120 | alpha: 0.500 | norm: non | MAP: 0.0532 |
| iter:   126/2000 | topk: 120 | alpha: 0.520 | norm: non | MAP: 0.0545 |
| iter:   127/2000 | topk: 120 | alpha: 0.540 | norm: non | MAP: 0.0554 |
| iter:   128/2000 | topk: 120 | alpha: 0.560 | norm: non | MAP: 0.0560 |
| iter:   129/2000 | topk: 120 | alpha: 0.580 | norm: non | MAP: 0.0573 |
| iter:   130/2000 | topk: 120 | alpha: 0.600 | norm: non | MAP: 0.0587 |
| iter:   131/2000 | topk: 120 | alpha: 0.620 | norm: non | MAP: 0.0591 |
| iter:   132/2000 | topk: 120 | alpha: 0.640 | norm: non | MAP: 0.0601 |
| iter:   133/2000 | topk: 120 | alpha: 0.660 | norm: non | MAP: 0.0613 |
| iter:   134/2000 | topk: 120 | alpha: 0.680 | norm: non | MAP: 0.0619 |
| iter:   135/2000 | topk: 120 | alpha: 0.700 | norm: non | MAP: 0.0621 |
| iter:   136/2000 | topk: 120 | alpha: 0.720 | norm: non | MAP: 0.0624 |
| iter:   137/2000 | topk: 120 | alpha: 0.740 | norm: non | MAP: 0.0625 |
| iter:   138/2000 | topk: 120 | alpha: 0.760 | norm: non | MAP: 0.0626 |
| iter:   139/2000 | topk: 120 | alpha: 0.780 | norm: non | MAP: 0.0625 |
| iter:   140/2000 | topk: 120 | alpha: 0.800 | norm: non | MAP: 0.0620 |
| iter:   141/2000 | topk: 120 | alpha: 0.820 | norm: non | MAP: 0.0609 |
| iter:   142/2000 | topk: 120 | alpha: 0.840 | norm: non | MAP: 0.0604 |
| iter:   143/2000 | topk: 120 | alpha: 0.860 | norm: non | MAP: 0.0594 |
| iter:   144/2000 | topk: 120 | alpha: 0.880 | norm: non | MAP: 0.0587 |
| iter:   145/2000 | topk: 120 | alpha: 0.900 | norm: non | MAP: 0.0571 |
| iter:   146/2000 | topk: 120 | alpha: 0.920 | norm: non | MAP: 0.0555 |
| iter:   147/2000 | topk: 120 | alpha: 0.940 | norm: non | MAP: 0.0543 |
| iter:   148/2000 | topk: 120 | alpha: 0.960 | norm: non | MAP: 0.0534 |
| iter:   149/2000 | topk: 120 | alpha: 0.980 | norm: non | MAP: 0.0525 |
| iter:   150/2000 | topk: 130 | alpha: 0.000 | norm: non | MAP: 0.0286 |
| iter:   151/2000 | topk: 130 | alpha: 0.020 | norm: non | MAP: 0.0289 |
| iter:   152/2000 | topk: 130 | alpha: 0.040 | norm: non | MAP: 0.0292 |
| iter:   153/2000 | topk: 130 | alpha: 0.060 | norm: non | MAP: 0.0296 |
| iter:   154/2000 | topk: 130 | alpha: 0.080 | norm: non | MAP: 0.0299 |
| iter:   155/2000 | topk: 130 | alpha: 0.100 | norm: non | MAP: 0.0304 |
| iter:   156/2000 | topk: 130 | alpha: 0.120 | norm: non | MAP: 0.0311 |
| iter:   157/2000 | topk: 130 | alpha: 0.140 | norm: non | MAP: 0.0318 |
| iter:   158/2000 | topk: 130 | alpha: 0.160 | norm: non | MAP: 0.0325 |
| iter:   159/2000 | topk: 130 | alpha: 0.180 | norm: non | MAP: 0.0332 |
| iter:   160/2000 | topk: 130 | alpha: 0.200 | norm: non | MAP: 0.0342 |
| iter:   161/2000 | topk: 130 | alpha: 0.220 | norm: non | MAP: 0.0353 |
| iter:   162/2000 | topk: 130 | alpha: 0.240 | norm: non | MAP: 0.0362 |
| iter:   163/2000 | topk: 130 | alpha: 0.260 | norm: non | MAP: 0.0375 |
| iter:   164/2000 | topk: 130 | alpha: 0.280 | norm: non | MAP: 0.0390 |
| iter:   165/2000 | topk: 130 | alpha: 0.300 | norm: non | MAP: 0.0401 |
| iter:   166/2000 | topk: 130 | alpha: 0.320 | norm: non | MAP: 0.0414 |
| iter:   167/2000 | topk: 130 | alpha: 0.340 | norm: non | MAP: 0.0429 |
| iter:   168/2000 | topk: 130 | alpha: 0.360 | norm: non | MAP: 0.0442 |
| iter:   169/2000 | topk: 130 | alpha: 0.380 | norm: non | MAP: 0.0454 |
| iter:   170/2000 | topk: 130 | alpha: 0.400 | norm: non | MAP: 0.0467 |
| iter:   171/2000 | topk: 130 | alpha: 0.420 | norm: non | MAP: 0.0480 |
| iter:   172/2000 | topk: 130 | alpha: 0.440 | norm: non | MAP: 0.0494 |
| iter:   173/2000 | topk: 130 | alpha: 0.460 | norm: non | MAP: 0.0505 |
