13-12-2020-10:49:37
HMS(ItemKNNCF,ItemKNNCB,RP3beta,P3alpha,SLIM_MSE,SLIM_BPR)
|iter:     0/100 | vec: [2.22110132e-01 5.24449717e-01 4.70811414e-05 1.48186834e-01
|iter:    45/100 | vec: [0.07124166 0.05299429 0.13499662 0.07807835 0.50549423 0.15719485] | norm: none | MAP: 0.0672 |
|iter:    46/100 | vec: [0.03049835 0.07665289 0.0579495  0.22012917 0.29212517 0.32264493] | norm: none | MAP: 0.0665 |
|iter:    47/100 | vec: [0.18133751 0.05255653 0.04852657 0.32207007 0.12516483 0.27034449] | norm: none | MAP: 0.0644 |
|iter:    48/100 | vec: [0.14540004 0.22603576 0.12523335 0.25212676 0.14395311 0.10725098] | norm: none | MAP: 0.0697 |
|iter:    49/100 | vec: [0.07898797 0.01329909 0.0893595  0.01561983 0.76500522 0.03772838] | norm: none | MAP: 0.0608 |
|iter:    50/100 | vec: [0.254539   0.31679212 0.17767207 0.12841439 0.02674206 0.09584036] | norm: none | MAP: 0.0650 |
|iter:    51/100 | vec: [0.06194411 0.03730021 0.13134668 0.05477152 0.36292807 0.35170941] | norm: none | MAP: 0.0656 |
|iter:    52/100 | vec: [0.10395875 0.04111075 0.07498606 0.24215284 0.45614097 0.08165062] | norm: none | MAP: 0.0648 |
|iter:    53/100 | vec: [0.07015099 0.46961849 0.13229625 0.23597426 0.06549346 0.02646656] | norm: none | MAP: 0.0634 |
|iter:    54/100 | vec: [0.16641498 0.1487654  0.0380072  0.22307548 0.18015941 0.24357752] | norm: none | MAP: 0.0694 |
|iter:    55/100 | vec: [0.03814062 0.34016851 0.06134162 0.1789786  0.37585351 0.00551714] | norm: none | MAP: 0.0657 |
|iter:    56/100 | vec: [0.03883324 0.20431421 0.18445692 0.07657183 0.19951159 0.29631222] | norm: none | MAP: 0.0668 |
|iter:    57/100 | vec: [0.25045316 0.27532594 0.01487025 0.15069107 0.17389207 0.1347675 ] | norm: none | MAP: 0.0670 |
|iter:    58/100 | vec: [0.31977517 0.00699877 0.29256191 0.26173681 0.05981628 0.05911107] | norm: none | MAP: 0.0619 |
|iter:    59/100 | vec: [0.10222031 0.04327639 0.16270757 0.06036734 0.15598263 0.47544575] | norm: none | MAP: 0.0656 |
|iter:    60/100 | vec: [0.04302681 0.0185981  0.27907917 0.09399121 0.44331362 0.12199109] | norm: none | MAP: 0.0638 |
|iter:    61/100 | vec: [0.70361586 0.10893156 0.10308827 0.02007027 0.0606297  0.00366433] | norm: none | MAP: 0.0644 |
|iter:    62/100 | vec: [0.03365802 0.26356582 0.00594351 0.08789996 0.3817802  0.22715249] | norm: none | MAP: 0.0640 |
|iter:    63/100 | vec: [0.15356522 0.02733816 0.07627406 0.11394371 0.59905604 0.02982282] | norm: none | MAP: 0.0637 |
|iter:    64/100 | vec: [0.08484169 0.09061839 0.41337915 0.18198442 0.01746947 0.21170688] | norm: none | MAP: 0.0668 |
