12-12-2020-23:52:29
HMR(Hsim(ItemKNNCF, ItemKNNCB),Hsim(UserKNNCF, UserKNNCB),Hsim(P3alpha, RP3beta),Hsim(SLIM_MSE, SLIM_BPR),PureSVD,IALS)
|iter:     0/2500 | vec: [2.22110132e-01 5.24449717e-01 4.70811414e-05 1.48186834e-01
 6.53273311e-02 3.98789043e-02] | norm: l2 | MAP: 0.0659 |
|iter:     1/2500 | vec: [0.05711568 0.11748658 0.14006412 0.21446918 0.1505628  0.32030163] | norm: l2 | MAP: 0.0630 |
|iter:    50/2500 | vec: [0.254539   0.31679212 0.17767207 0.12841439 0.02674206 0.09584036] | norm: l2 | MAP: 0.0668 |
|iter:    51/2500 | vec: [0.06194411 0.03730021 0.13134668 0.05477152 0.36292807 0.35170941] | norm: l2 | MAP: 0.0580 |
|iter:    52/2500 | vec: [0.10395875 0.04111075 0.07498606 0.24215284 0.45614097 0.08165062] | norm: l2 | MAP: 0.0574 |
|iter:    53/2500 | vec: [0.07015099 0.46961849 0.13229625 0.23597426 0.06549346 0.02646656] | norm: l2 | MAP: 0.0634 |
|iter:    54/2500 | vec: [0.16641498 0.1487654  0.0380072  0.22307548 0.18015941 0.24357752] | norm: l2 | MAP: 0.0653 |
|iter:    55/2500 | vec: [0.03814062 0.34016851 0.06134162 0.1789786  0.37585351 0.00551714] | norm: l2 | MAP: 0.0581 |
|iter:    56/2500 | vec: [0.03883324 0.20431421 0.18445692 0.07657183 0.19951159 0.29631222] | norm: l2 | MAP: 0.0615 |
|iter:    57/2500 | vec: [0.25045316 0.27532594 0.01487025 0.15069107 0.17389207 0.1347675 ] | norm: l2 | MAP: 0.0667 |
|iter:    58/2500 | vec: [0.31977517 0.00699877 0.29256191 0.26173681 0.05981628 0.05911107] | norm: l2 | MAP: 0.0681 |
|iter:    59/2500 | vec: [0.10222031 0.04327639 0.16270757 0.06036734 0.15598263 0.47544575] | norm: l2 | MAP: 0.0640 |
|iter:    60/2500 | vec: [0.04302681 0.0185981  0.27907917 0.09399121 0.44331362 0.12199109] | norm: l2 | MAP: 0.0570 |
|iter:    61/2500 | vec: [0.70361586 0.10893156 0.10308827 0.02007027 0.0606297  0.00366433] | norm: l2 | MAP: 0.0720 |
|iter:    62/2500 | vec: [0.03365802 0.26356582 0.00594351 0.08789996 0.3817802  0.22715249] | norm: l2 | MAP: 0.0575 |
|iter:    63/2500 | vec: [0.15356522 0.02733816 0.07627406 0.11394371 0.59905604 0.02982282] | norm: l2 | MAP: 0.0555 |
|iter:    64/2500 | vec: [0.08484169 0.09061839 0.41337915 0.18198442 0.01746947 0.21170688] | norm: l2 | MAP: 0.0630 |
|iter:    65/2500 | vec: [0.04784768 0.32188489 0.07087966 0.00562309 0.1807807  0.37298397] | norm: l2 | MAP: 0.0625 |
|iter:    66/2500 | vec: [0.0585402  0.16911576 0.08734265 0.09502122 0.39112137 0.1988588 ] | norm: l2 | MAP: 0.0581 |
|iter:    67/2500 | vec: [0.00608126 0.22871829 0.11576753 0.54560018 0.04632614 0.0575066 ] | norm: l2 | MAP: 0.0599 |
|iter:    68/2500 | vec: [0.01854603 0.12214138 0.02519036 0.21921764 0.35448029 0.2604243 ] | norm: l2 | MAP: 0.0577 |
|iter:    69/2500 | vec: [0.2068946  0.05968236 0.26618691 0.07971508 0.24732283 0.14019822] | norm: l2 | MAP: 0.0646 |
|iter:    70/2500 | vec: [0.14634341 0.07716487 0.01749072 0.06527825 0.58000672 0.11371603] | norm: l2 | MAP: 0.0549 |
|iter:    71/2500 | vec: [0.00624658 0.31168647 0.11135233 0.30463458 0.13350826 0.13257177] | norm: l2 | MAP: 0.0608 |
