13-12-2020-12:08:55
| iter:    70/420 | topk: 120 | alpha: 0.600 | norm: l1 | MAP: 0.0214 |
| iter:    71/420 | topk: 120 | alpha: 0.600 | norm: max | MAP: 0.0204 |
| iter:    72/420 | topk: 120 | alpha: 0.800 | norm: l2 | MAP: 0.0332 |
| iter:    73/420 | topk: 120 | alpha: 0.800 | norm: l1 | MAP: 0.0193 |
| iter:    74/420 | topk: 120 | alpha: 0.800 | norm: max | MAP: 0.0182 |
| iter:    75/420 | topk: 140 | alpha: 0.000 | norm: l2 | MAP: 0.0362 |
| iter:    76/420 | topk: 140 | alpha: 0.000 | norm: l1 | MAP: 0.0249 |
| iter:    77/420 | topk: 140 | alpha: 0.000 | norm: max | MAP: 0.0206 |
| iter:    78/420 | topk: 140 | alpha: 0.200 | norm: l2 | MAP: 0.0448 |
| iter:    79/420 | topk: 140 | alpha: 0.200 | norm: l1 | MAP: 0.0298 |
| iter:    80/420 | topk: 140 | alpha: 0.200 | norm: max | MAP: 0.0262 |
| iter:    81/420 | topk: 140 | alpha: 0.400 | norm: l2 | MAP: 0.0473 |
| iter:    82/420 | topk: 140 | alpha: 0.400 | norm: l1 | MAP: 0.0255 |
| iter:    83/420 | topk: 140 | alpha: 0.400 | norm: max | MAP: 0.0240 |
| iter:    84/420 | topk: 140 | alpha: 0.600 | norm: l2 | MAP: 0.0400 |
| iter:    85/420 | topk: 140 | alpha: 0.600 | norm: l1 | MAP: 0.0214 |
| iter:    86/420 | topk: 140 | alpha: 0.600 | norm: max | MAP: 0.0203 |
| iter:    87/420 | topk: 140 | alpha: 0.800 | norm: l2 | MAP: 0.0334 |
| iter:    88/420 | topk: 140 | alpha: 0.800 | norm: l1 | MAP: 0.0192 |
| iter:    89/420 | topk: 140 | alpha: 0.800 | norm: max | MAP: 0.0182 |
| iter:    90/420 | topk: 160 | alpha: 0.000 | norm: l2 | MAP: 0.0364 |
| iter:    91/420 | topk: 160 | alpha: 0.000 | norm: l1 | MAP: 0.0250 |
| iter:    92/420 | topk: 160 | alpha: 0.000 | norm: max | MAP: 0.0202 |
| iter:    93/420 | topk: 160 | alpha: 0.200 | norm: l2 | MAP: 0.0451 |
| iter:    94/420 | topk: 160 | alpha: 0.200 | norm: l1 | MAP: 0.0299 |
| iter:    95/420 | topk: 160 | alpha: 0.200 | norm: max | MAP: 0.0253 |
| iter:    96/420 | topk: 160 | alpha: 0.400 | norm: l2 | MAP: 0.0475 |
| iter:    97/420 | topk: 160 | alpha: 0.400 | norm: l1 | MAP: 0.0255 |
| iter:    98/420 | topk: 160 | alpha: 0.400 | norm: max | MAP: 0.0238 |
| iter:    99/420 | topk: 160 | alpha: 0.600 | norm: l2 | MAP: 0.0403 |
| iter:   100/420 | topk: 160 | alpha: 0.600 | norm: l1 | MAP: 0.0214 |
| iter:   101/420 | topk: 160 | alpha: 0.600 | norm: max | MAP: 0.0203 |
| iter:   102/420 | topk: 160 | alpha: 0.800 | norm: l2 | MAP: 0.0336 |
| iter:   103/420 | topk: 160 | alpha: 0.800 | norm: l1 | MAP: 0.0194 |
| iter:   104/420 | topk: 160 | alpha: 0.800 | norm: max | MAP: 0.0181 |
| iter:   105/420 | topk: 180 | alpha: 0.000 | norm: l2 | MAP: 0.0365 |
| iter:   106/420 | topk: 180 | alpha: 0.000 | norm: l1 | MAP: 0.0251 |
| iter:   107/420 | topk: 180 | alpha: 0.000 | norm: max | MAP: 0.0195 |
| iter:   108/420 | topk: 180 | alpha: 0.200 | norm: l2 | MAP: 0.0454 |
| iter:   109/420 | topk: 180 | alpha: 0.200 | norm: l1 | MAP: 0.0300 |
| iter:   110/420 | topk: 180 | alpha: 0.200 | norm: max | MAP: 0.0252 |
| iter:   111/420 | topk: 180 | alpha: 0.400 | norm: l2 | MAP: 0.0481 |
| iter:   112/420 | topk: 180 | alpha: 0.400 | norm: l1 | MAP: 0.0258 |
| iter:   113/420 | topk: 180 | alpha: 0.400 | norm: max | MAP: 0.0236 |
| iter:   114/420 | topk: 180 | alpha: 0.600 | norm: l2 | MAP: 0.0406 |
| iter:   115/420 | topk: 180 | alpha: 0.600 | norm: l1 | MAP: 0.0214 |
| iter:   116/420 | topk: 180 | alpha: 0.600 | norm: max | MAP: 0.0202 |
| iter:   117/420 | topk: 180 | alpha: 0.800 | norm: l2 | MAP: 0.0340 |
| iter:   118/420 | topk: 180 | alpha: 0.800 | norm: l1 | MAP: 0.0195 |
| iter:   119/420 | topk: 180 | alpha: 0.800 | norm: max | MAP: 0.0181 |
| iter:   120/420 | topk: 200 | alpha: 0.000 | norm: l2 | MAP: 0.0366 |
| iter:   121/420 | topk: 200 | alpha: 0.000 | norm: l1 | MAP: 0.0251 |
| iter:   122/420 | topk: 200 | alpha: 0.000 | norm: max | MAP: 0.0193 |
| iter:   123/420 | topk: 200 | alpha: 0.200 | norm: l2 | MAP: 0.0454 |
| iter:   124/420 | topk: 200 | alpha: 0.200 | norm: l1 | MAP: 0.0301 |
| iter:   125/420 | topk: 200 | alpha: 0.200 | norm: max | MAP: 0.0251 |
| iter:   126/420 | topk: 200 | alpha: 0.400 | norm: l2 | MAP: 0.0483 |
| iter:   127/420 | topk: 200 | alpha: 0.400 | norm: l1 | MAP: 0.0259 |
| iter:   128/420 | topk: 200 | alpha: 0.400 | norm: max | MAP: 0.0237 |
| iter:   129/420 | topk: 200 | alpha: 0.600 | norm: l2 | MAP: 0.0404 |
| iter:   130/420 | topk: 200 | alpha: 0.600 | norm: l1 | MAP: 0.0214 |
| iter:   131/420 | topk: 200 | alpha: 0.600 | norm: max | MAP: 0.0203 |
| iter:   132/420 | topk: 200 | alpha: 0.800 | norm: l2 | MAP: 0.0338 |
| iter:   133/420 | topk: 200 | alpha: 0.800 | norm: l1 | MAP: 0.0193 |
| iter:   134/420 | topk: 200 | alpha: 0.800 | norm: max | MAP: 0.0182 |
| iter:   135/420 | topk: 220 | alpha: 0.000 | norm: l2 | MAP: 0.0367 |
| iter:   136/420 | topk: 220 | alpha: 0.000 | norm: l1 | MAP: 0.0252 |
| iter:   137/420 | topk: 220 | alpha: 0.000 | norm: max | MAP: 0.0192 |
| iter:   138/420 | topk: 220 | alpha: 0.200 | norm: l2 | MAP: 0.0455 |
| iter:   139/420 | topk: 220 | alpha: 0.200 | norm: l1 | MAP: 0.0302 |
| iter:   140/420 | topk: 220 | alpha: 0.200 | norm: max | MAP: 0.0248 |
| iter:   141/420 | topk: 220 | alpha: 0.400 | norm: l2 | MAP: 0.0486 |
| iter:   142/420 | topk: 220 | alpha: 0.400 | norm: l1 | MAP: 0.0259 |
| iter:   143/420 | topk: 220 | alpha: 0.400 | norm: max | MAP: 0.0236 |
| iter:   144/420 | topk: 220 | alpha: 0.600 | norm: l2 | MAP: 0.0405 |
| iter:   145/420 | topk: 220 | alpha: 0.600 | norm: l1 | MAP: 0.0215 |
| iter:   146/420 | topk: 220 | alpha: 0.600 | norm: max | MAP: 0.0201 |
| iter:   147/420 | topk: 220 | alpha: 0.800 | norm: l2 | MAP: 0.0342 |
| iter:   148/420 | topk: 220 | alpha: 0.800 | norm: l1 | MAP: 0.0194 |
| iter:   149/420 | topk: 220 | alpha: 0.800 | norm: max | MAP: 0.0179 |
| iter:   150/420 | topk: 240 | alpha: 0.000 | norm: l2 | MAP: 0.0369 |
| iter:   151/420 | topk: 240 | alpha: 0.000 | norm: l1 | MAP: 0.0252 |
| iter:   152/420 | topk: 240 | alpha: 0.000 | norm: max | MAP: 0.0190 |
| iter:   153/420 | topk: 240 | alpha: 0.200 | norm: l2 | MAP: 0.0458 |
