| iter:    82/460 | topk: 140 | alpha: 0.200 | MAP: 0.0535 |
| iter:    83/460 | topk: 140 | alpha: 0.300 | MAP: 0.0568 |
| iter:    84/460 | topk: 140 | alpha: 0.400 | MAP: 0.0579 |
| iter:    85/460 | topk: 140 | alpha: 0.500 | MAP: 0.0574 |
| iter:    86/460 | topk: 140 | alpha: 0.600 | MAP: 0.0562 |
| iter:    87/460 | topk: 140 | alpha: 0.700 | MAP: 0.0535 |
| iter:    88/460 | topk: 140 | alpha: 0.800 | MAP: 0.0487 |
| iter:    89/460 | topk: 140 | alpha: 0.900 | MAP: 0.0438 |
| iter:    90/460 | topk: 155 | alpha: 0.000 | MAP: 0.0453 |
| iter:    91/460 | topk: 155 | alpha: 0.100 | MAP: 0.0512 |
| iter:    92/460 | topk: 155 | alpha: 0.200 | MAP: 0.0534 |
| iter:    93/460 | topk: 155 | alpha: 0.300 | MAP: 0.0565 |
| iter:    94/460 | topk: 155 | alpha: 0.400 | MAP: 0.0583 |
| iter:    95/460 | topk: 155 | alpha: 0.500 | MAP: 0.0583 |
| iter:    96/460 | topk: 155 | alpha: 0.600 | MAP: 0.0566 |
| iter:    97/460 | topk: 155 | alpha: 0.700 | MAP: 0.0541 |
| iter:    98/460 | topk: 155 | alpha: 0.800 | MAP: 0.0488 |
| iter:    99/460 | topk: 155 | alpha: 0.900 | MAP: 0.0442 |
| iter:   100/460 | topk: 170 | alpha: 0.000 | MAP: 0.0454 |
| iter:   101/460 | topk: 170 | alpha: 0.100 | MAP: 0.0510 |
| iter:   102/460 | topk: 170 | alpha: 0.200 | MAP: 0.0536 |
| iter:   103/460 | topk: 170 | alpha: 0.300 | MAP: 0.0565 |
| iter:   104/460 | topk: 170 | alpha: 0.400 | MAP: 0.0580 |
| iter:   105/460 | topk: 170 | alpha: 0.500 | MAP: 0.0583 |
| iter:   106/460 | topk: 170 | alpha: 0.600 | MAP: 0.0570 |
| iter:   107/460 | topk: 170 | alpha: 0.700 | MAP: 0.0543 |
| iter:   108/460 | topk: 170 | alpha: 0.800 | MAP: 0.0499 |
| iter:   109/460 | topk: 170 | alpha: 0.900 | MAP: 0.0447 |
| iter:   110/460 | topk: 185 | alpha: 0.000 | MAP: 0.0455 |
| iter:   111/460 | topk: 185 | alpha: 0.100 | MAP: 0.0505 |
| iter:   112/460 | topk: 185 | alpha: 0.200 | MAP: 0.0530 |
| iter:   113/460 | topk: 185 | alpha: 0.300 | MAP: 0.0562 |
| iter:   114/460 | topk: 185 | alpha: 0.400 | MAP: 0.0577 |
| iter:   115/460 | topk: 185 | alpha: 0.500 | MAP: 0.0578 |
| iter:   116/460 | topk: 185 | alpha: 0.600 | MAP: 0.0575 |
| iter:   117/460 | topk: 185 | alpha: 0.700 | MAP: 0.0544 |
| iter:   118/460 | topk: 185 | alpha: 0.800 | MAP: 0.0505 |
| iter:   119/460 | topk: 185 | alpha: 0.900 | MAP: 0.0452 |
| iter:   120/460 | topk: 200 | alpha: 0.000 | MAP: 0.0457 |
| iter:   121/460 | topk: 200 | alpha: 0.100 | MAP: 0.0506 |
| iter:   122/460 | topk: 200 | alpha: 0.200 | MAP: 0.0532 |
| iter:   123/460 | topk: 200 | alpha: 0.300 | MAP: 0.0565 |
