14-12-2020-21:17:51
HMR(ItemKNNCF,P3alpha,UserKNNCF,IALS)
|iter:    55/2500 | vec: [0.17586661 0.05038545 0.32325745 0.45049049] | norm: none | MAP: 0.0601 |
|iter:    56/2500 | vec: [0.33286167 0.45763068 0.19122741 0.01828024] | norm: none | MAP: 0.0583 |
|iter:    57/2500 | vec: [0.27601737 0.22184156 0.43341054 0.06873052] | norm: none | MAP: 0.0586 |
|iter:    58/2500 | vec: [0.09295707 0.60660644 0.11042927 0.19000721] | norm: none | MAP: 0.0588 |
|iter:    59/2500 | vec: [0.61922585 0.07262488 0.03537069 0.27277859] | norm: none | MAP: 0.0553 |
|iter:    60/2500 | vec: [0.35385784 0.39973262 0.01814987 0.22825967] | norm: none | MAP: 0.0586 |
|iter:    61/2500 | vec: [0.00271424 0.17970271 0.77726148 0.04032157] | norm: none | MAP: 0.0593 |
|iter:    62/2500 | vec: [0.03884733 0.49318634 0.39480731 0.07315901] | norm: none | MAP: 0.0588 |
|iter:    63/2500 | vec: [0.27132432 0.20420117 0.12780412 0.39667039] | norm: none | MAP: 0.0594 |
|iter:    64/2500 | vec: [0.04719832 0.43935578 0.0107124  0.5027335 ] | norm: none | MAP: 0.0594 |
|iter:    65/2500 | vec: [0.32688135 0.17125303 0.32294575 0.17891986] | norm: none | MAP: 0.0589 |
|iter:    66/2500 | vec: [0.34444462 0.02739171 0.16142255 0.46674112] | norm: none | MAP: 0.0573 |
|iter:    67/2500 | vec: [0.47656583 0.04519354 0.0527048  0.42553582] | norm: none | MAP: 0.0558 |
|iter:    68/2500 | vec: [0.18654052 0.02576647 0.55220148 0.23549153] | norm: none | MAP: 0.0595 |
|iter:    69/2500 | vec: [0.41378578 0.20182637 0.21612402 0.16826383] | norm: none | MAP: 0.0581 |
|iter:    70/2500 | vec: [0.0645914  0.43473049 0.20797991 0.2926982 ] | norm: none | MAP: 0.0593 |
|iter:    71/2500 | vec: [0.32036344 0.04080014 0.35757742 0.281259  ] | norm: none | MAP: 0.0573 |
|iter:    72/2500 | vec: [0.22735831 0.27045529 0.03935174 0.46283466] | norm: none | MAP: 0.0592 |
|iter:    73/2500 | vec: [0.16337549 0.65550061 0.11609731 0.06502658] | norm: none | MAP: 0.0589 |
|iter:    74/2500 | vec: [0.21825266 0.15703536 0.26106746 0.36364452] | norm: none | MAP: 0.0592 |
|iter:    75/2500 | vec: [0.67582789 0.01463293 0.16619992 0.14333926] | norm: none | MAP: 0.0535 |
|iter:    76/2500 | vec: [0.22474688 0.16743193 0.1741745  0.43364669] | norm: none | MAP: 0.0596 |
|iter:    77/2500 | vec: [0.22825473 0.29055094 0.44561631 0.03557802] | norm: none | MAP: 0.0587 |
|iter:    78/2500 | vec: [0.68658561 0.13080243 0.18002853 0.00258342] | norm: none | MAP: 0.0560 |
|iter:    79/2500 | vec: [0.11479741 0.11909401 0.35420777 0.41190081] | norm: none | MAP: 0.0601 |
|iter:    80/2500 | vec: [0.33879253 0.1300747  0.43310087 0.09803189] | norm: none | MAP: 0.0584 |
|iter:    81/2500 | vec: [0.39420674 0.23238616 0.28236267 0.09104443] | norm: none | MAP: 0.0583 |
|iter:    82/2500 | vec: [0.53651579 0.28394676 0.03043165 0.1491058 ] | norm: none | MAP: 0.0575 |
|iter:    83/2500 | vec: [0.75642264 0.00695658 0.04988655 0.18673423] | norm: none | MAP: 0.0521 |
|iter:    84/2500 | vec: [0.01121438 0.38344683 0.23792053 0.36741826] | norm: none | MAP: 0.0593 |
|iter:    85/2500 | vec: [0.16388862 0.57407276 0.08708043 0.1749582 ] | norm: none | MAP: 0.0588 |
|iter:    86/2500 | vec: [0.00949946 0.14694783 0.09910218 0.74445052] | norm: none | MAP: 0.0612 |
|iter:    87/2500 | vec: [0.9009947  0.04605483 0.01315393 0.03979653] | norm: none | MAP: 0.0530 |
|iter:    88/2500 | vec: [0.06997027 0.42326322 0.25659502 0.2501715 ] | norm: none | MAP: 0.0592 |
|iter:    89/2500 | vec: [7.82960443e-02 8.41936070e-04 6.24686311e-02 8.58393389e-01] | norm: none | MAP: 0.0617 |
|iter:    90/2500 | vec: [0.32279212 0.15997363 0.04113508 0.47609917] | norm: none | MAP: 0.0585 |
|iter:    91/2500 | vec: [0.25761596 0.45082069 0.10597512 0.18558824] | norm: none | MAP: 0.0585 |
|iter:    92/2500 | vec: [0.2086576  0.24765567 0.01108901 0.53259772] | norm: none | MAP: 0.0595 |
|iter:    93/2500 | vec: [0.05690152 0.28236607 0.29516379 0.36556862] | norm: none | MAP: 0.0597 |
|iter:    94/2500 | vec: [0.13325534 0.1333103  0.54375415 0.18968021] | norm: none | MAP: 0.0600 |
|iter:    95/2500 | vec: [0.03511323 0.50024043 0.00279536 0.46185098] | norm: none | MAP: 0.0591 |
|iter:    96/2500 | vec: [0.06602049 0.09186341 0.73250659 0.10960952] | norm: none | MAP: 0.0594 |
|iter:    97/2500 | vec: [0.22841093 0.09650726 0.44435074 0.23073107] | norm: none | MAP: 0.0597 |
|iter:    98/2500 | vec: [0.35045116 0.04705479 0.24173289 0.36076116] | norm: none | MAP: 0.0573 |
|iter:    99/2500 | vec: [0.16561931 0.37944054 0.11670779 0.33823236] | norm: none | MAP: 0.0591 |
|iter:   100/2500 | vec: [0.16512265 0.24608167 0.30085192 0.28794377] | norm: none | MAP: 0.0590 |
|iter:   101/2500 | vec: [0.15000829 0.16546706 0.56202436 0.12250029] | norm: none | MAP: 0.0593 |
|iter:   102/2500 | vec: [0.13597516 0.52046421 0.26267679 0.08088383] | norm: none | MAP: 0.0589 |
|iter:   103/2500 | vec: [0.11237317 0.30059161 0.35593781 0.23109741] | norm: none | MAP: 0.0595 |
|iter:   104/2500 | vec: [0.28709027 0.41766038 0.05864056 0.23660879] | norm: none | MAP: 0.0585 |
|iter:   105/2500 | vec: [0.03384085 0.23738823 0.69178803 0.03698289] | norm: none | MAP: 0.0594 |
|iter:   106/2500 | vec: [0.01137449 0.53591291 0.17326442 0.27944818] | norm: none | MAP: 0.0591 |
|iter:   107/2500 | vec: [0.02649767 0.08233497 0.50020655 0.39096081] | norm: none | MAP: 0.0603 |
|iter:   108/2500 | vec: [0.28966336 0.49703688 0.06723465 0.14606511] | norm: none | MAP: 0.0585 |
|iter:   109/2500 | vec: [0.1063014  0.12613924 0.08895615 0.6786032 ] | norm: none | MAP: 0.0609 |
|iter:   110/2500 | vec: [0.17141206 0.02684096 0.2098667  0.59188028] | norm: none | MAP: 0.0600 |
|iter:   111/2500 | vec: [0.47707379 0.17293365 0.0031399  0.34685266] | norm: none | MAP: 0.0577 |
|iter:   112/2500 | vec: [0.53193553 0.26218287 0.11094996 0.09493163] | norm: none | MAP: 0.0575 |
|iter:   113/2500 | vec: [0.36835304 0.03079782 0.41443569 0.18641344] | norm: none | MAP: 0.0574 |
|iter:   114/2500 | vec: [0.0301084  0.71725604 0.20587537 0.04676019] | norm: none | MAP: 0.0589 |
|iter:   115/2500 | vec: [0.04925276 0.50617557 0.04892303 0.39564863] | norm: none | MAP: 0.0593 |
|iter:   116/2500 | vec: [0.42458979 0.02356833 0.14887531 0.40296657] | norm: none | MAP: 0.0559 |
|iter:   117/2500 | vec: [0.16224955 0.48425316 0.11505911 0.23843818] | norm: none | MAP: 0.0589 |
|iter:   118/2500 | vec: [0.0505673  0.38880698 0.38497284 0.17565288] | norm: none | MAP: 0.0592 |
|iter:   119/2500 | vec: [0.21004312 0.22986997 0.48610892 0.07397799] | norm: none | MAP: 0.0588 |
|iter:   120/2500 | vec: [0.38183203 0.18717669 0.2233906  0.20760068] | norm: none | MAP: 0.0582 |
|iter:   121/2500 | vec: [0.73685896 0.07904254 0.11049696 0.07360154] | norm: none | MAP: 0.0547 |
|iter:   122/2500 | vec: [0.00319819 0.11653529 0.39043466 0.48983186] | norm: none | MAP: 0.0602 |
|iter:   123/2500 | vec: [0.16732665 0.13700381 0.50739987 0.18826967] | norm: none | MAP: 0.0599 |
|iter:   124/2500 | vec: [0.21216632 0.27945463 0.02212491 0.48625414] | norm: none | MAP: 0.0591 |
|iter:   125/2500 | vec: [0.02616648 0.17793019 0.6096233  0.18628003] | norm: none | MAP: 0.0598 |
|iter:   126/2500 | vec: [0.08400331 0.26009877 0.46382674 0.19207118] | norm: none | MAP: 0.0595 |
|iter:   127/2500 | vec: [0.01732194 0.63566158 0.00546419 0.34155229] | norm: none | MAP: 0.0591 |
|iter:   128/2500 | vec: [0.51795107 0.03852891 0.16892703 0.27459299] | norm: none | MAP: 0.0556 |
|iter:   129/2500 | vec: [0.26941152 0.39268554 0.09616744 0.24173551] | norm: none | MAP: 0.0586 |
|iter:   130/2500 | vec: [0.04135227 0.11292664 0.45664215 0.38907894] | norm: none | MAP: 0.0603 |
|iter:   131/2500 | vec: [0.33770987 0.25311977 0.37129198 0.03787838] | norm: none | MAP: 0.0582 |
|iter:   132/2500 | vec: [0.24047385 0.00645518 0.20133598 0.55173499] | norm: none | MAP: 0.0590 |
|iter:   133/2500 | vec: [0.35299113 0.19349756 0.17732746 0.27618385] | norm: none | MAP: 0.0586 |
|iter:   134/2500 | vec: [0.20642715 0.30830038 0.11619627 0.3690762 ] | norm: none | MAP: 0.0594 |
|iter:   135/2500 | vec: [0.39613577 0.09221944 0.15748362 0.35416116] | norm: none | MAP: 0.0575 |
|iter:   136/2500 | vec: [0.38698677 0.35503784 0.20959534 0.04838005] | norm: none | MAP: 0.0583 |
|iter:   137/2500 | vec: [0.42932876 0.0332534  0.51918671 0.01823113] | norm: none | MAP: 0.0562 |
|iter:   138/2500 | vec: [0.64687551 0.07767732 0.27424218 0.001205  ] | norm: none | MAP: 0.0555 |
|iter:   139/2500 | vec: [0.18699416 0.09091754 0.37662776 0.34546053] | norm: none | MAP: 0.0602 |
|iter:   140/2500 | vec: [0.10735886 0.21243992 0.66324438 0.01695684] | norm: none | MAP: 0.0588 |
|iter:   141/2500 | vec: [0.25361909 0.34555405 0.30756018 0.09326668] | norm: none | MAP: 0.0587 |
|iter:   142/2500 | vec: [0.42769144 0.05795775 0.3834653  0.1308855 ] | norm: none | MAP: 0.0567 |
|iter:   143/2500 | vec: [0.04339575 0.48840536 0.02287677 0.44532212] | norm: none | MAP: 0.0590 |
