18-12-2020-18:26:05
HMR(ItemKNNCB,P3alpha,IALS)
|iter:    61/2500 | vec: [0.18046278 0.68179922 0.137738  ] | norm: none | MAP: 0.0627 |
|iter:    62/2500 | vec: [0.21119182 0.20421937 0.58458881] | norm: none | MAP: 0.0695 |
|iter:    63/2500 | vec: [0.38137984 0.50093288 0.11768728] | norm: none | MAP: 0.0678 |
|iter:    64/2500 | vec: [0.76552137 0.06587658 0.16860205] | norm: none | MAP: 0.0542 |
|iter:    65/2500 | vec: [0.3415275  0.10359555 0.55487696] | norm: none | MAP: 0.0774 |
|iter:    66/2500 | vec: [0.8165406  0.07476983 0.10868958] | norm: none | MAP: 0.0542 |
|iter:    67/2500 | vec: [0.02220815 0.8069447  0.17084715] | norm: none | MAP: 0.0600 |
|iter:    68/2500 | vec: [0.52795646 0.33308038 0.13896316] | norm: none | MAP: 0.0733 |
|iter:    69/2500 | vec: [0.35782919 0.15678529 0.48538552] | norm: none | MAP: 0.0756 |
|iter:    70/2500 | vec: [0.05802091 0.1833744  0.75860469] | norm: none | MAP: 0.0639 |
|iter:    71/2500 | vec: [0.12887558 0.85479639 0.01632803] | norm: none | MAP: 0.0616 |
|iter:    72/2500 | vec: [0.15996014 0.18406476 0.6559751 ] | norm: none | MAP: 0.0684 |
|iter:    73/2500 | vec: [0.54780986 0.15111206 0.30107808] | norm: none | MAP: 0.0746 |
|iter:    74/2500 | vec: [0.4578441  0.16389343 0.37826246] | norm: none | MAP: 0.0767 |
|iter:    75/2500 | vec: [0.61689712 0.1450749  0.23802798] | norm: none | MAP: 0.0727 |
|iter:    76/2500 | vec: [0.07122633 0.20639159 0.72238207] | norm: none | MAP: 0.0641 |
|iter:    77/2500 | vec: [0.65237662 0.24835122 0.09927216] | norm: none | MAP: 0.0757 |
|iter:    78/2500 | vec: [0.39750214 0.20121402 0.40128384] | norm: none | MAP: 0.0750 |
|iter:    79/2500 | vec: [0.20568869 0.01864014 0.77567117] | norm: none | MAP: 0.0744 |
|iter:    80/2500 | vec: [0.2185919  0.35412396 0.42728414] | norm: none | MAP: 0.0666 |
|iter:    81/2500 | vec: [0.35714177 0.21631102 0.42654721] | norm: none | MAP: 0.0739 |
|iter:    82/2500 | vec: [0.86657996 0.02232544 0.1110946 ] | norm: none | MAP: 0.0432 |
|iter:    83/2500 | vec: [0.69905446 0.29500031 0.00594523] | norm: none | MAP: 0.0754 |
|iter:    84/2500 | vec: [0.76663025 0.16926176 0.06410799] | norm: none | MAP: 0.0696 |
|iter:    85/2500 | vec: [0.3042939  0.66723689 0.02846921] | norm: none | MAP: 0.0647 |
|iter:    86/2500 | vec: [0.46174871 0.42188306 0.11636823] | norm: none | MAP: 0.0705 |
|iter:    87/2500 | vec: [0.70114383 0.27162587 0.0272303 ] | norm: none | MAP: 0.0755 |
|iter:    88/2500 | vec: [0.26477151 0.1779775  0.55725099] | norm: none | MAP: 0.0727 |
|iter:    89/2500 | vec: [0.11658796 0.30511569 0.57829635] | norm: none | MAP: 0.0645 |
|iter:    90/2500 | vec: [0.04242771 0.26316044 0.69441185] | norm: none | MAP: 0.0623 |
|iter:    91/2500 | vec: [0.17627016 0.28373057 0.53999928] | norm: none | MAP: 0.0667 |
|iter:    92/2500 | vec: [0.114851  0.4565887 0.4285603] | norm: none | MAP: 0.0633 |
|iter:    93/2500 | vec: [0.70084014 0.21685204 0.08230782] | norm: none | MAP: 0.0741 |
|iter:    94/2500 | vec: [0.44627622 0.24488812 0.30883566] | norm: none | MAP: 0.0747 |
|iter:    95/2500 | vec: [0.19083989 0.50979224 0.29936787] | norm: none | MAP: 0.0639 |
|iter:    96/2500 | vec: [0.0361058  0.65353491 0.31035929] | norm: none | MAP: 0.0603 |
|iter:    97/2500 | vec: [0.16456353 0.55991275 0.27552372] | norm: none | MAP: 0.0635 |
|iter:    98/2500 | vec: [0.44847956 0.46203887 0.08948157] | norm: none | MAP: 0.0698 |
|iter:    99/2500 | vec: [0.41568598 0.52931501 0.05499901] | norm: none | MAP: 0.0679 |
|iter:   100/2500 | vec: [0.55209731 0.169837   0.27806568] | norm: none | MAP: 0.0752 |
|iter:   101/2500 | vec: [0.55790556 0.38192784 0.0601666 ] | norm: none | MAP: 0.0727 |
|iter:   102/2500 | vec: [0.34421007 0.5701244  0.08566553] | norm: none | MAP: 0.0664 |
|iter:   103/2500 | vec: [0.75573963 0.18587519 0.05838519] | norm: none | MAP: 0.0717 |
|iter:   104/2500 | vec: [0.62060021 0.36551793 0.01388187] | norm: none | MAP: 0.0739 |
|iter:   105/2500 | vec: [0.35913427 0.62717683 0.01368889] | norm: none | MAP: 0.0658 |
|iter:   106/2500 | vec: [0.55500938 0.1490766  0.29591402] | norm: none | MAP: 0.0744 |
|iter:   107/2500 | vec: [0.02064175 0.20937604 0.7699822 ] | norm: none | MAP: 0.0618 |
|iter:   108/2500 | vec: [0.15708116 0.0283617  0.81455714] | norm: none | MAP: 0.0750 |
|iter:   109/2500 | vec: [0.49017234 0.11228072 0.39754693] | norm: none | MAP: 0.0739 |
|iter:   110/2500 | vec: [0.43516447 0.24117518 0.32366035] | norm: none | MAP: 0.0746 |
|iter:   111/2500 | vec: [0.06845702 0.7234547  0.20808828] | norm: none | MAP: 0.0610 |
|iter:   112/2500 | vec: [0.10857895 0.26522335 0.6261977 ] | norm: none | MAP: 0.0648 |
|iter:   113/2500 | vec: [0.57498602 0.08199929 0.34301469] | norm: none | MAP: 0.0664 |
|iter:   114/2500 | vec: [0.07250862 0.25777685 0.66971454] | norm: none | MAP: 0.0636 |
|iter:   115/2500 | vec: [0.34644513 0.12685819 0.52669668] | norm: none | MAP: 0.0767 |
|iter:   116/2500 | vec: [0.12582035 0.05006888 0.82411077] | norm: none | MAP: 0.0734 |
|iter:   117/2500 | vec: [0.41068292 0.52232768 0.0669894 ] | norm: none | MAP: 0.0678 |
|iter:   118/2500 | vec: [0.11601635 0.16546189 0.71852176] | norm: none | MAP: 0.0670 |
|iter:   119/2500 | vec: [0.01532809 0.51358994 0.47108197] | norm: none | MAP: 0.0605 |
|iter:   120/2500 | vec: [0.27339789 0.53456137 0.19204074] | norm: none | MAP: 0.0653 |
|iter:   121/2500 | vec: [0.27069216 0.22237418 0.50693366] | norm: none | MAP: 0.0711 |
|iter:   122/2500 | vec: [0.5858758  0.09612613 0.31799806] | norm: none | MAP: 0.0684 |
|iter:   123/2500 | vec: [0.33678158 0.14797054 0.51524788] | norm: none | MAP: 0.0759 |
|iter:   124/2500 | vec: [0.43773607 0.24953951 0.31272442] | norm: none | MAP: 0.0746 |
|iter:   125/2500 | vec: [0.59442233 0.20424396 0.20133371] | norm: none | MAP: 0.0758 |
|iter:   126/2500 | vec: [0.11797913 0.37502209 0.50699878] | norm: none | MAP: 0.0639 |
|iter:   127/2500 | vec: [0.19657857 0.20974837 0.59367306] | norm: none | MAP: 0.0689 |
|iter:   128/2500 | vec: [0.44504536 0.11129621 0.44365843] | norm: none | MAP: 0.0751 |
|iter:   129/2500 | vec: [0.43264402 0.25303791 0.31431807] | norm: none | MAP: 0.0743 |
