13-12-2020-01:00:35
HMR(Hsim(ItemKNNCF, ItemKNNCB),P3alpha,Hsim(UserKNNCF, UserKNNCB),Hsim(SLIM_MSE, SLIM_BPR),PureSVD,IALS)
|iter:    43/2500 | vec: [0.12965771 0.05843881 0.59919393 0.01748404 0.00768257 0.18754294] | norm: l2 | MAP: 0.0654 |
|iter:    44/2500 | vec: [0.06988622 0.06764735 0.31544729 0.05978557 0.33148493 0.15574865] | norm: l2 | MAP: 0.0596 |
|iter:    45/2500 | vec: [0.08159612 0.01255008 0.05749359 0.70644991 0.10625198 0.03565832] | norm: l2 | MAP: 0.0611 |
|iter:    46/2500 | vec: [0.04573864 0.29709264 0.02330562 0.19446994 0.01872629 0.42066688] | norm: l2 | MAP: 0.0632 |
|iter:    47/2500 | vec: [0.12649106 0.00738886 0.44755483 0.07426089 0.2201131  0.12419125] | norm: l2 | MAP: 0.0631 |
|iter:    48/2500 | vec: [0.14969224 0.1727487  0.24900596 0.27084762 0.08350918 0.0741963 ] | norm: l2 | MAP: 0.0648 |
|iter:    49/2500 | vec: [0.53145791 0.01716049 0.12727095 0.02263613 0.04334458 0.25812993] | norm: l2 | MAP: 0.0725 |
|iter:    50/2500 | vec: [2.50556559e-01 5.71141495e-02 5.09426679e-04 6.42988515e-01
 4.40752734e-03 4.44238226e-02] | norm: l2 | MAP: 0.0660 |
|iter:    51/2500 | vec: [0.09708831 0.27869368 0.21715231 0.1178424  0.06374506 0.22547822] | norm: l2 | MAP: 0.0650 |
|iter:    52/2500 | vec: [0.31395419 0.31734832 0.19528437 0.01589149 0.05476778 0.10275385] | norm: l2 | MAP: 0.0691 |
|iter:    53/2500 | vec: [0.12086706 0.30745058 0.04667508 0.18773588 0.08055296 0.25671843] | norm: l2 | MAP: 0.0655 |
|iter:    54/2500 | vec: [0.05033125 0.14956964 0.02525448 0.05503676 0.63205522 0.08775265] | norm: l2 | MAP: 0.0536 |
|iter:    55/2500 | vec: [0.34917685 0.1160908  0.00622121 0.24608786 0.00833684 0.27408644] | norm: l2 | MAP: 0.0703 |
|iter:    56/2500 | vec: [0.00162183 0.20574671 0.0332474  0.07705071 0.56012093 0.12221242] | norm: l2 | MAP: 0.0542 |
|iter:    57/2500 | vec: [0.15338671 0.19328249 0.01667399 0.26131959 0.35115135 0.02418586] | norm: l2 | MAP: 0.0616 |
|iter:    58/2500 | vec: [0.16480993 0.06953452 0.28148095 0.00598136 0.14987161 0.32832164] | norm: l2 | MAP: 0.0671 |
|iter:    59/2500 | vec: [0.22726646 0.01960835 0.30645148 0.04651392 0.28243266 0.11772713] | norm: l2 | MAP: 0.0645 |
|iter:    60/2500 | vec: [0.0219341  0.16567974 0.2063856  0.15015582 0.41882754 0.03701721] | norm: l2 | MAP: 0.0577 |
|iter:    61/2500 | vec: [0.09702795 0.05747326 0.27975611 0.18400746 0.15917193 0.22256328] | norm: l2 | MAP: 0.0637 |
|iter:    62/2500 | vec: [0.07089777 0.00094312 0.14097426 0.07130687 0.13197415 0.58390384] | norm: l2 | MAP: 0.0640 |
|iter:    63/2500 | vec: [0.02941023 0.15129955 0.15417814 0.04925123 0.09491661 0.52094425] | norm: l2 | MAP: 0.0641 |
