13-12-2020-10:12:59
HMS(ItemKNNCF,ItemKNNCB,RP3beta,P3alpha)
|iter:    55/100 | vec: [0.08089952 0.16844236 0.05860494 0.69205318] | norm: none | MAP: 0.0659 |
|iter:    56/100 | vec: [0.06795229 0.45254641 0.14022422 0.33927708] | norm: none | MAP: 0.0672 |
|iter:    57/100 | vec: [0.33101318 0.41905234 0.10946544 0.14046903] | norm: none | MAP: 0.0614 |
|iter:    58/100 | vec: [0.45436332 0.09540433 0.19105946 0.25917289] | norm: none | MAP: 0.0657 |
|iter:    59/100 | vec: [0.00499957 0.2874602  0.18158228 0.52595795] | norm: none | MAP: 0.0690 |
|iter:    60/100 | vec: [0.10295222 0.60730746 0.23445638 0.05528393] | norm: none | MAP: 0.0430 |
|iter:    61/100 | vec: [0.50056921 0.30561215 0.0178871  0.17593154] | norm: none | MAP: 0.0673 |
|iter:    62/100 | vec: [1.53436151e-01 3.38644815e-01 5.42859665e-05 5.07864748e-01] | norm: none | MAP: 0.0700 |
|iter:    63/100 | vec: [0.06941654 0.53492536 0.13634754 0.25931056] | norm: none | MAP: 0.0621 |
|iter:    64/100 | vec: [0.27902134 0.32277733 0.10974316 0.28845817] | norm: none | MAP: 0.0700 |
|iter:    65/100 | vec: [0.23320624 0.32871029 0.23664638 0.20143709] | norm: none | MAP: 0.0674 |
|iter:    66/100 | vec: [0.48762249 0.09505704 0.27107332 0.14624715] | norm: none | MAP: 0.0662 |
|iter:    67/100 | vec: [0.25264661 0.27761343 0.26936692 0.20037304] | norm: none | MAP: 0.0692 |
|iter:    68/100 | vec: [0.15414725 0.08915455 0.57720368 0.17949453] | norm: none | MAP: 0.0662 |
|iter:    69/100 | vec: [0.07916921 0.19897959 0.15042835 0.57142285] | norm: none | MAP: 0.0674 |
|iter:    70/100 | vec: [0.3615798  0.39935582 0.18534606 0.05371832] | norm: none | MAP: 0.0554 |
|iter:    71/100 | vec: [0.06334186 0.42039885 0.16337796 0.35288133] | norm: none | MAP: 0.0682 |
|iter:    72/100 | vec: [0.19417846 0.30186565 0.1672463  0.33670959] | norm: none | MAP: 0.0696 |
|iter:    73/100 | vec: [0.42959904 0.32006894 0.21425774 0.03607428] | norm: none | MAP: 0.0590 |
|iter:    74/100 | vec: [0.09844467 0.01720789 0.84278321 0.04156422] | norm: none | MAP: 0.0616 |
|iter:    75/100 | vec: [0.29010018 0.36105058 0.20249431 0.14635493] | norm: none | MAP: 0.0643 |
|iter:    76/100 | vec: [0.1183606  0.42419026 0.2855204  0.17192873] | norm: none | MAP: 0.0616 |
|iter:    77/100 | vec: [0.14581832 0.06080619 0.4029151  0.39046038] | norm: none | MAP: 0.0638 |
|iter:    78/100 | vec: [0.22491749 0.08894418 0.16223431 0.52390402] | norm: none | MAP: 0.0651 |
|iter:    79/100 | vec: [0.3495389  0.06256852 0.0764053  0.51148728] | norm: none | MAP: 0.0641 |
|iter:    80/100 | vec: [0.28745648 0.51273058 0.14230576 0.05750717] | norm: none | MAP: 0.0496 |
|iter:    81/100 | vec: [0.28878301 0.25815536 0.06595459 0.38710703] | norm: none | MAP: 0.0698 |
|iter:    82/100 | vec: [0.23126911 0.31267839 0.0459786  0.4100739 ] | norm: none | MAP: 0.0699 |
|iter:    83/100 | vec: [0.098669   0.28789002 0.60456656 0.00887442] | norm: none | MAP: 0.0526 |
|iter:    84/100 | vec: [0.07702314 0.40524367 0.36585805 0.15187514] | norm: none | MAP: 0.0606 |
|iter:    85/100 | vec: [0.23201959 0.34459273 0.20167934 0.22170834] | norm: none | MAP: 0.0675 |
|iter:    86/100 | vec: [0.03135722 0.31776557 0.36669002 0.28418719] | norm: none | MAP: 0.0686 |
|iter:    87/100 | vec: [0.36293847 0.00794346 0.33205197 0.2970661 ] | norm: none | MAP: 0.0619 |
|iter:    88/100 | vec: [0.14871875 0.14696542 0.49482485 0.20949099] | norm: none | MAP: 0.0682 |
|iter:    89/100 | vec: [0.19041187 0.07064612 0.18254188 0.55640013] | norm: none | MAP: 0.0644 |
|iter:    90/100 | vec: [0.09898153 0.04278422 0.64201104 0.2162232 ] | norm: none | MAP: 0.0635 |
|iter:    91/100 | vec: [0.34761559 0.0956569  0.48209162 0.07463589] | norm: none | MAP: 0.0664 |
|iter:    92/100 | vec: [0.54994322 0.10706854 0.32344022 0.01954803] | norm: none | MAP: 0.0659 |
|iter:    93/100 | vec: [0.08606708 0.67396536 0.01519818 0.22476938] | norm: none | MAP: 0.0550 |
|iter:    94/100 | vec: [0.43619742 0.25952978 0.25829103 0.04598177] | norm: none | MAP: 0.0635 |
|iter:    95/100 | vec: [0.09311974 0.13910899 0.73136187 0.0364094 ] | norm: none | MAP: 0.0652 |
|iter:    96/100 | vec: [0.11006628 0.11756047 0.53628239 0.23609086] | norm: none | MAP: 0.0668 |
|iter:    97/100 | vec: [0.02246072 0.27219423 0.09127983 0.61406522] | norm: none | MAP: 0.0681 |
|iter:    98/100 | vec: [0.11245966 0.00892176 0.28683174 0.59178684] | norm: none | MAP: 0.0620 |
|iter:    99/100 | vec: [0.14277407 0.41245752 0.21302055 0.23174787] | norm: none | MAP: 0.0649 |
|HMS(ItemKNNCF,ItemKNNCB,RP3beta,P3alpha)| best results | vec: [0.04852497 0.34892709 0.08618419 0.51636375] | norm: none | MAP: 0.0702 |
