| iter: 69/360 | topk: 80 | shrink: 45 | sim type: jaccard | MAP: 0.0297 |
| iter: 70/360 | topk: 90 | shrink: 0 | sim type: jaccard | MAP: 0.0258 |
| iter: 71/360 | topk: 90 | shrink: 5 | sim type: jaccard | MAP: 0.0311 |
| iter: 72/360 | topk: 90 | shrink: 10 | sim type: jaccard | MAP: 0.0318 |
| iter: 73/360 | topk: 90 | shrink: 15 | sim type: jaccard | MAP: 0.0314 |
| iter: 74/360 | topk: 90 | shrink: 20 | sim type: jaccard | MAP: 0.0312 |
| iter: 75/360 | topk: 90 | shrink: 25 | sim type: jaccard | MAP: 0.0312 |
| iter: 76/360 | topk: 90 | shrink: 30 | sim type: jaccard | MAP: 0.0309 |
| iter: 77/360 | topk: 90 | shrink: 35 | sim type: jaccard | MAP: 0.0306 |
| iter: 78/360 | topk: 90 | shrink: 40 | sim type: jaccard | MAP: 0.0305 |
| iter: 79/360 | topk: 90 | shrink: 45 | sim type: jaccard | MAP: 0.0303 |
| iter: 80/360 | topk: 100 | shrink: 0 | sim type: jaccard | MAP: 0.0259 |
| iter: 81/360 | topk: 100 | shrink: 5 | sim type: jaccard | MAP: 0.0313 |
| iter: 82/360 | topk: 100 | shrink: 10 | sim type: jaccard | MAP: 0.0318 |
| iter: 83/360 | topk: 100 | shrink: 15 | sim type: jaccard | MAP: 0.0317 |
| iter: 84/360 | topk: 100 | shrink: 20 | sim type: jaccard | MAP: 0.0314 |
| iter: 85/360 | topk: 100 | shrink: 25 | sim type: jaccard | MAP: 0.0314 |
| iter: 86/360 | topk: 100 | shrink: 30 | sim type: jaccard | MAP: 0.0312 |
| iter: 87/360 | topk: 100 | shrink: 35 | sim type: jaccard | MAP: 0.0308 |
| iter: 88/360 | topk: 100 | shrink: 40 | sim type: jaccard | MAP: 0.0308 |
| iter: 89/360 | topk: 100 | shrink: 45 | sim type: jaccard | MAP: 0.0305 |
| iter: 90/360 | topk: 110 | shrink: 0 | sim type: jaccard | MAP: 0.0262 |
| iter: 91/360 | topk: 110 | shrink: 5 | sim type: jaccard | MAP: 0.0312 |
| iter: 92/360 | topk: 110 | shrink: 10 | sim type: jaccard | MAP: 0.0317 |
| iter: 93/360 | topk: 110 | shrink: 15 | sim type: jaccard | MAP: 0.0317 |
| iter: 94/360 | topk: 110 | shrink: 20 | sim type: jaccard | MAP: 0.0314 |
| iter: 95/360 | topk: 110 | shrink: 25 | sim type: jaccard | MAP: 0.0311 |
| iter: 96/360 | topk: 110 | shrink: 30 | sim type: jaccard | MAP: 0.0308 |
| iter: 97/360 | topk: 110 | shrink: 35 | sim type: jaccard | MAP: 0.0305 |
