12-12-2020-01:12:31
HMR(Hsim(ItemKNNCF, ItemKNNCB),Hsim(UserKNNCF, UserKNNCB),Hsim(P3alpha, RP3beta),Hsim(SLIM_MSE, SLIM_BPR),PureSVD)
|iter:    48/2500 | vec: [0.07241935 0.42719631 0.16492289 0.0388882  0.29657325] | norm: none | MAP: 0.0626 |
|iter:    49/2500 | vec: [0.18235492 0.01067301 0.10497614 0.2188899  0.48310603] | norm: none | MAP: 0.0625 |
|iter:    50/2500 | vec: [4.56715158e-05 4.27273462e-01 5.36709717e-02 4.13589697e-01
 1.05420197e-01] | norm: none | MAP: 0.0607 |
|iter:    51/2500 | vec: [0.36550718 0.17703704 0.2047999  0.06963124 0.18302464] | norm: none | MAP: 0.0686 |
|iter:    52/2500 | vec: [0.1745302  0.24600487 0.17710478 0.15075435 0.25160581] | norm: none | MAP: 0.0654 |
|iter:    53/2500 | vec: [0.1252558  0.35719088 0.19270855 0.15477487 0.1700699 ] | norm: none | MAP: 0.0646 |
|iter:    54/2500 | vec: [0.08452922 0.06287846 0.16017537 0.09264104 0.59977592] | norm: none | MAP: 0.0587 |
|iter:    55/2500 | vec: [0.28829311 0.05634527 0.14161514 0.10706089 0.40668558] | norm: none | MAP: 0.0671 |
|iter:    56/2500 | vec: [0.34449319 0.38048409 0.17658745 0.05117983 0.04725544] | norm: none | MAP: 0.0677 |
|iter:    57/2500 | vec: [0.29827492 0.11591741 0.25037092 0.13130806 0.20412869] | norm: none | MAP: 0.0670 |
|iter:    58/2500 | vec: [0.17881302 0.35999635 0.20554183 0.1531371  0.1025117 ] | norm: none | MAP: 0.0655 |
|iter:    59/2500 | vec: [0.01443965 0.09702317 0.01695942 0.83061371 0.04096405] | norm: none | MAP: 0.0608 |
|iter:    60/2500 | vec: [0.28151998 0.35037189 0.19650519 0.14202623 0.02957671] | norm: none | MAP: 0.0668 |
|iter:    61/2500 | vec: [0.24385502 0.16413762 0.09883698 0.34803846 0.14513192] | norm: none | MAP: 0.0683 |
|iter:    62/2500 | vec: [0.44990039 0.43599328 0.05390617 0.02131733 0.03888284] | norm: none | MAP: 0.0714 |
|iter:    63/2500 | vec: [0.15651725 0.29483004 0.05277547 0.06444655 0.43143069] | norm: none | MAP: 0.0637 |
|iter:    64/2500 | vec: [0.20712154 0.36943869 0.10253583 0.04143575 0.27946819] | norm: none | MAP: 0.0661 |
|iter:    65/2500 | vec: [0.17846458 0.04559486 0.26760976 0.21612602 0.29220477] | norm: none | MAP: 0.0646 |
|iter:    66/2500 | vec: [0.03835222 0.34205568 0.06168193 0.17997153 0.37793865] | norm: none | MAP: 0.0604 |
|iter:    67/2500 | vec: [0.00441667 0.07668296 0.40345384 0.36424217 0.15120436] | norm: none | MAP: 0.0593 |
|iter:    68/2500 | vec: [0.22927418 0.34051527 0.19929293 0.21908493 0.01183269] | norm: none | MAP: 0.0658 |
|iter:    69/2500 | vec: [0.21703797 0.25045399 0.1941035  0.33115667 0.00724787] | norm: none | MAP: 0.0658 |
|iter:    70/2500 | vec: [0.33541064 0.30007089 0.06857699 0.0677685  0.22817298] | norm: none | MAP: 0.0701 |
|iter:    71/2500 | vec: [0.0482038  0.18123329 0.06724071 0.17374266 0.52957953] | norm: none | MAP: 0.0581 |
|iter:    72/2500 | vec: [0.04900498 0.02118213 0.3178546  0.1070504  0.50490788] | norm: none | MAP: 0.0598 |
|iter:    73/2500 | vec: [0.12983312 0.65433292 0.10130173 0.09586772 0.0186645 ] | norm: none | MAP: 0.0643 |
|iter:    74/2500 | vec: [0.21539923 0.01301826 0.08566206 0.67079379 0.01512666] | norm: none | MAP: 0.0687 |
|iter:    75/2500 | vec: [0.09126335 0.39638858 0.23584422 0.23471853 0.04178532] | norm: none | MAP: 0.0629 |
