| iter:    72/240 | topk: 160 | alpha: 0.200 | norm: non | MAP: 0.0565 |
| iter:    73/240 | topk: 160 | alpha: 0.300 | norm: non | MAP: 0.0570 |
| iter:    74/240 | topk: 160 | alpha: 0.400 | norm: non | MAP: 0.0574 |
| iter:    75/240 | topk: 160 | alpha: 0.500 | norm: non | MAP: 0.0576 |
| iter:    76/240 | topk: 160 | alpha: 0.600 | norm: non | MAP: 0.0580 |
| iter:    77/240 | topk: 160 | alpha: 0.700 | norm: non | MAP: 0.0585 |
| iter:    78/240 | topk: 160 | alpha: 0.800 | norm: non | MAP: 0.0596 |
| iter:    79/240 | topk: 160 | alpha: 0.900 | norm: non | MAP: 0.0590 |
| iter:    80/240 | topk: 180 | alpha: 0.000 | norm: non | MAP: 0.0554 |
| iter:    81/240 | topk: 180 | alpha: 0.100 | norm: non | MAP: 0.0563 |
| iter:    82/240 | topk: 180 | alpha: 0.200 | norm: non | MAP: 0.0565 |
| iter:    83/240 | topk: 180 | alpha: 0.300 | norm: non | MAP: 0.0570 |
| iter:    84/240 | topk: 180 | alpha: 0.400 | norm: non | MAP: 0.0574 |
| iter:    85/240 | topk: 180 | alpha: 0.500 | norm: non | MAP: 0.0578 |
| iter:    86/240 | topk: 180 | alpha: 0.600 | norm: non | MAP: 0.0582 |
| iter:    87/240 | topk: 180 | alpha: 0.700 | norm: non | MAP: 0.0592 |
| iter:    88/240 | topk: 180 | alpha: 0.800 | norm: non | MAP: 0.0599 |
| iter:    89/240 | topk: 180 | alpha: 0.900 | norm: non | MAP: 0.0588 |
| iter:    90/240 | topk: 200 | alpha: 0.000 | norm: non | MAP: 0.0560 |
| iter:    91/240 | topk: 200 | alpha: 0.100 | norm: non | MAP: 0.0567 |
| iter:    92/240 | topk: 200 | alpha: 0.200 | norm: non | MAP: 0.0568 |
| iter:    93/240 | topk: 200 | alpha: 0.300 | norm: non | MAP: 0.0572 |
| iter:    94/240 | topk: 200 | alpha: 0.400 | norm: non | MAP: 0.0575 |
| iter:    95/240 | topk: 200 | alpha: 0.500 | norm: non | MAP: 0.0577 |
| iter:    96/240 | topk: 200 | alpha: 0.600 | norm: non | MAP: 0.0582 |
| iter:    97/240 | topk: 200 | alpha: 0.700 | norm: non | MAP: 0.0593 |
| iter:    98/240 | topk: 200 | alpha: 0.800 | norm: non | MAP: 0.0599 |
| iter:    99/240 | topk: 200 | alpha: 0.900 | norm: non | MAP: 0.0591 |
