| iter:    70/240 | topk:  60 | alpha: 0.300 | norm: l1 | MAP: 0.0548 |
| iter:    71/240 | topk:  60 | alpha: 0.300 | norm: max | MAP: 0.0539 |
| iter:    72/240 | topk:  60 | alpha: 0.400 | norm: l2 | MAP: 0.0556 |
| iter:    73/240 | topk:  60 | alpha: 0.400 | norm: l1 | MAP: 0.0555 |
| iter:    74/240 | topk:  60 | alpha: 0.400 | norm: max | MAP: 0.0550 |
| iter:    75/240 | topk:  60 | alpha: 0.500 | norm: l2 | MAP: 0.0562 |
| iter:    76/240 | topk:  60 | alpha: 0.500 | norm: l1 | MAP: 0.0555 |
| iter:    77/240 | topk:  60 | alpha: 0.500 | norm: max | MAP: 0.0556 |
| iter:    78/240 | topk:  60 | alpha: 0.600 | norm: l2 | MAP: 0.0575 |
| iter:    79/240 | topk:  60 | alpha: 0.600 | norm: l1 | MAP: 0.0566 |
| iter:    80/240 | topk:  60 | alpha: 0.600 | norm: max | MAP: 0.0560 |
| iter:    81/240 | topk:  60 | alpha: 0.700 | norm: l2 | MAP: 0.0577 |
| iter:    82/240 | topk:  60 | alpha: 0.700 | norm: l1 | MAP: 0.0567 |
| iter:    83/240 | topk:  60 | alpha: 0.700 | norm: max | MAP: 0.0563 |
| iter:    84/240 | topk:  60 | alpha: 0.800 | norm: l2 | MAP: 0.0568 |
| iter:    85/240 | topk:  60 | alpha: 0.800 | norm: l1 | MAP: 0.0561 |
| iter:    86/240 | topk:  60 | alpha: 0.800 | norm: max | MAP: 0.0556 |
| iter:    87/240 | topk:  60 | alpha: 0.900 | norm: l2 | MAP: 0.0550 |
| iter:    88/240 | topk:  60 | alpha: 0.900 | norm: l1 | MAP: 0.0549 |
| iter:    89/240 | topk:  60 | alpha: 0.900 | norm: max | MAP: 0.0543 |
| iter:    90/240 | topk:  80 | alpha: 0.000 | norm: l2 | MAP: 0.0493 |
| iter:    91/240 | topk:  80 | alpha: 0.000 | norm: l1 | MAP: 0.0493 |
| iter:    92/240 | topk:  80 | alpha: 0.000 | norm: max | MAP: 0.0489 |
| iter:    93/240 | topk:  80 | alpha: 0.100 | norm: l2 | MAP: 0.0510 |
| iter:    94/240 | topk:  80 | alpha: 0.100 | norm: l1 | MAP: 0.0516 |
| iter:    95/240 | topk:  80 | alpha: 0.100 | norm: max | MAP: 0.0509 |
| iter:    96/240 | topk:  80 | alpha: 0.200 | norm: l2 | MAP: 0.0526 |
