13-12-2020-12:54:14
|ItemKNNCF| iter:    59/96 | topk: 160 | shrink: 140 | sim type: cosine | MAP: 0.0504 |
|ItemKNNCF| iter:    60/96 | topk: 160 | shrink: 150 | sim type: cosine | MAP: 0.0504 |
|ItemKNNCF| iter:    61/96 | topk: 160 | shrink: 160 | sim type: cosine | MAP: 0.0503 |
|ItemKNNCF| iter:    62/96 | topk: 160 | shrink: 170 | sim type: cosine | MAP: 0.0504 |
|ItemKNNCF| iter:    63/96 | topk: 160 | shrink: 180 | sim type: cosine | MAP: 0.0504 |
|ItemKNNCF| iter:    64/96 | topk: 130 | shrink: 110 | sim type: jaccard | MAP: 0.0492 |
|ItemKNNCF| iter:    65/96 | topk: 130 | shrink: 120 | sim type: jaccard | MAP: 0.0496 |
|ItemKNNCF| iter:    66/96 | topk: 130 | shrink: 130 | sim type: jaccard | MAP: 0.0502 |
|ItemKNNCF| iter:    67/96 | topk: 130 | shrink: 140 | sim type: jaccard | MAP: 0.0499 |
|ItemKNNCF| iter:    68/96 | topk: 130 | shrink: 150 | sim type: jaccard | MAP: 0.0499 |
|ItemKNNCF| iter:    69/96 | topk: 130 | shrink: 160 | sim type: jaccard | MAP: 0.0501 |
|ItemKNNCF| iter:    70/96 | topk: 130 | shrink: 170 | sim type: jaccard | MAP: 0.0500 |
|ItemKNNCF| iter:    71/96 | topk: 130 | shrink: 180 | sim type: jaccard | MAP: 0.0498 |
|ItemKNNCF| iter:    72/96 | topk: 140 | shrink: 110 | sim type: jaccard | MAP: 0.0489 |
|ItemKNNCF| iter:    73/96 | topk: 140 | shrink: 120 | sim type: jaccard | MAP: 0.0495 |
|ItemKNNCF| iter:    74/96 | topk: 140 | shrink: 130 | sim type: jaccard | MAP: 0.0497 |
|ItemKNNCF| iter:    75/96 | topk: 140 | shrink: 140 | sim type: jaccard | MAP: 0.0500 |
|ItemKNNCF| iter:    76/96 | topk: 140 | shrink: 150 | sim type: jaccard | MAP: 0.0502 |
|ItemKNNCF| iter:    77/96 | topk: 140 | shrink: 160 | sim type: jaccard | MAP: 0.0503 |
|ItemKNNCF| iter:    78/96 | topk: 140 | shrink: 170 | sim type: jaccard | MAP: 0.0503 |
|ItemKNNCF| iter:    79/96 | topk: 140 | shrink: 180 | sim type: jaccard | MAP: 0.0503 |
|ItemKNNCF| iter:    80/96 | topk: 150 | shrink: 110 | sim type: jaccard | MAP: 0.0490 |
|ItemKNNCF| iter:    81/96 | topk: 150 | shrink: 120 | sim type: jaccard | MAP: 0.0495 |
|ItemKNNCF| iter:    82/96 | topk: 150 | shrink: 130 | sim type: jaccard | MAP: 0.0498 |
|ItemKNNCF| iter:    83/96 | topk: 150 | shrink: 140 | sim type: jaccard | MAP: 0.0501 |
|ItemKNNCF| iter:    84/96 | topk: 150 | shrink: 150 | sim type: jaccard | MAP: 0.0502 |
|ItemKNNCF| iter:    85/96 | topk: 150 | shrink: 160 | sim type: jaccard | MAP: 0.0500 |
|ItemKNNCF| iter:    86/96 | topk: 150 | shrink: 170 | sim type: jaccard | MAP: 0.0502 |
|ItemKNNCF| iter:    87/96 | topk: 150 | shrink: 180 | sim type: jaccard | MAP: 0.0503 |
|ItemKNNCF| iter:    88/96 | topk: 160 | shrink: 110 | sim type: jaccard | MAP: 0.0497 |
|ItemKNNCF| iter:    89/96 | topk: 160 | shrink: 120 | sim type: jaccard | MAP: 0.0497 |
|ItemKNNCF| iter:    90/96 | topk: 160 | shrink: 130 | sim type: jaccard | MAP: 0.0503 |
|ItemKNNCF| iter:    91/96 | topk: 160 | shrink: 140 | sim type: jaccard | MAP: 0.0506 |
|ItemKNNCF| iter:    92/96 | topk: 160 | shrink: 150 | sim type: jaccard | MAP: 0.0504 |
|ItemKNNCF| iter:    93/96 | topk: 160 | shrink: 160 | sim type: jaccard | MAP: 0.0505 |
|ItemKNNCF| iter:    94/96 | topk: 160 | shrink: 170 | sim type: jaccard | MAP: 0.0507 |
|ItemKNNCF| iter:    95/96 | topk: 160 | shrink: 180 | sim type: jaccard | MAP: 0.0507 |
|ItemKNNCF| best results | topk: 160 | shrink: 140 | sim type: splus | MAP: 0.0509 |
