19-12-2020-03:18:06
|UserKNNCB| iter:    60/2340 | topk:  40 | shrink:   0 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:    61/2340 | topk:  40 | shrink:  10 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:    62/2340 | topk:  40 | shrink:  20 | sim type: splus | MAP: 0.0520 |
|UserKNNCB| iter:    63/2340 | topk:  40 | shrink:  30 | sim type: splus | MAP: 0.0524 |
|UserKNNCB| iter:    64/2340 | topk:  40 | shrink:  40 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:    65/2340 | topk:  40 | shrink:  50 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:    66/2340 | topk:  40 | shrink:  60 | sim type: splus | MAP: 0.0528 |
|UserKNNCB| iter:    67/2340 | topk:  40 | shrink:  70 | sim type: splus | MAP: 0.0525 |
|UserKNNCB| iter:    68/2340 | topk:  40 | shrink:  80 | sim type: splus | MAP: 0.0528 |
|UserKNNCB| iter:    69/2340 | topk:  40 | shrink:  90 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:    70/2340 | topk:  40 | shrink: 100 | sim type: splus | MAP: 0.0520 |
|UserKNNCB| iter:    71/2340 | topk:  40 | shrink: 110 | sim type: splus | MAP: 0.0520 |
|UserKNNCB| iter:    72/2340 | topk:  40 | shrink: 120 | sim type: splus | MAP: 0.0521 |
|UserKNNCB| iter:    73/2340 | topk:  40 | shrink: 130 | sim type: splus | MAP: 0.0519 |
|UserKNNCB| iter:    74/2340 | topk:  40 | shrink: 140 | sim type: splus | MAP: 0.0515 |
|UserKNNCB| iter:    75/2340 | topk:  40 | shrink: 150 | sim type: splus | MAP: 0.0520 |
|UserKNNCB| iter:    76/2340 | topk:  40 | shrink: 160 | sim type: splus | MAP: 0.0519 |
|UserKNNCB| iter:    77/2340 | topk:  40 | shrink: 170 | sim type: splus | MAP: 0.0518 |
|UserKNNCB| iter:    78/2340 | topk:  40 | shrink: 180 | sim type: splus | MAP: 0.0521 |
|UserKNNCB| iter:    79/2340 | topk:  40 | shrink: 190 | sim type: splus | MAP: 0.0516 |
|UserKNNCB| iter:    80/2340 | topk:  50 | shrink:   0 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:    81/2340 | topk:  50 | shrink:  10 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:    82/2340 | topk:  50 | shrink:  20 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:    83/2340 | topk:  50 | shrink:  30 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:    84/2340 | topk:  50 | shrink:  40 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:    85/2340 | topk:  50 | shrink:  50 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:    86/2340 | topk:  50 | shrink:  60 | sim type: splus | MAP: 0.0534 |
|UserKNNCB| iter:    87/2340 | topk:  50 | shrink:  70 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:    88/2340 | topk:  50 | shrink:  80 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:    89/2340 | topk:  50 | shrink:  90 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:    90/2340 | topk:  50 | shrink: 100 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:    91/2340 | topk:  50 | shrink: 110 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:    92/2340 | topk:  50 | shrink: 120 | sim type: splus | MAP: 0.0525 |
|UserKNNCB| iter:    93/2340 | topk:  50 | shrink: 130 | sim type: splus | MAP: 0.0525 |
|UserKNNCB| iter:    94/2340 | topk:  50 | shrink: 140 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:    95/2340 | topk:  50 | shrink: 150 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:    96/2340 | topk:  50 | shrink: 160 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:    97/2340 | topk:  50 | shrink: 170 | sim type: splus | MAP: 0.0529 |
|UserKNNCB| iter:    98/2340 | topk:  50 | shrink: 180 | sim type: splus | MAP: 0.0529 |
|UserKNNCB| iter:    99/2340 | topk:  50 | shrink: 190 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   100/2340 | topk:  60 | shrink:   0 | sim type: splus | MAP: 0.0529 |
