19-12-2020-01:05:37
|UserKNNCF| iter:    60/1740 | topk:  40 | shrink:   0 | sim type: splus | MAP: 0.0472 |
|UserKNNCF| iter:    61/1740 | topk:  40 | shrink:  10 | sim type: splus | MAP: 0.0520 |
|UserKNNCF| iter:    62/1740 | topk:  40 | shrink:  20 | sim type: splus | MAP: 0.0526 |
|UserKNNCF| iter:    63/1740 | topk:  40 | shrink:  30 | sim type: splus | MAP: 0.0534 |
|UserKNNCF| iter:    64/1740 | topk:  40 | shrink:  40 | sim type: splus | MAP: 0.0534 |
|UserKNNCF| iter:    65/1740 | topk:  40 | shrink:  50 | sim type: splus | MAP: 0.0539 |
|UserKNNCF| iter:    66/1740 | topk:  40 | shrink:  60 | sim type: splus | MAP: 0.0542 |
|UserKNNCF| iter:    67/1740 | topk:  40 | shrink:  70 | sim type: splus | MAP: 0.0541 |
|UserKNNCF| iter:    68/1740 | topk:  40 | shrink:  80 | sim type: splus | MAP: 0.0541 |
|UserKNNCF| iter:    69/1740 | topk:  40 | shrink:  90 | sim type: splus | MAP: 0.0543 |
|UserKNNCF| iter:    70/1740 | topk:  40 | shrink: 100 | sim type: splus | MAP: 0.0542 |
|UserKNNCF| iter:    71/1740 | topk:  40 | shrink: 110 | sim type: splus | MAP: 0.0543 |
|UserKNNCF| iter:    72/1740 | topk:  40 | shrink: 120 | sim type: splus | MAP: 0.0542 |
|UserKNNCF| iter:    73/1740 | topk:  40 | shrink: 130 | sim type: splus | MAP: 0.0546 |
|UserKNNCF| iter:    74/1740 | topk:  40 | shrink: 140 | sim type: splus | MAP: 0.0545 |
|UserKNNCF| iter:    75/1740 | topk:  40 | shrink: 150 | sim type: splus | MAP: 0.0545 |
|UserKNNCF| iter:    76/1740 | topk:  40 | shrink: 160 | sim type: splus | MAP: 0.0543 |
|UserKNNCF| iter:    77/1740 | topk:  40 | shrink: 170 | sim type: splus | MAP: 0.0544 |
|UserKNNCF| iter:    78/1740 | topk:  40 | shrink: 180 | sim type: splus | MAP: 0.0547 |
|UserKNNCF| iter:    79/1740 | topk:  40 | shrink: 190 | sim type: splus | MAP: 0.0547 |
