18-12-2020-09:11:05
HMR(ItemKNNCB,RP3beta,P3alpha,UserKNNCF,UserKNNCB,IALS)
|iter:    45/2500 | vec: [0.02169096 0.13453947 0.35501463 0.08615291 0.13867472 0.26392731] | norm: none | MAP: 0.0607 |
|iter:    46/2500 | vec: [0.07368326 0.29292686 0.27494509 0.2512125  0.07772949 0.02950281] | norm: none | MAP: 0.0623 |
|iter:    47/2500 | vec: [0.13059269 0.071661   0.09037381 0.13499489 0.36061301 0.2117646 ] | norm: none | MAP: 0.0684 |
|iter:    48/2500 | vec: [0.02198787 0.39799258 0.18900397 0.06434691 0.21893461 0.10773407] | norm: none | MAP: 0.0612 |
|iter:    49/2500 | vec: [0.2822617  0.29079559 0.05631744 0.15406373 0.19617752 0.02038402] | norm: none | MAP: 0.0684 |
|iter:    50/2500 | vec: [0.16856713 0.05185487 0.0848994  0.38756505 0.2653171  0.04179645] | norm: none | MAP: 0.0704 |
|iter:    51/2500 | vec: [0.14241818 0.23589107 0.03544443 0.44304957 0.10896864 0.0342281 ] | norm: none | MAP: 0.0654 |
|iter:    52/2500 | vec: [0.28678836 0.16891114 0.00641501 0.19317311 0.33734932 0.00736306] | norm: none | MAP: 0.0731 |
|iter:    53/2500 | vec: [0.1927662  0.05177738 0.10277704 0.01347245 0.13665543 0.50255151] | norm: none | MAP: 0.0710 |
|iter:    54/2500 | vec: [0.04364538 0.00788037 0.22632668 0.35397676 0.08108325 0.28708755] | norm: none | MAP: 0.0628 |
|iter:    55/2500 | vec: [0.29612963 0.16411982 0.22025102 0.02187199 0.23114343 0.06648411] | norm: none | MAP: 0.0680 |
|iter:    56/2500 | vec: [0.08242412 0.20133553 0.47535728 0.13850439 0.01975224 0.08262643] | norm: none | MAP: 0.0619 |
|iter:    57/2500 | vec: [0.04841239 0.17211187 0.44715351 0.11513142 0.0421578  0.17503302] | norm: none | MAP: 0.0614 |
|iter:    58/2500 | vec: [0.06611244 0.02630875 0.4330299  0.19488913 0.24787003 0.03178975] | norm: none | MAP: 0.0623 |
|iter:    59/2500 | vec: [0.09270625 0.13221716 0.57415579 0.00307973 0.1031909  0.09465016] | norm: none | MAP: 0.0619 |
|iter:    60/2500 | vec: [0.1458176  0.28510994 0.10242551 0.12631767 0.10377023 0.23655904] | norm: none | MAP: 0.0646 |
|iter:    61/2500 | vec: [0.32929743 0.05402867 0.17873403 0.14749008 0.0648022  0.22564759] | norm: none | MAP: 0.0726 |
|iter:    62/2500 | vec: [0.15388613 0.08772563 0.10993829 0.38545313 0.13244199 0.13055483] | norm: none | MAP: 0.0674 |
|iter:    63/2500 | vec: [0.08059048 0.25617422 0.34632632 0.06229751 0.06647114 0.18814032] | norm: none | MAP: 0.0620 |
|iter:    64/2500 | vec: [0.09666571 0.024174   0.09636446 0.33867193 0.19807702 0.24604688] | norm: none | MAP: 0.0678 |
|iter:    65/2500 | vec: [0.08821914 0.06866006 0.29151481 0.14918368 0.29646356 0.10595875] | norm: none | MAP: 0.0633 |
|iter:    66/2500 | vec: [0.24287166 0.20891835 0.42506934 0.06247263 0.05886787 0.00180017] | norm: none | MAP: 0.0638 |
