12-12-2020-20:29:40
HMR(ItemKNNCF,ItemKNNCB,P3alpha,UserKNNCF,UserKNNCB,PureSVD)
|iter:     0/2500 | vec: [2.22110132e-01 5.24449717e-01 4.70811414e-05 1.48186834e-01
|iter:    65/2500 | vec: [0.04784768 0.32188489 0.07087966 0.00562309 0.1807807  0.37298397] | norm: none | MAP: 0.0632 |
|iter:    66/2500 | vec: [0.0585402  0.16911576 0.08734265 0.09502122 0.39112137 0.1988588 ] | norm: none | MAP: 0.0705 |
|iter:    67/2500 | vec: [0.00608126 0.22871829 0.11576753 0.54560018 0.04632614 0.0575066 ] | norm: none | MAP: 0.0713 |
|iter:    68/2500 | vec: [0.01854603 0.12214138 0.02519036 0.21921764 0.35448029 0.2604243 ] | norm: none | MAP: 0.0700 |
|iter:    69/2500 | vec: [0.2068946  0.05968236 0.26618691 0.07971508 0.24732283 0.14019822] | norm: none | MAP: 0.0657 |
|iter:    70/2500 | vec: [0.14634341 0.07716487 0.01749072 0.06527825 0.58000672 0.11371603] | norm: none | MAP: 0.0662 |
|iter:    71/2500 | vec: [0.00624658 0.31168647 0.11135233 0.30463458 0.13350826 0.13257177] | norm: none | MAP: 0.0684 |
|iter:    72/2500 | vec: [0.11169907 0.11036514 0.2792158  0.08843846 0.40379403 0.0064875 ] | norm: none | MAP: 0.0669 |
|iter:    73/2500 | vec: [0.4409375  0.03982225 0.28582284 0.00309003 0.22943092 0.00089646] | norm: none | MAP: 0.0639 |
|iter:    74/2500 | vec: [0.30926401 0.24149211 0.16277601 0.25277932 0.01610961 0.01757895] | norm: none | MAP: 0.0710 |
|iter:    75/2500 | vec: [0.01941546 0.09101974 0.22072888 0.42985586 0.11602034 0.12295972] | norm: none | MAP: 0.0678 |
|iter:    76/2500 | vec: [0.46226059 0.09866503 0.05536885 0.03668445 0.02450175 0.32251933] | norm: none | MAP: 0.0690 |
|iter:    77/2500 | vec: [0.02301321 0.0444934  0.2478506  0.05391392 0.5857734  0.04495545] | norm: none | MAP: 0.0646 |
|iter:    78/2500 | vec: [0.14392889 0.07123721 0.45595482 0.08614773 0.10725265 0.1354787 ] | norm: none | MAP: 0.0645 |
|iter:    79/2500 | vec: [0.39528859 0.00444615 0.17846251 0.31348206 0.00391275 0.10440794] | norm: none | MAP: 0.0619 |
|iter:    80/2500 | vec: [0.06642426 0.33042439 0.13766305 0.19731769 0.10153455 0.16663605] | norm: none | MAP: 0.0683 |
|iter:    81/2500 | vec: [0.07145412 0.0019588  0.17931088 0.07782155 0.15188401 0.51757063] | norm: none | MAP: 0.0607 |
|iter:    82/2500 | vec: [0.06454803 0.03299844 0.05388253 0.31187758 0.32073932 0.2159541 ] | norm: none | MAP: 0.0649 |
|iter:    83/2500 | vec: [0.68224104 0.06979194 0.02470326 0.06958563 0.10184499 0.05183314] | norm: none | MAP: 0.0653 |
|iter:    84/2500 | vec: [0.19251523 0.10999012 0.34924728 0.04218981 0.24940565 0.05665191] | norm: none | MAP: 0.0669 |
|iter:    85/2500 | vec: [0.25260167 0.12698466 0.01735169 0.07686808 0.32275222 0.20344168] | norm: none | MAP: 0.0703 |
|iter:    86/2500 | vec: [0.07247151 0.01901421 0.08373105 0.56737386 0.16806571 0.08934366] | norm: none | MAP: 0.0646 |
|iter:    87/2500 | vec: [0.52144378 0.32416231 0.12659389 0.00460917 0.01373776 0.0094531 ] | norm: none | MAP: 0.0664 |
|iter:    88/2500 | vec: [0.05997089 0.04696938 0.3695067  0.01835098 0.35963808 0.14556398] | norm: none | MAP: 0.0645 |
|iter:    89/2500 | vec: [0.351849   0.20264478 0.22358681 0.13112681 0.00267605 0.08811656] | norm: none | MAP: 0.0707 |
|iter:    90/2500 | vec: [0.19983756 0.38635315 0.18652668 0.18036069 0.04369212 0.00322979] | norm: none | MAP: 0.0668 |
|iter:    91/2500 | vec: [0.19268367 0.05232336 0.56441629 0.03375591 0.05611832 0.10070245] | norm: none | MAP: 0.0630 |
|iter:    92/2500 | vec: [0.32248538 0.1429697  0.03057957 0.08593823 0.1610591  0.25696802] | norm: none | MAP: 0.0708 |
|iter:    93/2500 | vec: [0.36407122 0.03457858 0.00574009 0.1812668  0.41120263 0.00314068] | norm: none | MAP: 0.0631 |
|iter:    94/2500 | vec: [0.17507814 0.18209968 0.09355931 0.3862755  0.16216332 0.00082406] | norm: none | MAP: 0.0721 |
|iter:    95/2500 | vec: [0.08917094 0.26398817 0.23882545 0.14098314 0.15074511 0.1162872 ] | norm: none | MAP: 0.0709 |
|iter:    96/2500 | vec: [0.06612782 0.16970787 0.22992452 0.08969115 0.39976589 0.04478275] | norm: none | MAP: 0.0695 |
|iter:    97/2500 | vec: [0.23527261 0.05847991 0.2542051  0.09546074 0.2819729  0.07460875] | norm: none | MAP: 0.0658 |
|iter:    98/2500 | vec: [0.04804754 0.29138081 0.0737671  0.26409744 0.27269191 0.0500152 ] | norm: none | MAP: 0.0668 |
|iter:    99/2500 | vec: [0.195185   0.1797026  0.1245564  0.383451   0.02186349 0.09524152] | norm: none | MAP: 0.0714 |
|iter:   100/2500 | vec: [0.19341289 0.27710045 0.01446516 0.04541231 0.04009596 0.42951323] | norm: none | MAP: 0.0619 |
|iter:   101/2500 | vec: [0.16892069 0.10974492 0.04937436 0.24485618 0.07769797 0.34940589] | norm: none | MAP: 0.0705 |
|iter:   102/2500 | vec: [0.19935746 0.10586157 0.02196785 0.60759166 0.02835719 0.03686427] | norm: none | MAP: 0.0709 |
|iter:   103/2500 | vec: [0.14889259 0.13666309 0.04188258 0.34487217 0.05520137 0.27248819] | norm: none | MAP: 0.0714 |
|iter:   104/2500 | vec: [0.23925357 0.04033668 0.15658777 0.23556315 0.17329793 0.15496091] | norm: none | MAP: 0.0658 |
|iter:   105/2500 | vec: [0.05221392 0.1960846  0.43323229 0.0826441  0.22721148 0.0086136 ] | norm: none | MAP: 0.0679 |
|iter:   106/2500 | vec: [0.33963838 0.04020817 0.09466916 0.06719307 0.01572416 0.44256706] | norm: none | MAP: 0.0643 |
|iter:   107/2500 | vec: [0.19650787 0.32157919 0.28967274 0.06025531 0.09829803 0.03368686] | norm: none | MAP: 0.0707 |
|iter:   108/2500 | vec: [0.21953097 0.09386608 0.13674495 0.03540469 0.47956239 0.03489092] | norm: none | MAP: 0.0671 |
|iter:   109/2500 | vec: [0.59867884 0.02748028 0.11972963 0.00646607 0.2180172  0.02962799] | norm: none | MAP: 0.0625 |
|iter:   110/2500 | vec: [0.1587098  0.28490389 0.03434784 0.16935717 0.05162248 0.30105883] | norm: none | MAP: 0.0659 |
|iter:   111/2500 | vec: [0.20488308 0.03100968 0.3161225  0.00318847 0.31413468 0.1306616 ] | norm: none | MAP: 0.0641 |
|iter:   112/2500 | vec: [6.53589486e-02 1.80033144e-01 1.59793781e-01 5.53076067e-01
 4.12568154e-02 4.81244341e-04] | norm: none | MAP: 0.0715 |
|iter:   113/2500 | vec: [0.28765684 0.20660818 0.13819238 0.07699025 0.1299699  0.16058245] | norm: none | MAP: 0.0712 |
|iter:   114/2500 | vec: [0.07845076 0.24564924 0.23190891 0.15861582 0.0858207  0.19955456] | norm: none | MAP: 0.0714 |
|iter:   115/2500 | vec: [0.00070652 0.33792815 0.5138232  0.06198771 0.02916668 0.05638773] | norm: none | MAP: 0.0696 |
|iter:   116/2500 | vec: [0.08733339 0.52103229 0.19022778 0.08203881 0.03615753 0.0832102 ] | norm: none | MAP: 0.0597 |
|iter:   117/2500 | vec: [0.19585403 0.08063311 0.12581908 0.1208564  0.36245708 0.1143803 ] | norm: none | MAP: 0.0681 |
|iter:   118/2500 | vec: [0.11186755 0.29638196 0.06602627 0.16606442 0.09968542 0.25997438] | norm: none | MAP: 0.0670 |
|iter:   119/2500 | vec: [0.34706181 0.09817993 0.25379959 0.10098136 0.17659509 0.02338222] | norm: none | MAP: 0.0670 |
|iter:   120/2500 | vec: [0.08411134 0.35584775 0.13788433 0.2158142  0.10415904 0.10218334] | norm: none | MAP: 0.0669 |
|iter:   121/2500 | vec: [0.28132965 0.01067262 0.12944327 0.43479879 0.11088605 0.03286961] | norm: none | MAP: 0.0630 |
|iter:   122/2500 | vec: [0.23228058 0.03574835 0.14877934 0.09583576 0.36661268 0.12074329] | norm: none | MAP: 0.0647 |
|iter:   123/2500 | vec: [0.18646732 0.00081599 0.4652672  0.00828852 0.03983374 0.29932723] | norm: none | MAP: 0.0609 |
|iter:   124/2500 | vec: [0.00144554 0.2785184  0.31791544 0.09329387 0.04755065 0.2612761 ] | norm: none | MAP: 0.0711 |
|iter:   125/2500 | vec: [0.07824139 0.01736967 0.31654163 0.27248356 0.08143878 0.23392496] | norm: none | MAP: 0.0633 |
|iter:   126/2500 | vec: [0.08385268 0.1778745  0.07847213 0.10896761 0.0324983  0.51833478] | norm: none | MAP: 0.0689 |
|iter:   127/2500 | vec: [0.12822049 0.04018762 0.05735071 0.00522255 0.46313404 0.30588458] | norm: none | MAP: 0.0638 |
|iter:   128/2500 | vec: [0.22368626 0.09998006 0.22180181 0.16817941 0.2126206  0.07373185] | norm: none | MAP: 0.0673 |
|iter:   129/2500 | vec: [0.39810201 0.07561661 0.14815905 0.07228692 0.20042037 0.10541504] | norm: none | MAP: 0.0672 |
|iter:   130/2500 | vec: [0.0515572  0.36492762 0.03810639 0.39919428 0.09981668 0.04639782] | norm: none | MAP: 0.0600 |
|iter:   131/2500 | vec: [0.33653943 0.1669474  0.0501615  0.27194277 0.09799014 0.07641876] | norm: none | MAP: 0.0713 |
|iter:   132/2500 | vec: [0.08536498 0.25451231 0.06662053 0.35171182 0.07452136 0.16726901] | norm: none | MAP: 0.0699 |
|iter:   133/2500 | vec: [0.08197512 0.23681881 0.26857009 0.02496353 0.10782387 0.27984859] | norm: none | MAP: 0.0717 |
|iter:   134/2500 | vec: [0.10165126 0.43863343 0.05628023 0.16149483 0.19737126 0.044569  ] | norm: none | MAP: 0.0541 |
|iter:   135/2500 | vec: [0.00253602 0.09861764 0.51009174 0.07685228 0.27676982 0.0351325 ] | norm: none | MAP: 0.0653 |
|iter:   136/2500 | vec: [0.09306979 0.03473524 0.28055776 0.26725126 0.25939603 0.06498991] | norm: none | MAP: 0.0644 |
|iter:   137/2500 | vec: [0.39920682 0.08732418 0.18719619 0.15750216 0.14866051 0.02011014] | norm: none | MAP: 0.0668 |
|iter:   138/2500 | vec: [0.21847123 0.26877373 0.2080018  0.22859959 0.0407445  0.03540916] | norm: none | MAP: 0.0712 |
|iter:   139/2500 | vec: [0.14803054 0.4269462  0.04168435 0.12743293 0.1148815  0.14102449] | norm: none | MAP: 0.0534 |
|iter:   140/2500 | vec: [0.03574801 0.08507514 0.06162159 0.37772247 0.32695131 0.11288148] | norm: none | MAP: 0.0693 |
|iter:   141/2500 | vec: [0.17847273 0.03003865 0.1361614  0.0673245  0.3752235  0.21277921] | norm: none | MAP: 0.0644 |
|iter:   142/2500 | vec: [0.09955667 0.01321693 0.06308434 0.42756026 0.29383187 0.10274992] | norm: none | MAP: 0.0631 |
|iter:   143/2500 | vec: [0.03990815 0.24719217 0.20225252 0.15336642 0.13549634 0.22178439] | norm: none | MAP: 0.0710 |
|iter:   144/2500 | vec: [0.16413964 0.12034436 0.07493282 0.22379412 0.00579149 0.41099757] | norm: none | MAP: 0.0702 |
|iter:   145/2500 | vec: [0.02768676 0.11314273 0.27939994 0.05783346 0.496929   0.02500811] | norm: none | MAP: 0.0669 |
|iter:   146/2500 | vec: [0.09845767 0.01851265 0.35737672 0.32451956 0.1398465  0.0612869 ] | norm: none | MAP: 0.0627 |
|iter:   147/2500 | vec: [0.28510168 0.08631355 0.32904371 0.13882621 0.1547189  0.00599595] | norm: none | MAP: 0.0657 |
|iter:   148/2500 | vec: [0.30297795 0.12658622 0.07632018 0.16679709 0.14131187 0.18600669] | norm: none | MAP: 0.0709 |
|iter:   149/2500 | vec: [0.41920241 0.0488772  0.16060845 0.08679297 0.23722943 0.04728954] | norm: none | MAP: 0.0653 |
|iter:   150/2500 | vec: [0.04000908 0.34358135 0.00632112 0.42759451 0.11543638 0.06705756] | norm: none | MAP: 0.0577 |
|iter:   151/2500 | vec: [0.74007012 0.00838303 0.10136454 0.00440387 0.11803402 0.02774441] | norm: none | MAP: 0.0597 |
|iter:   152/2500 | vec: [0.09611632 0.38175732 0.20042509 0.05796603 0.11884575 0.1448895 ] | norm: none | MAP: 0.0675 |
|iter:   153/2500 | vec: [0.19451997 0.2141806  0.04655647 0.13133951 0.04369854 0.36970492] | norm: none | MAP: 0.0702 |
|iter:   154/2500 | vec: [0.12951554 0.11904597 0.43389176 0.1498501  0.1051178  0.06257882] | norm: none | MAP: 0.0663 |
|iter:   155/2500 | vec: [0.01475233 0.10689104 0.00515012 0.06792565 0.13821153 0.66706934] | norm: none | MAP: 0.0651 |
|iter:   156/2500 | vec: [0.03156687 0.30463609 0.18884743 0.40903271 0.04224493 0.02367196] | norm: none | MAP: 0.0703 |
|iter:   157/2500 | vec: [0.1167527  0.36533348 0.0487593  0.33455865 0.07857465 0.05602123] | norm: none | MAP: 0.0611 |
|iter:   158/2500 | vec: [0.00726194 0.21910199 0.20668997 0.46392206 0.0316891  0.07133495] | norm: none | MAP: 0.0715 |
|iter:   159/2500 | vec: [0.00574164 0.0414985  0.36238125 0.17699635 0.13299639 0.28038587] | norm: none | MAP: 0.0643 |
|iter:   160/2500 | vec: [0.47233562 0.16890856 0.11294212 0.23515833 0.00380689 0.00684848] | norm: none | MAP: 0.0703 |
|iter:   161/2500 | vec: [0.08514971 0.05692448 0.36694238 0.08912922 0.10281676 0.29903745] | norm: none | MAP: 0.0647 |
|iter:   162/2500 | vec: [0.1317565  0.46666287 0.0651213  0.07123867 0.08862659 0.17659407] | norm: none | MAP: 0.0530 |
|iter:   163/2500 | vec: [0.06331922 0.28345537 0.03923954 0.0251688  0.51997167 0.0688454 ] | norm: none | MAP: 0.0611 |
|iter:   164/2500 | vec: [0.06726234 0.11687766 0.10289027 0.01090351 0.28579103 0.4162752 ] | norm: none | MAP: 0.0694 |
|iter:   165/2500 | vec: [0.21890768 0.04365015 0.09813509 0.05422062 0.10578265 0.47930381] | norm: none | MAP: 0.0650 |
|iter:   166/2500 | vec: [0.06264925 0.1853344  0.0661616  0.24979116 0.06612248 0.36994111] | norm: none | MAP: 0.0712 |
|iter:   167/2500 | vec: [0.33711238 0.34800029 0.15338931 0.05727408 0.01025015 0.09397378] | norm: none | MAP: 0.0668 |
|iter:   168/2500 | vec: [0.00738335 0.23109234 0.21665048 0.10990367 0.28505582 0.14991434] | norm: none | MAP: 0.0714 |
|iter:   169/2500 | vec: [0.02269525 0.08078378 0.1199302  0.22818332 0.02997921 0.51842823] | norm: none | MAP: 0.0676 |
|iter:   170/2500 | vec: [0.15114828 0.20240972 0.11927735 0.39640576 0.12748904 0.00326985] | norm: none | MAP: 0.0717 |
|iter:   171/2500 | vec: [0.25124376 0.12996088 0.21077388 0.36904324 0.0063604  0.03261784] | norm: none | MAP: 0.0687 |
|iter:   172/2500 | vec: [0.01887503 0.15794606 0.57510205 0.02456009 0.18482206 0.03869471] | norm: none | MAP: 0.0662 |
|iter:   173/2500 | vec: [0.20154772 0.25038907 0.00601746 0.09060867 0.0372097  0.41422738] | norm: none | MAP: 0.0639 |
|iter:   174/2500 | vec: [0.26828152 0.08864335 0.33810178 0.03938864 0.21247649 0.05310822] | norm: none | MAP: 0.0661 |
|iter:   175/2500 | vec: [0.03553642 0.3735797  0.15230984 0.00886798 0.27001249 0.15969356] | norm: none | MAP: 0.0646 |
|iter:   176/2500 | vec: [0.17867492 0.25360993 0.05623304 0.17652576 0.32425282 0.01070353] | norm: none | MAP: 0.0668 |
|iter:   177/2500 | vec: [0.03219427 0.42541928 0.22174471 0.17444313 0.06570238 0.08049624] | norm: none | MAP: 0.0664 |
