13-12-2020-11:52:44
| iter:    66/320 | topk:  70 | alpha: 0.380 | beta: 0.030 | MAP: 0.0585 |
| iter:    67/320 | topk:  70 | alpha: 0.380 | beta: 0.060 | MAP: 0.0584 |
| iter:    68/320 | topk:  70 | alpha: 0.380 | beta: 0.090 | MAP: 0.0580 |
| iter:    69/320 | topk:  70 | alpha: 0.380 | beta: 0.120 | MAP: 0.0577 |
| iter:    70/320 | topk:  70 | alpha: 0.410 | beta: 0.000 | MAP: 0.0588 |
| iter:    71/320 | topk:  70 | alpha: 0.410 | beta: 0.030 | MAP: 0.0584 |
| iter:    72/320 | topk:  70 | alpha: 0.410 | beta: 0.060 | MAP: 0.0582 |
| iter:    73/320 | topk:  70 | alpha: 0.410 | beta: 0.090 | MAP: 0.0575 |
| iter:    74/320 | topk:  70 | alpha: 0.410 | beta: 0.120 | MAP: 0.0570 |
| iter:    75/320 | topk:  70 | alpha: 0.440 | beta: 0.000 | MAP: 0.0581 |
| iter:    76/320 | topk:  70 | alpha: 0.440 | beta: 0.030 | MAP: 0.0579 |
| iter:    77/320 | topk:  70 | alpha: 0.440 | beta: 0.060 | MAP: 0.0577 |
| iter:    78/320 | topk:  70 | alpha: 0.440 | beta: 0.090 | MAP: 0.0568 |
| iter:    79/320 | topk:  70 | alpha: 0.440 | beta: 0.120 | MAP: 0.0565 |
| iter:    80/320 | topk:  80 | alpha: 0.350 | beta: 0.000 | MAP: 0.0588 |
| iter:    81/320 | topk:  80 | alpha: 0.350 | beta: 0.030 | MAP: 0.0587 |
| iter:    82/320 | topk:  80 | alpha: 0.350 | beta: 0.060 | MAP: 0.0586 |
| iter:    83/320 | topk:  80 | alpha: 0.350 | beta: 0.090 | MAP: 0.0586 |
| iter:    84/320 | topk:  80 | alpha: 0.350 | beta: 0.120 | MAP: 0.0583 |
| iter:    85/320 | topk:  80 | alpha: 0.380 | beta: 0.000 | MAP: 0.0588 |
| iter:    86/320 | topk:  80 | alpha: 0.380 | beta: 0.030 | MAP: 0.0586 |
| iter:    87/320 | topk:  80 | alpha: 0.380 | beta: 0.060 | MAP: 0.0584 |
| iter:    88/320 | topk:  80 | alpha: 0.380 | beta: 0.090 | MAP: 0.0588 |
| iter:    89/320 | topk:  80 | alpha: 0.380 | beta: 0.120 | MAP: 0.0580 |
| iter:    90/320 | topk:  80 | alpha: 0.410 | beta: 0.000 | MAP: 0.0585 |
| iter:    91/320 | topk:  80 | alpha: 0.410 | beta: 0.030 | MAP: 0.0584 |
| iter:    92/320 | topk:  80 | alpha: 0.410 | beta: 0.060 | MAP: 0.0581 |
| iter:    93/320 | topk:  80 | alpha: 0.410 | beta: 0.090 | MAP: 0.0576 |
| iter:    94/320 | topk:  80 | alpha: 0.410 | beta: 0.120 | MAP: 0.0572 |
| iter:    95/320 | topk:  80 | alpha: 0.440 | beta: 0.000 | MAP: 0.0582 |
| iter:    96/320 | topk:  80 | alpha: 0.440 | beta: 0.030 | MAP: 0.0579 |
| iter:    97/320 | topk:  80 | alpha: 0.440 | beta: 0.060 | MAP: 0.0577 |
| iter:    98/320 | topk:  80 | alpha: 0.440 | beta: 0.090 | MAP: 0.0571 |
| iter:    99/320 | topk:  80 | alpha: 0.440 | beta: 0.120 | MAP: 0.0566 |
| iter:   100/320 | topk:  90 | alpha: 0.350 | beta: 0.000 | MAP: 0.0585 |
| iter:   101/320 | topk:  90 | alpha: 0.350 | beta: 0.030 | MAP: 0.0586 |
| iter:   102/320 | topk:  90 | alpha: 0.350 | beta: 0.060 | MAP: 0.0585 |
| iter:   103/320 | topk:  90 | alpha: 0.350 | beta: 0.090 | MAP: 0.0582 |
| iter:   104/320 | topk:  90 | alpha: 0.350 | beta: 0.120 | MAP: 0.0583 |
| iter:   105/320 | topk:  90 | alpha: 0.380 | beta: 0.000 | MAP: 0.0586 |
| iter:   106/320 | topk:  90 | alpha: 0.380 | beta: 0.030 | MAP: 0.0585 |
| iter:   107/320 | topk:  90 | alpha: 0.380 | beta: 0.060 | MAP: 0.0583 |
| iter:   108/320 | topk:  90 | alpha: 0.380 | beta: 0.090 | MAP: 0.0585 |
| iter:   109/320 | topk:  90 | alpha: 0.380 | beta: 0.120 | MAP: 0.0580 |
| iter:   110/320 | topk:  90 | alpha: 0.410 | beta: 0.000 | MAP: 0.0585 |
| iter:   111/320 | topk:  90 | alpha: 0.410 | beta: 0.030 | MAP: 0.0585 |
| iter:   112/320 | topk:  90 | alpha: 0.410 | beta: 0.060 | MAP: 0.0582 |
| iter:   113/320 | topk:  90 | alpha: 0.410 | beta: 0.090 | MAP: 0.0579 |
| iter:   114/320 | topk:  90 | alpha: 0.410 | beta: 0.120 | MAP: 0.0572 |
| iter:   115/320 | topk:  90 | alpha: 0.440 | beta: 0.000 | MAP: 0.0582 |
| iter:   116/320 | topk:  90 | alpha: 0.440 | beta: 0.030 | MAP: 0.0580 |
| iter:   117/320 | topk:  90 | alpha: 0.440 | beta: 0.060 | MAP: 0.0581 |
| iter:   118/320 | topk:  90 | alpha: 0.440 | beta: 0.090 | MAP: 0.0569 |
| iter:   119/320 | topk:  90 | alpha: 0.440 | beta: 0.120 | MAP: 0.0567 |
| iter:   120/320 | topk: 100 | alpha: 0.350 | beta: 0.000 | MAP: 0.0585 |
| iter:   121/320 | topk: 100 | alpha: 0.350 | beta: 0.030 | MAP: 0.0586 |
| iter:   122/320 | topk: 100 | alpha: 0.350 | beta: 0.060 | MAP: 0.0587 |
| iter:   123/320 | topk: 100 | alpha: 0.350 | beta: 0.090 | MAP: 0.0586 |
| iter:   124/320 | topk: 100 | alpha: 0.350 | beta: 0.120 | MAP: 0.0582 |
| iter:   125/320 | topk: 100 | alpha: 0.380 | beta: 0.000 | MAP: 0.0586 |
| iter:   126/320 | topk: 100 | alpha: 0.380 | beta: 0.030 | MAP: 0.0587 |
| iter:   127/320 | topk: 100 | alpha: 0.380 | beta: 0.060 | MAP: 0.0586 |
| iter:   128/320 | topk: 100 | alpha: 0.380 | beta: 0.090 | MAP: 0.0583 |
| iter:   129/320 | topk: 100 | alpha: 0.380 | beta: 0.120 | MAP: 0.0581 |
| iter:   130/320 | topk: 100 | alpha: 0.410 | beta: 0.000 | MAP: 0.0585 |
| iter:   131/320 | topk: 100 | alpha: 0.410 | beta: 0.030 | MAP: 0.0584 |
| iter:   132/320 | topk: 100 | alpha: 0.410 | beta: 0.060 | MAP: 0.0581 |
| iter:   133/320 | topk: 100 | alpha: 0.410 | beta: 0.090 | MAP: 0.0579 |
| iter:   134/320 | topk: 100 | alpha: 0.410 | beta: 0.120 | MAP: 0.0573 |
| iter:   135/320 | topk: 100 | alpha: 0.440 | beta: 0.000 | MAP: 0.0582 |
| iter:   136/320 | topk: 100 | alpha: 0.440 | beta: 0.030 | MAP: 0.0579 |
| iter:   137/320 | topk: 100 | alpha: 0.440 | beta: 0.060 | MAP: 0.0581 |
| iter:   138/320 | topk: 100 | alpha: 0.440 | beta: 0.090 | MAP: 0.0574 |
| iter:   139/320 | topk: 100 | alpha: 0.440 | beta: 0.120 | MAP: 0.0567 |
| iter:   140/320 | topk: 110 | alpha: 0.350 | beta: 0.000 | MAP: 0.0585 |
| iter:   141/320 | topk: 110 | alpha: 0.350 | beta: 0.030 | MAP: 0.0587 |
| iter:   142/320 | topk: 110 | alpha: 0.350 | beta: 0.060 | MAP: 0.0590 |
| iter:   143/320 | topk: 110 | alpha: 0.350 | beta: 0.090 | MAP: 0.0584 |
| iter:   144/320 | topk: 110 | alpha: 0.350 | beta: 0.120 | MAP: 0.0585 |
| iter:   145/320 | topk: 110 | alpha: 0.380 | beta: 0.000 | MAP: 0.0586 |
| iter:   146/320 | topk: 110 | alpha: 0.380 | beta: 0.030 | MAP: 0.0587 |
| iter:   147/320 | topk: 110 | alpha: 0.380 | beta: 0.060 | MAP: 0.0587 |
| iter:   148/320 | topk: 110 | alpha: 0.380 | beta: 0.090 | MAP: 0.0585 |
| iter:   149/320 | topk: 110 | alpha: 0.380 | beta: 0.120 | MAP: 0.0582 |
| iter:   150/320 | topk: 110 | alpha: 0.410 | beta: 0.000 | MAP: 0.0586 |
| iter:   151/320 | topk: 110 | alpha: 0.410 | beta: 0.030 | MAP: 0.0584 |
| iter:   152/320 | topk: 110 | alpha: 0.410 | beta: 0.060 | MAP: 0.0584 |
| iter:   153/320 | topk: 110 | alpha: 0.410 | beta: 0.090 | MAP: 0.0580 |
| iter:   154/320 | topk: 110 | alpha: 0.410 | beta: 0.120 | MAP: 0.0579 |
| iter:   155/320 | topk: 110 | alpha: 0.440 | beta: 0.000 | MAP: 0.0580 |
| iter:   156/320 | topk: 110 | alpha: 0.440 | beta: 0.030 | MAP: 0.0582 |
| iter:   157/320 | topk: 110 | alpha: 0.440 | beta: 0.060 | MAP: 0.0581 |
| iter:   158/320 | topk: 110 | alpha: 0.440 | beta: 0.090 | MAP: 0.0576 |
