20-12-2020-09:20:18
HMR(ItemKNNCB,RP3beta,UserKNNCF,UserKNNCB,IALS)
|iter:    90/2500 | vec: [0.27646369 0.06574765 0.15218013 0.20881117 0.29679736] | norm: none | MAP: 0.0766 |
|iter:    91/2500 | vec: [0.07387826 0.0410951  0.63837299 0.0226718  0.22398186] | norm: none | MAP: 0.0716 |
|iter:    92/2500 | vec: [0.00999681 0.0634678  0.05721452 0.49917111 0.37014976] | norm: none | MAP: 0.0642 |
|iter:    93/2500 | vec: [0.11771599 0.37012485 0.28626943 0.04009941 0.18579032] | norm: none | MAP: 0.0639 |
|iter:    94/2500 | vec: [0.61847813 0.06137418 0.12213094 0.1962225  0.00179425] | norm: none | MAP: 0.0596 |
|iter:    95/2500 | vec: [0.28210444 0.09550605 0.1934055  0.14185356 0.28713046] | norm: none | MAP: 0.0772 |
|iter:    96/2500 | vec: [0.47309878 0.22381231 0.05807081 0.24268578 0.00233232] | norm: none | MAP: 0.0757 |
|iter:    97/2500 | vec: [0.01485551 0.32321636 0.13274145 0.28393855 0.24524814] | norm: none | MAP: 0.0621 |
|iter:    98/2500 | vec: [0.09164807 0.15870489 0.35167176 0.36211391 0.03586137] | norm: none | MAP: 0.0667 |
|iter:    99/2500 | vec: [0.51231045 0.13649665 0.05008714 0.11314782 0.18795794] | norm: none | MAP: 0.0743 |
|iter:   100/2500 | vec: [0.28347135 0.30135619 0.10580372 0.2122473  0.09712144] | norm: none | MAP: 0.0698 |
|iter:   101/2500 | vec: [0.02265049 0.12973728 0.27233462 0.31846167 0.25681593] | norm: none | MAP: 0.0641 |
|iter:   102/2500 | vec: [3.21664079e-04 1.75064831e-01 5.97370274e-01 3.65668579e-02
 1.90676373e-01] | norm: none | MAP: 0.0610 |
|iter:   103/2500 | vec: [0.03429746 0.22649046 0.42754502 0.03635114 0.27531592] | norm: none | MAP: 0.0631 |
|iter:   104/2500 | vec: [0.08540032 0.51060082 0.00775467 0.33799949 0.05824471] | norm: none | MAP: 0.0630 |
|iter:   105/2500 | vec: [0.15556559 0.0584102  0.56062089 0.07639038 0.14901294] | norm: none | MAP: 0.0766 |
|iter:   106/2500 | vec: [0.13967977 0.09555751 0.0778102  0.42258879 0.26436373] | norm: none | MAP: 0.0720 |
|iter:   107/2500 | vec: [0.56490726 0.06487883 0.29928456 0.0315629  0.03936646] | norm: none | MAP: 0.0603 |
|iter:   108/2500 | vec: [0.15521376 0.24619175 0.34606932 0.23052104 0.02200413] | norm: none | MAP: 0.0672 |
|iter:   109/2500 | vec: [0.0602388  0.17052984 0.38289828 0.3001894  0.08614368] | norm: none | MAP: 0.0652 |
|iter:   110/2500 | vec: [5.04773321e-01 5.33089089e-02 1.76667625e-01 2.64940786e-01
 3.09360397e-04] | norm: none | MAP: 0.0627 |
|iter:   111/2500 | vec: [0.0500646  0.22634149 0.14243856 0.11222374 0.46893161] | norm: none | MAP: 0.0641 |
|iter:   112/2500 | vec: [0.27396276 0.17813968 0.32278502 0.10280064 0.1223119 ] | norm: none | MAP: 0.0735 |
|iter:   113/2500 | vec: [0.04140158 0.07094577 0.193535   0.5079849  0.18613276] | norm: none | MAP: 0.0664 |
|iter:   114/2500 | vec: [0.27138419 0.34937156 0.18656517 0.19081447 0.00186461] | norm: none | MAP: 0.0684 |
|iter:   115/2500 | vec: [0.36188039 0.01070619 0.43102507 0.1696109  0.02677744] | norm: none | MAP: 0.0563 |
|iter:   116/2500 | vec: [0.2615414  0.0200969  0.31678203 0.15039664 0.25118303] | norm: none | MAP: 0.0707 |
|iter:   117/2500 | vec: [0.21559744 0.0950332  0.26328226 0.13527189 0.29081522] | norm: none | MAP: 0.0756 |
|iter:   118/2500 | vec: [0.78738489 0.01496429 0.04636369 0.14415742 0.00712971] | norm: none | MAP: 0.0439 |
|iter:   119/2500 | vec: [0.19907344 0.24577675 0.08567489 0.01916073 0.45031419] | norm: none | MAP: 0.0682 |
|iter:   120/2500 | vec: [0.05816457 0.25887546 0.11594502 0.49097225 0.0760427 ] | norm: none | MAP: 0.0639 |
|iter:   121/2500 | vec: [0.14061179 0.06061317 0.53621289 0.05879612 0.20376603] | norm: none | MAP: 0.0754 |
|iter:   122/2500 | vec: [0.08711876 0.22906619 0.19260042 0.29524785 0.19596678] | norm: none | MAP: 0.0655 |
|iter:   123/2500 | vec: [0.36443003 0.35837804 0.10174801 0.07483933 0.10060459] | norm: none | MAP: 0.0705 |
|iter:   124/2500 | vec: [0.36296963 0.15189348 0.32189205 0.13050191 0.03274293] | norm: none | MAP: 0.0758 |
|iter:   125/2500 | vec: [0.00208506 0.12636655 0.59826412 0.26145463 0.01182964] | norm: none | MAP: 0.0621 |
|iter:   126/2500 | vec: [0.18565899 0.05875117 0.12937818 0.46453101 0.16168064] | norm: none | MAP: 0.0757 |
|iter:   127/2500 | vec: [0.24299974 0.11649245 0.17983687 0.16190422 0.29876672] | norm: none | MAP: 0.0755 |
|iter:   128/2500 | vec: [0.01061798 0.65245239 0.01883512 0.00714254 0.31095196] | norm: none | MAP: 0.0600 |
|iter:   129/2500 | vec: [0.12090808 0.00119315 0.07686731 0.43964403 0.36138744] | norm: none | MAP: 0.0729 |
|iter:   130/2500 | vec: [0.16578656 0.27949834 0.10244792 0.40198343 0.05028375] | norm: none | MAP: 0.0672 |
|iter:   131/2500 | vec: [0.17512272 0.45111493 0.2002435  0.06995856 0.10356028] | norm: none | MAP: 0.0646 |
|iter:   132/2500 | vec: [0.4596688  0.17568249 0.09900781 0.22826302 0.03737788] | norm: none | MAP: 0.0763 |
|iter:   133/2500 | vec: [0.27574135 0.09223427 0.14826756 0.08679163 0.39696519] | norm: none | MAP: 0.0776 |
|iter:   134/2500 | vec: [0.05274241 0.55217999 0.29442066 0.05440909 0.04624786] | norm: none | MAP: 0.0619 |
|iter:   135/2500 | vec: [0.05324833 0.10382344 0.51094412 0.27183019 0.06015392] | norm: none | MAP: 0.0665 |
|iter:   136/2500 | vec: [0.14452825 0.00971772 0.33491144 0.28077958 0.23006301] | norm: none | MAP: 0.0748 |
|iter:   137/2500 | vec: [0.25466289 0.02134308 0.20460822 0.25312576 0.26626006] | norm: none | MAP: 0.0717 |
|iter:   138/2500 | vec: [0.50688648 0.08913759 0.06228484 0.128147   0.21354409] | norm: none | MAP: 0.0707 |
|iter:   139/2500 | vec: [0.32544444 0.23194038 0.12435044 0.08421103 0.2340537 ] | norm: none | MAP: 0.0731 |
|iter:   140/2500 | vec: [0.23481451 0.28002746 0.00939783 0.35945102 0.11630919] | norm: none | MAP: 0.0690 |
|iter:   141/2500 | vec: [0.40565716 0.01160568 0.00508431 0.08706486 0.49058798] | norm: none | MAP: 0.0577 |
|iter:   142/2500 | vec: [0.21093293 0.09409092 0.06253107 0.00229982 0.63014526] | norm: none | MAP: 0.0758 |
|iter:   143/2500 | vec: [0.13403272 0.52743851 0.07708979 0.2442354  0.01720358] | norm: none | MAP: 0.0635 |
|iter:   144/2500 | vec: [0.05574663 0.340386   0.13222485 0.08908511 0.3825574 ] | norm: none | MAP: 0.0632 |
|iter:   145/2500 | vec: [0.11911323 0.02084221 0.16831057 0.2464721  0.44526188] | norm: none | MAP: 0.0757 |
|iter:   146/2500 | vec: [0.09757778 0.15574027 0.46598718 0.21281093 0.06788385] | norm: none | MAP: 0.0674 |
|iter:   147/2500 | vec: [0.33111605 0.10408675 0.22461225 0.20272586 0.13745909] | norm: none | MAP: 0.0767 |
|iter:   148/2500 | vec: [0.1047795  0.31237719 0.03616967 0.32693669 0.21973694] | norm: none | MAP: 0.0651 |
|iter:   149/2500 | vec: [0.15603727 0.23363069 0.13425524 0.25393962 0.22213718] | norm: none | MAP: 0.0677 |
|iter:   150/2500 | vec: [0.2307523  0.00929048 0.03912383 0.65499824 0.06583514] | norm: none | MAP: 0.0690 |
|iter:   151/2500 | vec: [0.1428895  0.45686586 0.1866869  0.19869488 0.01486286] | norm: none | MAP: 0.0640 |
|iter:   152/2500 | vec: [0.21364624 0.31686165 0.2182566  0.18008174 0.07115378] | norm: none | MAP: 0.0676 |
|iter:   153/2500 | vec: [0.46143829 0.0491438  0.31368354 0.00791693 0.16781744] | norm: none | MAP: 0.0620 |
|iter:   154/2500 | vec: [0.01444363 0.56452591 0.16072821 0.05574554 0.20455671] | norm: none | MAP: 0.0606 |
|iter:   155/2500 | vec: [0.06174463 0.21226054 0.14677631 0.10232579 0.47689274] | norm: none | MAP: 0.0648 |
|iter:   156/2500 | vec: [0.19254223 0.48891632 0.05311032 0.08069481 0.18473633] | norm: none | MAP: 0.0647 |
|iter:   157/2500 | vec: [0.27307758 0.08886818 0.0279857  0.49403616 0.11603238] | norm: none | MAP: 0.0759 |
|iter:   158/2500 | vec: [3.87855425e-04 3.89617304e-01 1.32753001e-01 4.34948727e-01
 4.22931128e-02] | norm: none | MAP: 0.0613 |
|iter:   159/2500 | vec: [0.04837726 0.39649517 0.15423039 0.08458131 0.31631587] | norm: none | MAP: 0.0624 |
|iter:   160/2500 | vec: [0.17157661 0.03031621 0.04848078 0.32611004 0.42351636] | norm: none | MAP: 0.0764 |
|iter:   161/2500 | vec: [0.14647541 0.09180088 0.29207296 0.13052903 0.33912172] | norm: none | MAP: 0.0731 |
|iter:   162/2500 | vec: [0.25770503 0.05159334 0.44095128 0.16155257 0.08819778] | norm: none | MAP: 0.0744 |
|iter:   163/2500 | vec: [0.14194657 0.16941189 0.42023769 0.02548794 0.2429159 ] | norm: none | MAP: 0.0683 |
|iter:   164/2500 | vec: [0.08092995 0.02809872 0.19188551 0.12078618 0.57829964] | norm: none | MAP: 0.0735 |
|iter:   165/2500 | vec: [0.22406476 0.04721378 0.02414684 0.25184885 0.45272576] | norm: none | MAP: 0.0769 |
|iter:   166/2500 | vec: [0.10719899 0.15538458 0.33342471 0.2141655  0.18982623] | norm: none | MAP: 0.0681 |
|iter:   167/2500 | vec: [0.31323578 0.0251427  0.02651261 0.40494552 0.23016338] | norm: none | MAP: 0.0699 |
|iter:   168/2500 | vec: [0.41332988 0.08198614 0.06079784 0.33732649 0.10655966] | norm: none | MAP: 0.0734 |
|iter:   169/2500 | vec: [0.27046086 0.28587843 0.3269249  0.03121526 0.08552055] | norm: none | MAP: 0.0697 |
|iter:   170/2500 | vec: [0.18844008 0.21892835 0.40302561 0.15984299 0.02976297] | norm: none | MAP: 0.0689 |
|iter:   171/2500 | vec: [0.44017003 0.06639369 0.28640587 0.08499099 0.12203942] | norm: none | MAP: 0.0684 |
|iter:   172/2500 | vec: [0.41001502 0.1620914  0.27643082 0.03308122 0.11838154] | norm: none | MAP: 0.0759 |
|iter:   173/2500 | vec: [0.05874014 0.44320506 0.15940417 0.2041334  0.13451723] | norm: none | MAP: 0.0625 |
|iter:   174/2500 | vec: [0.01493848 0.32886206 0.27804022 0.25814434 0.1200149 ] | norm: none | MAP: 0.0621 |
|iter:   175/2500 | vec: [0.10214621 0.21897623 0.16730368 0.03596713 0.47560674] | norm: none | MAP: 0.0657 |
|iter:   176/2500 | vec: [0.18227957 0.02741805 0.15957465 0.50293781 0.12778992] | norm: none | MAP: 0.0742 |
|iter:   177/2500 | vec: [0.00557962 0.4148787  0.12728949 0.07958621 0.37266598] | norm: none | MAP: 0.0611 |
|iter:   178/2500 | vec: [0.22875428 0.09333412 0.00139862 0.61429177 0.06222121] | norm: none | MAP: 0.0746 |
|iter:   179/2500 | vec: [0.4003672  0.02129614 0.25199045 0.00595576 0.32039044] | norm: none | MAP: 0.0583 |
|iter:   180/2500 | vec: [0.0019284  0.31008284 0.12112419 0.21498964 0.35187493] | norm: none | MAP: 0.0619 |
|iter:   181/2500 | vec: [0.12254918 0.11349148 0.37398963 0.16685617 0.22311354] | norm: none | MAP: 0.0703 |
|iter:   182/2500 | vec: [0.10256657 0.74919461 0.12010582 0.02208116 0.00605183] | norm: none | MAP: 0.0621 |
|iter:   183/2500 | vec: [0.35439646 0.01859325 0.16998363 0.13293227 0.32409438] | norm: none | MAP: 0.0634 |
|iter:   184/2500 | vec: [0.27197806 0.10659716 0.11596662 0.07366838 0.43178979] | norm: none | MAP: 0.0763 |
|iter:   185/2500 | vec: [0.03144406 0.23243719 0.11169644 0.06534745 0.55907486] | norm: none | MAP: 0.0633 |
|iter:   186/2500 | vec: [0.29852852 0.25173177 0.09353855 0.11966689 0.23653427] | norm: none | MAP: 0.0713 |
|iter:   187/2500 | vec: [0.32635167 0.24209746 0.08675216 0.09170416 0.25309455] | norm: none | MAP: 0.0727 |
|iter:   188/2500 | vec: [0.19846787 0.06048991 0.10571528 0.57905914 0.05626779] | norm: none | MAP: 0.0748 |
|iter:   189/2500 | vec: [0.42244694 0.23613627 0.13153839 0.19110946 0.01876894] | norm: none | MAP: 0.0746 |
|iter:   190/2500 | vec: [0.23001432 0.46616084 0.01854389 0.27163673 0.01364422] | norm: none | MAP: 0.0657 |
|iter:   191/2500 | vec: [0.04797172 0.39356162 0.30585636 0.08395704 0.16865325] | norm: none | MAP: 0.0625 |
|iter:   192/2500 | vec: [0.01755874 0.17087677 0.16588446 0.47612986 0.16955017] | norm: none | MAP: 0.0635 |
|iter:   193/2500 | vec: [0.42508641 0.27607482 0.14850535 0.13262427 0.01770915] | norm: none | MAP: 0.0734 |
|iter:   194/2500 | vec: [0.05614287 0.27426085 0.14128028 0.03720119 0.4911148 ] | norm: none | MAP: 0.0635 |
|iter:   195/2500 | vec: [0.48588989 0.07730914 0.11660061 0.06372033 0.25648003] | norm: none | MAP: 0.0696 |
|iter:   196/2500 | vec: [0.32182561 0.27916842 0.08911592 0.05406855 0.2558215 ] | norm: none | MAP: 0.0711 |
|iter:   197/2500 | vec: [0.14484227 0.10024328 0.10589073 0.37694241 0.27208132] | norm: none | MAP: 0.0722 |
|iter:   198/2500 | vec: [0.29935713 0.10974813 0.18383144 0.28202164 0.12504166] | norm: none | MAP: 0.0762 |
|iter:   199/2500 | vec: [0.00944392 0.21417255 0.39816402 0.07263637 0.30558314] | norm: none | MAP: 0.0619 |
|iter:   200/2500 | vec: [0.41298267 0.33844221 0.01081825 0.00479603 0.23296084] | norm: none | MAP: 0.0717 |
