09-01-2021-00:22:31
HMR(ItemKNNCF,RP3beta,UserKNNCF,IALS)
|iter:    54/2000 | vec: [0.14377978 0.62193898 0.20621027 0.02807096] | norm: none | MAP: 0.0742 |
|iter:    55/2000 | vec: [0.01937651 0.40465356 0.36590285 0.21006708] | norm: none | MAP: 0.0727 |
|iter:    56/2000 | vec: [0.41214194 0.04445493 0.48183013 0.061573  ] | norm: none | MAP: 0.0708 |
|iter:    57/2000 | vec: [6.56997092e-02 2.04267478e-01 1.49662783e-04 7.29883150e-01] | norm: none | MAP: 0.0750 |
|iter:    58/2000 | vec: [0.04545799 0.34777234 0.22624032 0.38052934] | norm: none | MAP: 0.0738 |
|iter:    59/2000 | vec: [0.17167071 0.6100833  0.08949662 0.12874937] | norm: none | MAP: 0.0743 |
|iter:    60/2000 | vec: [0.11068025 0.36385266 0.09577523 0.42969186] | norm: none | MAP: 0.0747 |
|iter:    61/2000 | vec: [0.0839984  0.25118956 0.53888665 0.12592538] | norm: none | MAP: 0.0726 |
|iter:    62/2000 | vec: [0.08157796 0.66223749 0.16747763 0.08870692] | norm: none | MAP: 0.0739 |
|iter:    63/2000 | vec: [0.31561897 0.1444397  0.16936314 0.37057819] | norm: none | MAP: 0.0740 |
|iter:    64/2000 | vec: [0.52883945 0.13015344 0.00412203 0.33688507] | norm: none | MAP: 0.0706 |
|iter:    65/2000 | vec: [0.30095403 0.40106408 0.05178325 0.24619864] | norm: none | MAP: 0.0744 |
|iter:    66/2000 | vec: [0.69936484 0.07487523 0.08674185 0.13901807] | norm: none | MAP: 0.0672 |
|iter:    67/2000 | vec: [0.0992279  0.54034036 0.10397437 0.25645736] | norm: none | MAP: 0.0743 |
|iter:    68/2000 | vec: [0.42648466 0.25569045 0.14564606 0.17217882] | norm: none | MAP: 0.0741 |
|iter:    69/2000 | vec: [0.72012694 0.09374297 0.07120028 0.11492981] | norm: none | MAP: 0.0677 |
|iter:    70/2000 | vec: [0.50187807 0.21079349 0.1050204  0.18230805] | norm: none | MAP: 0.0729 |
|iter:    71/2000 | vec: [0.02920075 0.19671364 0.57169158 0.20239403] | norm: none | MAP: 0.0719 |
|iter:    72/2000 | vec: [0.57787358 0.02720434 0.31876421 0.07615787] | norm: none | MAP: 0.0683 |
|iter:    73/2000 | vec: [0.0096511  0.39303619 0.24719415 0.35011856] | norm: none | MAP: 0.0731 |
|iter:    74/2000 | vec: [0.03950766 0.1259361  0.67717671 0.15737952] | norm: none | MAP: 0.0709 |
