| iter:    69/1160 | topk:  40 | alpha: 0.700 | norm: l2 | MAP: 0.0437 |
| iter:    70/1160 | topk:  40 | alpha: 0.700 | norm: l1 | MAP: 0.0305 |
| iter:    71/1160 | topk:  40 | alpha: 0.700 | norm: max | MAP: 0.0274 |
| iter:    72/1160 | topk:  40 | alpha: 0.800 | norm: non | MAP: 0.0544 |
| iter:    73/1160 | topk:  40 | alpha: 0.800 | norm: l2 | MAP: 0.0431 |
| iter:    74/1160 | topk:  40 | alpha: 0.800 | norm: l1 | MAP: 0.0300 |
| iter:    75/1160 | topk:  40 | alpha: 0.800 | norm: max | MAP: 0.0244 |
| iter:    76/1160 | topk:  40 | alpha: 0.900 | norm: non | MAP: 0.0536 |
| iter:    77/1160 | topk:  40 | alpha: 0.900 | norm: l2 | MAP: 0.0400 |
| iter:    78/1160 | topk:  40 | alpha: 0.900 | norm: l1 | MAP: 0.0291 |
| iter:    79/1160 | topk:  40 | alpha: 0.900 | norm: max | MAP: 0.0221 |
| iter:    80/1160 | topk:  60 | alpha: 0.000 | norm: non | MAP: 0.0504 |
| iter:    81/1160 | topk:  60 | alpha: 0.000 | norm: l2 | MAP: 0.0459 |
| iter:    82/1160 | topk:  60 | alpha: 0.000 | norm: l1 | MAP: 0.0350 |
| iter:    83/1160 | topk:  60 | alpha: 0.000 | norm: max | MAP: 0.0419 |
| iter:    84/1160 | topk:  60 | alpha: 0.100 | norm: non | MAP: 0.0517 |
| iter:    85/1160 | topk:  60 | alpha: 0.100 | norm: l2 | MAP: 0.0463 |
| iter:    86/1160 | topk:  60 | alpha: 0.100 | norm: l1 | MAP: 0.0353 |
| iter:    87/1160 | topk:  60 | alpha: 0.100 | norm: max | MAP: 0.0426 |
| iter:    88/1160 | topk:  60 | alpha: 0.200 | norm: non | MAP: 0.0531 |
| iter:    89/1160 | topk:  60 | alpha: 0.200 | norm: l2 | MAP: 0.0467 |
| iter:    90/1160 | topk:  60 | alpha: 0.200 | norm: l1 | MAP: 0.0355 |
| iter:    91/1160 | topk:  60 | alpha: 0.200 | norm: max | MAP: 0.0425 |
| iter:    92/1160 | topk:  60 | alpha: 0.300 | norm: non | MAP: 0.0547 |
| iter:    93/1160 | topk:  60 | alpha: 0.300 | norm: l2 | MAP: 0.0465 |
| iter:    94/1160 | topk:  60 | alpha: 0.300 | norm: l1 | MAP: 0.0356 |
| iter:    95/1160 | topk:  60 | alpha: 0.300 | norm: max | MAP: 0.0426 |
| iter:    96/1160 | topk:  60 | alpha: 0.400 | norm: non | MAP: 0.0555 |
| iter:    97/1160 | topk:  60 | alpha: 0.400 | norm: l2 | MAP: 0.0471 |
| iter:    98/1160 | topk:  60 | alpha: 0.400 | norm: l1 | MAP: 0.0358 |
| iter:    99/1160 | topk:  60 | alpha: 0.400 | norm: max | MAP: 0.0421 |
| iter:   100/1160 | topk:  60 | alpha: 0.500 | norm: non | MAP: 0.0563 |
| iter:   101/1160 | topk:  60 | alpha: 0.500 | norm: l2 | MAP: 0.0475 |
| iter:   102/1160 | topk:  60 | alpha: 0.500 | norm: l1 | MAP: 0.0349 |
| iter:   103/1160 | topk:  60 | alpha: 0.500 | norm: max | MAP: 0.0408 |
| iter:   104/1160 | topk:  60 | alpha: 0.600 | norm: non | MAP: 0.0560 |
| iter:   105/1160 | topk:  60 | alpha: 0.600 | norm: l2 | MAP: 0.0474 |
| iter:   106/1160 | topk:  60 | alpha: 0.600 | norm: l1 | MAP: 0.0347 |
| iter:   107/1160 | topk:  60 | alpha: 0.600 | norm: max | MAP: 0.0379 |
| iter:   108/1160 | topk:  60 | alpha: 0.700 | norm: non | MAP: 0.0553 |
| iter:   109/1160 | topk:  60 | alpha: 0.700 | norm: l2 | MAP: 0.0478 |
| iter:   110/1160 | topk:  60 | alpha: 0.700 | norm: l1 | MAP: 0.0339 |
| iter:   111/1160 | topk:  60 | alpha: 0.700 | norm: max | MAP: 0.0337 |
| iter:   112/1160 | topk:  60 | alpha: 0.800 | norm: non | MAP: 0.0550 |
| iter:   113/1160 | topk:  60 | alpha: 0.800 | norm: l2 | MAP: 0.0467 |
| iter:   114/1160 | topk:  60 | alpha: 0.800 | norm: l1 | MAP: 0.0330 |
| iter:   115/1160 | topk:  60 | alpha: 0.800 | norm: max | MAP: 0.0288 |
| iter:   116/1160 | topk:  60 | alpha: 0.900 | norm: non | MAP: 0.0538 |
| iter:   117/1160 | topk:  60 | alpha: 0.900 | norm: l2 | MAP: 0.0438 |
| iter:   118/1160 | topk:  60 | alpha: 0.900 | norm: l1 | MAP: 0.0320 |
| iter:   119/1160 | topk:  60 | alpha: 0.900 | norm: max | MAP: 0.0255 |
| iter:   120/1160 | topk:  80 | alpha: 0.000 | norm: non | MAP: 0.0510 |
| iter:   121/1160 | topk:  80 | alpha: 0.000 | norm: l2 | MAP: 0.0475 |
| iter:   122/1160 | topk:  80 | alpha: 0.000 | norm: l1 | MAP: 0.0377 |
| iter:   123/1160 | topk:  80 | alpha: 0.000 | norm: max | MAP: 0.0460 |
| iter:   124/1160 | topk:  80 | alpha: 0.100 | norm: non | MAP: 0.0524 |
| iter:   125/1160 | topk:  80 | alpha: 0.100 | norm: l2 | MAP: 0.0482 |
| iter:   126/1160 | topk:  80 | alpha: 0.100 | norm: l1 | MAP: 0.0377 |
| iter:   127/1160 | topk:  80 | alpha: 0.100 | norm: max | MAP: 0.0462 |
| iter:   128/1160 | topk:  80 | alpha: 0.200 | norm: non | MAP: 0.0537 |
| iter:   129/1160 | topk:  80 | alpha: 0.200 | norm: l2 | MAP: 0.0484 |
| iter:   130/1160 | topk:  80 | alpha: 0.200 | norm: l1 | MAP: 0.0381 |
| iter:   131/1160 | topk:  80 | alpha: 0.200 | norm: max | MAP: 0.0467 |
| iter:   132/1160 | topk:  80 | alpha: 0.300 | norm: non | MAP: 0.0552 |
| iter:   133/1160 | topk:  80 | alpha: 0.300 | norm: l2 | MAP: 0.0482 |
| iter:   134/1160 | topk:  80 | alpha: 0.300 | norm: l1 | MAP: 0.0384 |
| iter:   135/1160 | topk:  80 | alpha: 0.300 | norm: max | MAP: 0.0467 |
| iter:   136/1160 | topk:  80 | alpha: 0.400 | norm: non | MAP: 0.0560 |
| iter:   137/1160 | topk:  80 | alpha: 0.400 | norm: l2 | MAP: 0.0486 |
| iter:   138/1160 | topk:  80 | alpha: 0.400 | norm: l1 | MAP: 0.0382 |
| iter:   139/1160 | topk:  80 | alpha: 0.400 | norm: max | MAP: 0.0459 |
| iter:   140/1160 | topk:  80 | alpha: 0.500 | norm: non | MAP: 0.0569 |
| iter:   141/1160 | topk:  80 | alpha: 0.500 | norm: l2 | MAP: 0.0491 |
| iter:   142/1160 | topk:  80 | alpha: 0.500 | norm: l1 | MAP: 0.0373 |
| iter:   143/1160 | topk:  80 | alpha: 0.500 | norm: max | MAP: 0.0442 |
| iter:   144/1160 | topk:  80 | alpha: 0.600 | norm: non | MAP: 0.0566 |
| iter:   145/1160 | topk:  80 | alpha: 0.600 | norm: l2 | MAP: 0.0491 |
| iter:   146/1160 | topk:  80 | alpha: 0.600 | norm: l1 | MAP: 0.0368 |
| iter:   147/1160 | topk:  80 | alpha: 0.600 | norm: max | MAP: 0.0416 |
| iter:   148/1160 | topk:  80 | alpha: 0.700 | norm: non | MAP: 0.0559 |
| iter:   149/1160 | topk:  80 | alpha: 0.700 | norm: l2 | MAP: 0.0493 |
| iter:   150/1160 | topk:  80 | alpha: 0.700 | norm: l1 | MAP: 0.0362 |
| iter:   151/1160 | topk:  80 | alpha: 0.700 | norm: max | MAP: 0.0376 |
| iter:   152/1160 | topk:  80 | alpha: 0.800 | norm: non | MAP: 0.0553 |
| iter:   153/1160 | topk:  80 | alpha: 0.800 | norm: l2 | MAP: 0.0488 |
| iter:   154/1160 | topk:  80 | alpha: 0.800 | norm: l1 | MAP: 0.0357 |
| iter:   155/1160 | topk:  80 | alpha: 0.800 | norm: max | MAP: 0.0322 |
| iter:   156/1160 | topk:  80 | alpha: 0.900 | norm: non | MAP: 0.0544 |
| iter:   157/1160 | topk:  80 | alpha: 0.900 | norm: l2 | MAP: 0.0462 |
| iter:   158/1160 | topk:  80 | alpha: 0.900 | norm: l1 | MAP: 0.0344 |
| iter:   159/1160 | topk:  80 | alpha: 0.900 | norm: max | MAP: 0.0284 |
| iter:   160/1160 | topk: 100 | alpha: 0.000 | norm: non | MAP: 0.0512 |
| iter:   161/1160 | topk: 100 | alpha: 0.000 | norm: l2 | MAP: 0.0494 |
| iter:   162/1160 | topk: 100 | alpha: 0.000 | norm: l1 | MAP: 0.0389 |
| iter:   163/1160 | topk: 100 | alpha: 0.000 | norm: max | MAP: 0.0479 |
| iter:   164/1160 | topk: 100 | alpha: 0.100 | norm: non | MAP: 0.0526 |
| iter:   165/1160 | topk: 100 | alpha: 0.100 | norm: l2 | MAP: 0.0499 |
| iter:   166/1160 | topk: 100 | alpha: 0.100 | norm: l1 | MAP: 0.0398 |
| iter:   167/1160 | topk: 100 | alpha: 0.100 | norm: max | MAP: 0.0483 |
| iter:   168/1160 | topk: 100 | alpha: 0.200 | norm: non | MAP: 0.0538 |
| iter:   169/1160 | topk: 100 | alpha: 0.200 | norm: l2 | MAP: 0.0503 |
| iter:   170/1160 | topk: 100 | alpha: 0.200 | norm: l1 | MAP: 0.0398 |
| iter:   171/1160 | topk: 100 | alpha: 0.200 | norm: max | MAP: 0.0483 |
| iter:   172/1160 | topk: 100 | alpha: 0.300 | norm: non | MAP: 0.0557 |
| iter:   173/1160 | topk: 100 | alpha: 0.300 | norm: l2 | MAP: 0.0505 |
| iter:   174/1160 | topk: 100 | alpha: 0.300 | norm: l1 | MAP: 0.0402 |
| iter:   175/1160 | topk: 100 | alpha: 0.300 | norm: max | MAP: 0.0484 |
| iter:   176/1160 | topk: 100 | alpha: 0.400 | norm: non | MAP: 0.0564 |
| iter:   177/1160 | topk: 100 | alpha: 0.400 | norm: l2 | MAP: 0.0511 |
| iter:   178/1160 | topk: 100 | alpha: 0.400 | norm: l1 | MAP: 0.0395 |
| iter:   179/1160 | topk: 100 | alpha: 0.400 | norm: max | MAP: 0.0481 |
| iter:   180/1160 | topk: 100 | alpha: 0.500 | norm: non | MAP: 0.0577 |
| iter:   181/1160 | topk: 100 | alpha: 0.500 | norm: l2 | MAP: 0.0515 |
| iter:   182/1160 | topk: 100 | alpha: 0.500 | norm: l1 | MAP: 0.0386 |
| iter:   183/1160 | topk: 100 | alpha: 0.500 | norm: max | MAP: 0.0468 |
| iter:   184/1160 | topk: 100 | alpha: 0.600 | norm: non | MAP: 0.0570 |
| iter:   185/1160 | topk: 100 | alpha: 0.600 | norm: l2 | MAP: 0.0514 |
| iter:   186/1160 | topk: 100 | alpha: 0.600 | norm: l1 | MAP: 0.0388 |
| iter:   187/1160 | topk: 100 | alpha: 0.600 | norm: max | MAP: 0.0444 |
| iter:   188/1160 | topk: 100 | alpha: 0.700 | norm: non | MAP: 0.0563 |
| iter:   189/1160 | topk: 100 | alpha: 0.700 | norm: l2 | MAP: 0.0510 |
| iter:   190/1160 | topk: 100 | alpha: 0.700 | norm: l1 | MAP: 0.0386 |
| iter:   191/1160 | topk: 100 | alpha: 0.700 | norm: max | MAP: 0.0407 |
| iter:   192/1160 | topk: 100 | alpha: 0.800 | norm: non | MAP: 0.0556 |
| iter:   193/1160 | topk: 100 | alpha: 0.800 | norm: l2 | MAP: 0.0497 |
| iter:   194/1160 | topk: 100 | alpha: 0.800 | norm: l1 | MAP: 0.0382 |
| iter:   195/1160 | topk: 100 | alpha: 0.800 | norm: max | MAP: 0.0349 |
| iter:   196/1160 | topk: 100 | alpha: 0.900 | norm: non | MAP: 0.0548 |
| iter:   197/1160 | topk: 100 | alpha: 0.900 | norm: l2 | MAP: 0.0472 |
| iter:   198/1160 | topk: 100 | alpha: 0.900 | norm: l1 | MAP: 0.0364 |
| iter:   199/1160 | topk: 100 | alpha: 0.900 | norm: max | MAP: 0.0301 |
| iter:   200/1160 | topk: 120 | alpha: 0.000 | norm: non | MAP: 0.0513 |
| iter:   201/1160 | topk: 120 | alpha: 0.000 | norm: l2 | MAP: 0.0507 |
| iter:   202/1160 | topk: 120 | alpha: 0.000 | norm: l1 | MAP: 0.0419 |
| iter:   203/1160 | topk: 120 | alpha: 0.000 | norm: max | MAP: 0.0496 |
