10-01-2021-23:09:44
HMR(ItemKNNCB,RP3beta)
|iter:    70/2000 | vec: [0.50346971 0.49653029] | norm: none | MAP: 0.0685 |
|iter:    71/2000 | vec: [0.26553025 0.73446975] | norm: none | MAP: 0.0631 |
|iter:    72/2000 | vec: [0.01806846 0.98193154] | norm: none | MAP: 0.0591 |
|iter:    73/2000 | vec: [0.70139 0.29861] | norm: none | MAP: 0.0742 |
|iter:    74/2000 | vec: [0.61860621 0.38139379] | norm: none | MAP: 0.0730 |
|iter:    75/2000 | vec: [0.9742657 0.0257343] | norm: none | MAP: 0.0412 |
|iter:    76/2000 | vec: [0.57598463 0.42401537] | norm: none | MAP: 0.0712 |
|iter:    77/2000 | vec: [0.79231743 0.20768257] | norm: none | MAP: 0.0717 |
|iter:    78/2000 | vec: [0.03868977 0.96131023] | norm: none | MAP: 0.0593 |
|iter:    79/2000 | vec: [0.16913059 0.83086941] | norm: none | MAP: 0.0614 |
|iter:    80/2000 | vec: [0.53134899 0.46865101] | norm: none | MAP: 0.0694 |
|iter:    81/2000 | vec: [0.57226524 0.42773476] | norm: none | MAP: 0.0711 |
|iter:    82/2000 | vec: [0.67622031 0.32377969] | norm: none | MAP: 0.0742 |
|iter:    83/2000 | vec: [0.74324933 0.25675067] | norm: none | MAP: 0.0736 |
|iter:    84/2000 | vec: [0.4015324 0.5984676] | norm: none | MAP: 0.0664 |
|iter:    85/2000 | vec: [0.2187245 0.7812755] | norm: none | MAP: 0.0623 |
|iter:    86/2000 | vec: [0.30777476 0.69222524] | norm: none | MAP: 0.0641 |
|iter:    87/2000 | vec: [0.58968009 0.41031991] | norm: none | MAP: 0.0719 |
|iter:    88/2000 | vec: [0.41159013 0.58840987] | norm: none | MAP: 0.0667 |
|iter:    89/2000 | vec: [0.71706298 0.28293702] | norm: none | MAP: 0.0742 |
|iter:    90/2000 | vec: [0.2864819 0.7135181] | norm: none | MAP: 0.0637 |
