17-12-2020-08:45:23
HMR(ItemKNNCF,ItemKNNCB,RP3beta,UserKNNCB,PureSVD)
|iter:    49/2500 | vec: [0.02366077 0.59555557 0.01534312 0.07634957 0.28909098] | norm: none | MAP: 0.0545 |
|iter:    50/2500 | vec: [0.23348194 0.00470543 0.5840286  0.12894575 0.04883828] | norm: none | MAP: 0.0604 |
|iter:    51/2500 | vec: [0.12371221 0.2712685  0.0115743  0.31010934 0.28333565] | norm: none | MAP: 0.0743 |
|iter:    52/2500 | vec: [0.13471841 0.28787506 0.11152393 0.01118019 0.45470241] | norm: none | MAP: 0.0724 |
|iter:    53/2500 | vec: [0.13585169 0.42535424 0.05115811 0.13388295 0.25375301] | norm: none | MAP: 0.0736 |
|iter:    54/2500 | vec: [0.0294685  0.18278015 0.4823092  0.11704402 0.18839813] | norm: none | MAP: 0.0648 |
|iter:    55/2500 | vec: [0.11891339 0.07271917 0.28909416 0.27134767 0.2479256 ] | norm: none | MAP: 0.0638 |
|iter:    56/2500 | vec: [0.18224141 0.06917109 0.3340768  0.18332018 0.23119051] | norm: none | MAP: 0.0630 |
|iter:    57/2500 | vec: [0.13113732 0.35030825 0.20571328 0.01637864 0.2964625 ] | norm: none | MAP: 0.0722 |
|iter:    58/2500 | vec: [0.26334973 0.08965812 0.30505375 0.15011186 0.19182655] | norm: none | MAP: 0.0626 |
|iter:    59/2500 | vec: [0.40515546 0.07846515 0.21465167 0.27332737 0.02840036] | norm: none | MAP: 0.0610 |
|iter:    60/2500 | vec: [0.17591996 0.05411676 0.08860268 0.40447048 0.27689012] | norm: none | MAP: 0.0638 |
|iter:    61/2500 | vec: [0.09395389 0.15060335 0.24944838 0.03748152 0.46851286] | norm: none | MAP: 0.0658 |
|iter:    62/2500 | vec: [0.15690302 0.04928475 0.49264003 0.2901526  0.0110196 ] | norm: none | MAP: 0.0616 |
|iter:    63/2500 | vec: [0.22584316 0.39440291 0.00860832 0.2925627  0.07858291] | norm: none | MAP: 0.0696 |
|iter:    64/2500 | vec: [0.12520796 0.01641279 0.16648025 0.61223255 0.07966645] | norm: none | MAP: 0.0624 |
|iter:    65/2500 | vec: [0.00824001 0.23665561 0.37013128 0.08478367 0.30018943] | norm: none | MAP: 0.0677 |
|iter:    66/2500 | vec: [0.3172197  0.17580828 0.23593709 0.02342969 0.24760525] | norm: none | MAP: 0.0641 |
|iter:    67/2500 | vec: [0.12741849 0.08012484 0.19571913 0.46209683 0.13464071] | norm: none | MAP: 0.0646 |
|iter:    68/2500 | vec: [0.0160243  0.06703193 0.06648632 0.23636687 0.61409058] | norm: none | MAP: 0.0650 |
|iter:    69/2500 | vec: [0.315837   0.11565038 0.48016348 0.06319955 0.0251496 ] | norm: none | MAP: 0.0624 |
|iter:    70/2500 | vec: [0.36766275 0.16547004 0.21045331 0.02699099 0.22942291] | norm: none | MAP: 0.0638 |
|iter:    71/2500 | vec: [0.14572696 0.63282239 0.00339442 0.11373483 0.10432141] | norm: none | MAP: 0.0563 |
|iter:    72/2500 | vec: [0.1910005  0.37345382 0.13416298 0.16545833 0.13592437] | norm: none | MAP: 0.0730 |
|iter:    73/2500 | vec: [0.23729433 0.35396652 0.05807619 0.19212377 0.15853919] | norm: none | MAP: 0.0728 |
