name: ItemKNNCF, r_hat => type <class 'numpy.ndarray'>  shape (7947, 25975) 
training SLIM_MSE...
tune CBCFP3A_SM
| iter:    80/722 | topk:  60 | alpha: 0.250 | MAP: 0.0609 |
| iter:    81/722 | topk:  60 | alpha: 0.300 | MAP: 0.0618 |
| iter:    82/722 | topk:  60 | alpha: 0.350 | MAP: 0.0626 |
| iter:    83/722 | topk:  60 | alpha: 0.400 | MAP: 0.0632 |
| iter:    84/722 | topk:  60 | alpha: 0.450 | MAP: 0.0638 |
| iter:    85/722 | topk:  60 | alpha: 0.500 | MAP: 0.0640 |
| iter:    86/722 | topk:  60 | alpha: 0.550 | MAP: 0.0647 |
| iter:    87/722 | topk:  60 | alpha: 0.600 | MAP: 0.0651 |
| iter:    88/722 | topk:  60 | alpha: 0.650 | MAP: 0.0658 |
| iter:    89/722 | topk:  60 | alpha: 0.700 | MAP: 0.0664 |
| iter:    90/722 | topk:  60 | alpha: 0.750 | MAP: 0.0666 |
| iter:    91/722 | topk:  60 | alpha: 0.800 | MAP: 0.0669 |
| iter:    92/722 | topk:  60 | alpha: 0.850 | MAP: 0.0670 |
| iter:    93/722 | topk:  60 | alpha: 0.900 | MAP: 0.0672 |
| iter:    94/722 | topk:  60 | alpha: 0.950 | MAP: 0.0674 |
| iter:    95/722 | topk:  70 | alpha: 0.050 | MAP: 0.0566 |
| iter:    96/722 | topk:  70 | alpha: 0.100 | MAP: 0.0581 |
| iter:    97/722 | topk:  70 | alpha: 0.150 | MAP: 0.0588 |
| iter:    98/722 | topk:  70 | alpha: 0.200 | MAP: 0.0599 |
| iter:    99/722 | topk:  70 | alpha: 0.250 | MAP: 0.0607 |
| iter:   100/722 | topk:  70 | alpha: 0.300 | MAP: 0.0620 |
| iter:   101/722 | topk:  70 | alpha: 0.350 | MAP: 0.0631 |
| iter:   102/722 | topk:  70 | alpha: 0.400 | MAP: 0.0637 |
| iter:   103/722 | topk:  70 | alpha: 0.450 | MAP: 0.0644 |
| iter:   104/722 | topk:  70 | alpha: 0.500 | MAP: 0.0646 |
| iter:   105/722 | topk:  70 | alpha: 0.550 | MAP: 0.0652 |
| iter:   106/722 | topk:  70 | alpha: 0.600 | MAP: 0.0653 |
| iter:   107/722 | topk:  70 | alpha: 0.650 | MAP: 0.0655 |
| iter:   108/722 | topk:  70 | alpha: 0.700 | MAP: 0.0660 |
| iter:   109/722 | topk:  70 | alpha: 0.750 | MAP: 0.0665 |
| iter:   110/722 | topk:  70 | alpha: 0.800 | MAP: 0.0666 |
| iter:   111/722 | topk:  70 | alpha: 0.850 | MAP: 0.0669 |
| iter:   112/722 | topk:  70 | alpha: 0.900 | MAP: 0.0671 |
| iter:   113/722 | topk:  70 | alpha: 0.950 | MAP: 0.0674 |
| iter:   114/722 | topk:  80 | alpha: 0.050 | MAP: 0.0568 |
| iter:   115/722 | topk:  80 | alpha: 0.100 | MAP: 0.0584 |
| iter:   116/722 | topk:  80 | alpha: 0.150 | MAP: 0.0591 |
| iter:   117/722 | topk:  80 | alpha: 0.200 | MAP: 0.0604 |
| iter:   118/722 | topk:  80 | alpha: 0.250 | MAP: 0.0614 |
| iter:   119/722 | topk:  80 | alpha: 0.300 | MAP: 0.0624 |
| iter:   120/722 | topk:  80 | alpha: 0.350 | MAP: 0.0629 |
| iter:   121/722 | topk:  80 | alpha: 0.400 | MAP: 0.0640 |
| iter:   122/722 | topk:  80 | alpha: 0.450 | MAP: 0.0645 |
| iter:   123/722 | topk:  80 | alpha: 0.500 | MAP: 0.0646 |
| iter:   124/722 | topk:  80 | alpha: 0.550 | MAP: 0.0654 |
| iter:   125/722 | topk:  80 | alpha: 0.600 | MAP: 0.0660 |
| iter:   126/722 | topk:  80 | alpha: 0.650 | MAP: 0.0665 |
| iter:   127/722 | topk:  80 | alpha: 0.700 | MAP: 0.0667 |
| iter:   128/722 | topk:  80 | alpha: 0.750 | MAP: 0.0670 |
| iter:   129/722 | topk:  80 | alpha: 0.800 | MAP: 0.0673 |
| iter:   130/722 | topk:  80 | alpha: 0.850 | MAP: 0.0674 |
| iter:   131/722 | topk:  80 | alpha: 0.900 | MAP: 0.0675 |
| iter:   132/722 | topk:  80 | alpha: 0.950 | MAP: 0.0678 |
| iter:   133/722 | topk:  90 | alpha: 0.050 | MAP: 0.0567 |
| iter:   134/722 | topk:  90 | alpha: 0.100 | MAP: 0.0585 |
| iter:   135/722 | topk:  90 | alpha: 0.150 | MAP: 0.0593 |
| iter:   136/722 | topk:  90 | alpha: 0.200 | MAP: 0.0606 |
| iter:   137/722 | topk:  90 | alpha: 0.250 | MAP: 0.0616 |
| iter:   138/722 | topk:  90 | alpha: 0.300 | MAP: 0.0626 |
| iter:   139/722 | topk:  90 | alpha: 0.350 | MAP: 0.0632 |
| iter:   140/722 | topk:  90 | alpha: 0.400 | MAP: 0.0641 |
| iter:   141/722 | topk:  90 | alpha: 0.450 | MAP: 0.0648 |
| iter:   142/722 | topk:  90 | alpha: 0.500 | MAP: 0.0650 |
| iter:   143/722 | topk:  90 | alpha: 0.550 | MAP: 0.0657 |
| iter:   144/722 | topk:  90 | alpha: 0.600 | MAP: 0.0661 |
| iter:   145/722 | topk:  90 | alpha: 0.650 | MAP: 0.0665 |
| iter:   146/722 | topk:  90 | alpha: 0.700 | MAP: 0.0669 |
| iter:   147/722 | topk:  90 | alpha: 0.750 | MAP: 0.0673 |
| iter:   148/722 | topk:  90 | alpha: 0.800 | MAP: 0.0675 |
| iter:   149/722 | topk:  90 | alpha: 0.850 | MAP: 0.0678 |
| iter:   150/722 | topk:  90 | alpha: 0.900 | MAP: 0.0676 |
| iter:   151/722 | topk:  90 | alpha: 0.950 | MAP: 0.0680 |
| iter:   152/722 | topk: 100 | alpha: 0.050 | MAP: 0.0568 |
| iter:   153/722 | topk: 100 | alpha: 0.100 | MAP: 0.0584 |
| iter:   154/722 | topk: 100 | alpha: 0.150 | MAP: 0.0596 |
| iter:   155/722 | topk: 100 | alpha: 0.200 | MAP: 0.0609 |
| iter:   156/722 | topk: 100 | alpha: 0.250 | MAP: 0.0618 |
| iter:   157/722 | topk: 100 | alpha: 0.300 | MAP: 0.0628 |
| iter:   158/722 | topk: 100 | alpha: 0.350 | MAP: 0.0635 |
| iter:   159/722 | topk: 100 | alpha: 0.400 | MAP: 0.0641 |
| iter:   160/722 | topk: 100 | alpha: 0.450 | MAP: 0.0649 |
| iter:   161/722 | topk: 100 | alpha: 0.500 | MAP: 0.0650 |
| iter:   162/722 | topk: 100 | alpha: 0.550 | MAP: 0.0658 |
| iter:   163/722 | topk: 100 | alpha: 0.600 | MAP: 0.0660 |
| iter:   164/722 | topk: 100 | alpha: 0.650 | MAP: 0.0664 |
| iter:   165/722 | topk: 100 | alpha: 0.700 | MAP: 0.0669 |
| iter:   166/722 | topk: 100 | alpha: 0.750 | MAP: 0.0673 |
| iter:   167/722 | topk: 100 | alpha: 0.800 | MAP: 0.0676 |
| iter:   168/722 | topk: 100 | alpha: 0.850 | MAP: 0.0677 |
| iter:   169/722 | topk: 100 | alpha: 0.900 | MAP: 0.0680 |
| iter:   170/722 | topk: 100 | alpha: 0.950 | MAP: 0.0681 |
| iter:   171/722 | topk: 110 | alpha: 0.050 | MAP: 0.0569 |
| iter:   172/722 | topk: 110 | alpha: 0.100 | MAP: 0.0588 |
| iter:   173/722 | topk: 110 | alpha: 0.150 | MAP: 0.0599 |
| iter:   174/722 | topk: 110 | alpha: 0.200 | MAP: 0.0612 |
| iter:   175/722 | topk: 110 | alpha: 0.250 | MAP: 0.0620 |
| iter:   176/722 | topk: 110 | alpha: 0.300 | MAP: 0.0634 |
| iter:   177/722 | topk: 110 | alpha: 0.350 | MAP: 0.0639 |
| iter:   178/722 | topk: 110 | alpha: 0.400 | MAP: 0.0644 |
| iter:   179/722 | topk: 110 | alpha: 0.450 | MAP: 0.0653 |
| iter:   180/722 | topk: 110 | alpha: 0.500 | MAP: 0.0652 |
| iter:   181/722 | topk: 110 | alpha: 0.550 | MAP: 0.0659 |
| iter:   182/722 | topk: 110 | alpha: 0.600 | MAP: 0.0662 |
| iter:   183/722 | topk: 110 | alpha: 0.650 | MAP: 0.0666 |
| iter:   184/722 | topk: 110 | alpha: 0.700 | MAP: 0.0669 |
| iter:   185/722 | topk: 110 | alpha: 0.750 | MAP: 0.0671 |
| iter:   186/722 | topk: 110 | alpha: 0.800 | MAP: 0.0674 |
| iter:   187/722 | topk: 110 | alpha: 0.850 | MAP: 0.0677 |
| iter:   188/722 | topk: 110 | alpha: 0.900 | MAP: 0.0679 |
| iter:   189/722 | topk: 110 | alpha: 0.950 | MAP: 0.0682 |
| iter:   190/722 | topk: 120 | alpha: 0.050 | MAP: 0.0568 |
| iter:   191/722 | topk: 120 | alpha: 0.100 | MAP: 0.0589 |
| iter:   192/722 | topk: 120 | alpha: 0.150 | MAP: 0.0600 |
| iter:   193/722 | topk: 120 | alpha: 0.200 | MAP: 0.0611 |
| iter:   194/722 | topk: 120 | alpha: 0.250 | MAP: 0.0624 |
| iter:   195/722 | topk: 120 | alpha: 0.300 | MAP: 0.0634 |
| iter:   196/722 | topk: 120 | alpha: 0.350 | MAP: 0.0640 |
| iter:   197/722 | topk: 120 | alpha: 0.400 | MAP: 0.0647 |
| iter:   198/722 | topk: 120 | alpha: 0.450 | MAP: 0.0653 |
| iter:   199/722 | topk: 120 | alpha: 0.500 | MAP: 0.0653 |
| iter:   200/722 | topk: 120 | alpha: 0.550 | MAP: 0.0661 |
| iter:   201/722 | topk: 120 | alpha: 0.600 | MAP: 0.0662 |
| iter:   202/722 | topk: 120 | alpha: 0.650 | MAP: 0.0667 |
| iter:   203/722 | topk: 120 | alpha: 0.700 | MAP: 0.0670 |
| iter:   204/722 | topk: 120 | alpha: 0.750 | MAP: 0.0673 |
| iter:   205/722 | topk: 120 | alpha: 0.800 | MAP: 0.0675 |
| iter:   206/722 | topk: 120 | alpha: 0.850 | MAP: 0.0677 |
| iter:   207/722 | topk: 120 | alpha: 0.900 | MAP: 0.0679 |
| iter:   208/722 | topk: 120 | alpha: 0.950 | MAP: 0.0683 |
| iter:   209/722 | topk: 130 | alpha: 0.050 | MAP: 0.0570 |
| iter:   210/722 | topk: 130 | alpha: 0.100 | MAP: 0.0590 |
| iter:   211/722 | topk: 130 | alpha: 0.150 | MAP: 0.0600 |
| iter:   212/722 | topk: 130 | alpha: 0.200 | MAP: 0.0613 |
| iter:   213/722 | topk: 130 | alpha: 0.250 | MAP: 0.0624 |
| iter:   214/722 | topk: 130 | alpha: 0.300 | MAP: 0.0634 |
| iter:   215/722 | topk: 130 | alpha: 0.350 | MAP: 0.0638 |
| iter:   216/722 | topk: 130 | alpha: 0.400 | MAP: 0.0647 |
| iter:   217/722 | topk: 130 | alpha: 0.450 | MAP: 0.0653 |
| iter:   218/722 | topk: 130 | alpha: 0.500 | MAP: 0.0654 |
| iter:   219/722 | topk: 130 | alpha: 0.550 | MAP: 0.0660 |
| iter:   220/722 | topk: 130 | alpha: 0.600 | MAP: 0.0663 |
| iter:   221/722 | topk: 130 | alpha: 0.650 | MAP: 0.0668 |
| iter:   222/722 | topk: 130 | alpha: 0.700 | MAP: 0.0672 |
| iter:   223/722 | topk: 130 | alpha: 0.750 | MAP: 0.0674 |
| iter:   224/722 | topk: 130 | alpha: 0.800 | MAP: 0.0676 |
| iter:   225/722 | topk: 130 | alpha: 0.850 | MAP: 0.0678 |
| iter:   226/722 | topk: 130 | alpha: 0.900 | MAP: 0.0678 |
| iter:   227/722 | topk: 130 | alpha: 0.950 | MAP: 0.0682 |
| iter:   228/722 | topk: 140 | alpha: 0.050 | MAP: 0.0572 |
| iter:   229/722 | topk: 140 | alpha: 0.100 | MAP: 0.0591 |
| iter:   230/722 | topk: 140 | alpha: 0.150 | MAP: 0.0601 |
| iter:   231/722 | topk: 140 | alpha: 0.200 | MAP: 0.0612 |
| iter:   232/722 | topk: 140 | alpha: 0.250 | MAP: 0.0623 |
| iter:   233/722 | topk: 140 | alpha: 0.300 | MAP: 0.0632 |
| iter:   234/722 | topk: 140 | alpha: 0.350 | MAP: 0.0639 |
| iter:   235/722 | topk: 140 | alpha: 0.400 | MAP: 0.0648 |
| iter:   236/722 | topk: 140 | alpha: 0.450 | MAP: 0.0654 |
| iter:   237/722 | topk: 140 | alpha: 0.500 | MAP: 0.0655 |
| iter:   238/722 | topk: 140 | alpha: 0.550 | MAP: 0.0661 |
| iter:   239/722 | topk: 140 | alpha: 0.600 | MAP: 0.0665 |
| iter:   240/722 | topk: 140 | alpha: 0.650 | MAP: 0.0669 |
| iter:   241/722 | topk: 140 | alpha: 0.700 | MAP: 0.0675 |
