| iter: 77/684 | topk: 60 | alpha: 0.3 | MAP: 0.0557 |
| iter: 78/684 | topk: 60 | alpha: 0.35000000000000003 | MAP: 0.0563 |
| iter: 79/684 | topk: 60 | alpha: 0.4 | MAP: 0.0568 |
| iter: 80/684 | topk: 60 | alpha: 0.45 | MAP: 0.0577 |
| iter: 81/684 | topk: 60 | alpha: 0.5 | MAP: 0.0582 |
| iter: 82/684 | topk: 60 | alpha: 0.55 | MAP: 0.0592 |
| iter: 83/684 | topk: 60 | alpha: 0.6000000000000001 | MAP: 0.0599 |
| iter: 84/684 | topk: 60 | alpha: 0.6500000000000001 | MAP: 0.0610 |
| iter: 85/684 | topk: 60 | alpha: 0.7000000000000001 | MAP: 0.0623 |
| iter: 86/684 | topk: 60 | alpha: 0.7500000000000001 | MAP: 0.0631 |
| iter: 87/684 | topk: 60 | alpha: 0.8 | MAP: 0.0645 |
| iter: 88/684 | topk: 60 | alpha: 0.8500000000000001 | MAP: 0.0668 |
| iter: 89/684 | topk: 60 | alpha: 0.9000000000000001 | MAP: 0.0684 |
| iter: 90/684 | topk: 70 | alpha: 0.05 | MAP: 0.0532 |
| iter: 91/684 | topk: 70 | alpha: 0.1 | MAP: 0.0537 |
| iter: 92/684 | topk: 70 | alpha: 0.15000000000000002 | MAP: 0.0546 |
| iter: 93/684 | topk: 70 | alpha: 0.2 | MAP: 0.0551 |
| iter: 94/684 | topk: 70 | alpha: 0.25 | MAP: 0.0559 |
| iter: 95/684 | topk: 70 | alpha: 0.3 | MAP: 0.0565 |
| iter: 96/684 | topk: 70 | alpha: 0.35000000000000003 | MAP: 0.0569 |
| iter: 97/684 | topk: 70 | alpha: 0.4 | MAP: 0.0575 |
| iter: 98/684 | topk: 70 | alpha: 0.45 | MAP: 0.0580 |
| iter: 99/684 | topk: 70 | alpha: 0.5 | MAP: 0.0585 |
| iter: 100/684 | topk: 70 | alpha: 0.55 | MAP: 0.0596 |
| iter: 101/684 | topk: 70 | alpha: 0.6000000000000001 | MAP: 0.0605 |
| iter: 102/684 | topk: 70 | alpha: 0.6500000000000001 | MAP: 0.0613 |
| iter: 103/684 | topk: 70 | alpha: 0.7000000000000001 | MAP: 0.0620 |
