13-12-2020-12:56:02
|ItemKNNCB| iter: 60/420 | topk: 140 | shrink: 0 | sim type: splus | MAP: 0.0375 |
|ItemKNNCB| iter: 61/420 | topk: 140 | shrink: 20 | sim type: splus | MAP: 0.0358 |
|ItemKNNCB| iter: 62/420 | topk: 140 | shrink: 40 | sim type: splus | MAP: 0.0357 |
|ItemKNNCB| iter: 63/420 | topk: 140 | shrink: 60 | sim type: splus | MAP: 0.0352 |
|ItemKNNCB| iter: 64/420 | topk: 140 | shrink: 80 | sim type: splus | MAP: 0.0350 |
|ItemKNNCB| iter: 65/420 | topk: 140 | shrink: 100 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 66/420 | topk: 140 | shrink: 120 | sim type: splus | MAP: 0.0346 |
|ItemKNNCB| iter: 67/420 | topk: 140 | shrink: 140 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 68/420 | topk: 140 | shrink: 160 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 69/420 | topk: 140 | shrink: 180 | sim type: splus | MAP: 0.0348 |
|ItemKNNCB| iter: 70/420 | topk: 160 | shrink: 0 | sim type: splus | MAP: 0.0375 |
|ItemKNNCB| iter: 71/420 | topk: 160 | shrink: 20 | sim type: splus | MAP: 0.0357 |
|ItemKNNCB| iter: 72/420 | topk: 160 | shrink: 40 | sim type: splus | MAP: 0.0354 |
|ItemKNNCB| iter: 73/420 | topk: 160 | shrink: 60 | sim type: splus | MAP: 0.0354 |
|ItemKNNCB| iter: 74/420 | topk: 160 | shrink: 80 | sim type: splus | MAP: 0.0354 |
|ItemKNNCB| iter: 75/420 | topk: 160 | shrink: 100 | sim type: splus | MAP: 0.0354 |
|ItemKNNCB| iter: 76/420 | topk: 160 | shrink: 120 | sim type: splus | MAP: 0.0352 |
|ItemKNNCB| iter: 77/420 | topk: 160 | shrink: 140 | sim type: splus | MAP: 0.0351 |
|ItemKNNCB| iter: 78/420 | topk: 160 | shrink: 160 | sim type: splus | MAP: 0.0350 |
|ItemKNNCB| iter: 79/420 | topk: 160 | shrink: 180 | sim type: splus | MAP: 0.0349 |
|ItemKNNCB| iter: 80/420 | topk: 180 | shrink: 0 | sim type: splus | MAP: 0.0380 |
|ItemKNNCB| iter: 81/420 | topk: 180 | shrink: 20 | sim type: splus | MAP: 0.0360 |
|ItemKNNCB| iter: 82/420 | topk: 180 | shrink: 40 | sim type: splus | MAP: 0.0353 |
|ItemKNNCB| iter: 83/420 | topk: 180 | shrink: 60 | sim type: splus | MAP: 0.0350 |
|ItemKNNCB| iter: 84/420 | topk: 180 | shrink: 80 | sim type: splus | MAP: 0.0349 |
|ItemKNNCB| iter: 85/420 | topk: 180 | shrink: 100 | sim type: splus | MAP: 0.0349 |
